ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,event_kim_00001_01_lineup_00001,event_kim_00001_01_lineup_00001,Item,ticket_kim_10000,1,202602010
e,event_kim_00001_01_lineup_00002,event_kim_00001_01_lineup_00002,Item,ticket_kim_10000,1,202602010
e,event_kim_00001_01_lineup_00003,event_kim_00001_01_lineup_00003,FreeDiamond,,50,202602010
e,event_kim_00001_01_lineup_00004,event_kim_00001_01_lineup_00004,Unit,chara_kim_00401,1,202602010
e,event_kim_00001_01_lineup_00005,event_kim_00001_01_lineup_00005,Item,piece_kim_00401,5,202602010
e,event_kim_00001_01_lineup_00006,event_kim_00001_01_lineup_00006,Item,piece_kim_00401,10,202602010
e,event_kim_00001_01_lineup_00007,event_kim_00001_01_lineup_00007,Item,memory_chara_kim_00401,50,202602010
e,event_kim_00001_01_lineup_00008,event_kim_00001_01_lineup_00008,Item,memory_chara_kim_00401,100,202602010
e,event_kim_00001_01_lineup_00009,event_kim_00001_01_lineup_00009,Item,memoryfragment_glo_00002,10,202602010
e,event_kim_00001_01_lineup_00010,event_kim_00001_01_lineup_00010,Item,memoryfragment_glo_00003,1,202602010
