ENABLE,release_key,id,mst_event_id,language,criterion_type,criterion_count,description
e,202601010,event_jig_00001_1_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,2,民谷 巌鉄斎をグレード2にする
e,202601010,event_jig_00001_2_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,3,民谷 巌鉄斎をグレード3にする
e,202601010,event_jig_00001_3_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,4,民谷 巌鉄斎をグレード4にする
e,202601010,event_jig_00001_4_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,5,民谷 巌鉄斎をグレード5にする
e,202601010,event_jig_00001_5_ja,event_jig_00001,ja,SpecificUnitLevel,20,民谷 巌鉄斎をレベル20にする
e,202601010,event_jig_00001_6_ja,event_jig_00001,ja,SpecificUnitLevel,30,民谷 巌鉄斎をレベル30にする
e,202601010,event_jig_00001_7_ja,event_jig_00001,ja,SpecificUnitLevel,40,民谷 巌鉄斎をレベル40にする
e,202601010,event_jig_00001_8_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,2,メイをグレード2にする
e,202601010,event_jig_00001_9_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,3,メイをグレード3にする
e,202601010,event_jig_00001_10_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,4,メイをグレード4にする
e,202601010,event_jig_00001_11_ja,event_jig_00001,ja,SpecificUnitGradeUpCount,5,メイをグレード5にする
e,202601010,event_jig_00001_12_ja,event_jig_00001,ja,SpecificUnitLevel,20,メイをレベル20にする
e,202601010,event_jig_00001_13_ja,event_jig_00001,ja,SpecificUnitLevel,30,メイをレベル30にする
e,202601010,event_jig_00001_14_ja,event_jig_00001,ja,SpecificUnitLevel,40,メイをレベル40にする
e,202601010,event_jig_00001_15_ja,event_jig_00001,ja,SpecificQuestClear,1,「必ず生きて帰る」をクリアする
e,202601010,event_jig_00001_16_ja,event_jig_00001,ja,SpecificQuestClear,1,「朱印の者たち」をクリアする
e,202601010,event_jig_00001_17_ja,event_jig_00001,ja,SpecificQuestClear,1,「死罪人と首切り役人」をクリアする
e,202601010,event_jig_00001_18_ja,event_jig_00001,ja,SpecificQuestClear,1,「手負いの獣は恐ろしいぞ」をクリアする
e,202601010,event_jig_00001_19_ja,event_jig_00001,ja,DefeatEnemyCount,10,敵を10体倒す
e,202601010,event_jig_00001_20_ja,event_jig_00001,ja,DefeatEnemyCount,20,敵を20体倒す
e,202601010,event_jig_00001_21_ja,event_jig_00001,ja,DefeatEnemyCount,30,敵を30体倒す
e,202601010,event_jig_00001_22_ja,event_jig_00001,ja,DefeatEnemyCount,40,敵を40体倒す
e,202601010,event_jig_00001_23_ja,event_jig_00001,ja,DefeatEnemyCount,50,敵を50体倒す
e,202601010,event_jig_00001_24_ja,event_jig_00001,ja,DefeatEnemyCount,100,敵を100体倒す
