ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,quest_raid_you_reward_group_00001_01,quest_raid_you_00001,MaxScore,5000,202601010
e,quest_raid_you_reward_group_00001_02,quest_raid_you_00001,MaxScore,10000,202601010
e,quest_raid_you_reward_group_00001_03,quest_raid_you_00001,MaxScore,15000,202601010
e,quest_raid_you_reward_group_00001_04,quest_raid_you_00001,MaxScore,20000,202601010
e,quest_raid_you_reward_group_00001_05,quest_raid_you_00001,MaxScore,30000,202601010
e,quest_raid_you_reward_group_00001_06,quest_raid_you_00001,MaxScore,40000,202601010
e,quest_raid_you_reward_group_00001_07,quest_raid_you_00001,MaxScore,50000,202601010
e,quest_raid_you_reward_group_00001_08,quest_raid_you_00001,MaxScore,75000,202601010
e,quest_raid_you_reward_group_00001_09,quest_raid_you_00001,MaxScore,100000,202601010
e,quest_raid_you_reward_group_00001_10,quest_raid_you_00001,MaxScore,150000,202601010
e,quest_raid_you_reward_group_00001_11,quest_raid_you_00001,MaxScore,200000,202601010
e,quest_raid_you_reward_group_00002_01,quest_raid_you_00001,CumulativeScore,1000,202601010
e,quest_raid_you_reward_group_00002_02,quest_raid_you_00001,CumulativeScore,2000,202601010
e,quest_raid_you_reward_group_00002_03,quest_raid_you_00001,CumulativeScore,3000,202601010
e,quest_raid_you_reward_group_00002_04,quest_raid_you_00001,CumulativeScore,4000,202601010
e,quest_raid_you_reward_group_00002_05,quest_raid_you_00001,CumulativeScore,5000,202601010
e,quest_raid_you_reward_group_00002_06,quest_raid_you_00001,CumulativeScore,7500,202601010
e,quest_raid_you_reward_group_00002_07,quest_raid_you_00001,CumulativeScore,10000,202601010
e,quest_raid_you_reward_group_00002_08,quest_raid_you_00001,CumulativeScore,12500,202601010
e,quest_raid_you_reward_group_00002_09,quest_raid_you_00001,CumulativeScore,15000,202601010
e,quest_raid_you_reward_group_00002_10,quest_raid_you_00001,CumulativeScore,30000,202601010
e,quest_raid_you_reward_group_00002_11,quest_raid_you_00001,CumulativeScore,50000,202601010
e,quest_raid_you_reward_group_00002_12,quest_raid_you_00001,CumulativeScore,75000,202601010
e,quest_raid_you_reward_group_00002_13,quest_raid_you_00001,CumulativeScore,100000,202601010
e,quest_raid_you_reward_group_00002_14,quest_raid_you_00001,CumulativeScore,250000,202601010
e,quest_raid_you_reward_group_00002_15,quest_raid_you_00001,CumulativeScore,500000,202601010
e,quest_raid_you_reward_group_00002_16,quest_raid_you_00001,CumulativeScore,1000000,202601010
e,quest_raid_you_reward_group_00003_01,quest_raid_you_00001,Ranking,1,202601010
e,quest_raid_you_reward_group_00003_02,quest_raid_you_00001,Ranking,2,202601010
e,quest_raid_you_reward_group_00003_03,quest_raid_you_00001,Ranking,3,202601010
e,quest_raid_you_reward_group_00003_04,quest_raid_you_00001,Ranking,50,202601010
e,quest_raid_you_reward_group_00003_05,quest_raid_you_00001,Ranking,300,202601010
e,quest_raid_you_reward_group_00003_06,quest_raid_you_00001,Ranking,1000,202601010
e,quest_raid_you_reward_group_00003_07,quest_raid_you_00001,Ranking,5000,202601010
e,quest_raid_you_reward_group_00003_08,quest_raid_you_00001,Ranking,10000,202601010
e,quest_raid_you_reward_group_00003_09,quest_raid_you_00001,Ranking,999999,202601010
