enemy_character_id,name_ja,series,is_phantomized,variant_count,hp_avg,hp_min,hp_max,hp_rank_in_series,hp_pct_global,atk_avg,atk_min,atk_max,atk_rank_in_series,atk_pct_global,spd_avg,spd_min,spd_max,spd_rank_in_series,spd_pct_global,wd_avg,wd_min,wd_max,wd_rank_in_series,wd_pct_global,bp_avg,bp_min,bp_max,bp_rank_in_series,bp_pct_global,series_chars_total,global_chars_total
chara_aka_00001,佐々木,aka,1,9,10000.0,10000,10000,1,21.7,88.9,50,100,1,11.9,22.2,20,25,2,2.8,0.14,0.14,0.14,1,92.3,333.0,200,500,1,83.2,2,144
chara_aka_00101,文蔵,aka,1,8,10000.0,10000,10000,1,21.7,87.5,50,100,2,9.1,31.0,31,31,1,24.5,0.2,0.2,0.2,2,61.5,263.0,150,500,2,71.3,2,144
chara_ara_00001,灰,ara,1,4,10000.0,10000,10000,1,21.7,150.0,100,300,1,30.1,33.0,30,34,1,34.3,0.41,0.41,0.41,1,7.7,225.0,100,500,1,63.6,1,144
enemy_aya_00001,シロガネ,aya,0,6,6167.0,1000,10000,4,16.1,85.0,10,100,5,7.7,44.7,34,50,4,81.1,0.333,0.3,0.35,2,16.1,175.0,100,300,4,44.1,5,144
chara_aya_00001,一子相伝の風使い 風巻 祭里,aya,1,4,5500.0,1000,10000,5,12.6,100.0,100,100,1,14.0,50.0,50,50,1,89.5,0.37,0.37,0.37,4,11.9,175.0,100,300,4,44.1,5,144
chara_aya_00101,花奏 すず,aya,1,5,6400.0,1000,10000,3,16.8,100.0,100,100,1,14.0,35.0,35,35,5,51.7,0.3,0.3,0.3,1,19.6,200.0,100,300,2,53.1,5,144
chara_aya_00201,香炉木 恋緒,aya,1,2,10000.0,10000,10000,1,21.7,100.0,100,100,1,14.0,50.0,50,50,1,89.5,0.4,0.4,0.4,5,8.4,250.0,200,300,1,65.0,5,144
chara_aya_00301,二ノ曲 宗牙,aya,1,1,10000.0,10000,10000,1,21.7,100.0,100,100,1,14.0,50.0,50,50,1,89.5,0.35,0.35,0.35,3,14.0,200.0,200,200,2,53.1,5,144
enemy_chi_00001,ゾンビの悪魔,chi,0,5,420000.0,150000,700000,4,93.0,600.0,400,700,4,86.0,36.0,35,40,7,58.0,0.32,0.3,0.4,8,17.5,10.0,0,50,7,7.7,8,144
enemy_chi_00101,ゾンビ,chi,0,8,45125.0,5000,125000,7,65.7,817.5,320,1500,2,89.5,42.5,35,45,6,78.3,0.11,0.11,0.11,1,98.6,13.0,0,50,5,9.1,8,144
enemy_chi_00201,コウモリの悪魔,chi,0,7,450000.0,200000,800000,3,95.1,977.1,320,2000,1,95.8,53.6,50,55,2,95.8,0.164,0.15,0.2,6,85.3,14.0,0,50,4,9.8,8,144
