ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter
e,202511020,chara_yuw_00301_Normal_00000_01,chara_yuw_00301_Normal_00000,1,25,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,,100,Percentage,50,None,0,0,0
e,202511020,chara_yuw_00301_Normal_00000_02,chara_yuw_00301_Normal_00000,2,50,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,,100,Percentage,50,None,0,0,0
e,202511020,chara_yuw_00301_Special_00001,chara_yuw_00301_Special_00001,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00301_Special_00001a,chara_yuw_00301_Special_00001,2,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Blue,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,450,20
e,202511020,chara_yuw_00301_Special_00001b,chara_yuw_00301_Special_00001,3,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,450,10
e,202511020,chara_yuw_00301_Special_00001c,chara_yuw_00301_Special_00001,4,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Green,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,450,10
e,202511020,chara_yuw_00301_Special_00001d,chara_yuw_00301_Special_00001,5,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Yellow,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,450,10
e,202511020,chara_yuw_00301_Special_00001e,chara_yuw_00301_Special_00001,6,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Colorless,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,450,10
e,202511020,chara_yuw_00301_Special_00001f,chara_yuw_00301_Special_00001,7,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,450,10
e,202511020,chara_yuw_00301_Special_00002,chara_yuw_00301_Special_00002,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00301_Special_00002a,chara_yuw_00301_Special_00002,2,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Blue,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,600,32
e,202511020,chara_yuw_00301_Special_00002b,chara_yuw_00301_Special_00002,3,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,600,18
e,202511020,chara_yuw_00301_Special_00002c,chara_yuw_00301_Special_00002,4,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Green,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,600,18
e,202511020,chara_yuw_00301_Special_00002d,chara_yuw_00301_Special_00002,5,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Yellow,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,600,18
e,202511020,chara_yuw_00301_Special_00002e,chara_yuw_00301_Special_00002,6,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Colorless,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,600,18
e,202511020,chara_yuw_00301_Special_00002f,chara_yuw_00301_Special_00002,7,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,600,14
e,202511020,chara_yuw_00301_Special_00003,chara_yuw_00301_Special_00003,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00301_Special_00003a,chara_yuw_00301_Special_00003,2,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Blue,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,700,40
e,202511020,chara_yuw_00301_Special_00003b,chara_yuw_00301_Special_00003,3,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,700,24
e,202511020,chara_yuw_00301_Special_00003c,chara_yuw_00301_Special_00003,4,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Green,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,700,24
e,202511020,chara_yuw_00301_Special_00003d,chara_yuw_00301_Special_00003,5,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Yellow,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,700,24
e,202511020,chara_yuw_00301_Special_00003e,chara_yuw_00301_Special_00003,6,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Colorless,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,700,24
e,202511020,chara_yuw_00301_Special_00003f,chara_yuw_00301_Special_00003,7,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,700,16
e,202511020,chara_yuw_00301_Special_00004,chara_yuw_00301_Special_00004,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00301_Special_00004a,chara_yuw_00301_Special_00004,2,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Blue,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,880,46
e,202511020,chara_yuw_00301_Special_00004b,chara_yuw_00301_Special_00004,3,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,880,28
e,202511020,chara_yuw_00301_Special_00004c,chara_yuw_00301_Special_00004,4,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Green,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,880,28
e,202511020,chara_yuw_00301_Special_00004d,chara_yuw_00301_Special_00004,5,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Yellow,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,880,28
e,202511020,chara_yuw_00301_Special_00004e,chara_yuw_00301_Special_00004,6,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Colorless,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,880,28
e,202511020,chara_yuw_00301_Special_00004f,chara_yuw_00301_Special_00004,7,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,880,18
e,202511020,chara_yuw_00301_Special_00005,chara_yuw_00301_Special_00005,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00301_Special_00005a,chara_yuw_00301_Special_00005,2,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Blue,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,1000,50
e,202511020,chara_yuw_00301_Special_00005b,chara_yuw_00301_Special_00005,3,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,1000,30
e,202511020,chara_yuw_00301_Special_00005c,chara_yuw_00301_Special_00005,4,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Green,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,1000,30
e,202511020,chara_yuw_00301_Special_00005d,chara_yuw_00301_Special_00005,5,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Yellow,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,1000,30
e,202511020,chara_yuw_00301_Special_00005e,chara_yuw_00301_Special_00005,6,0,Direct,Koma,-1,Koma,0,100,Friend,Character,Colorless,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,1000,30
e,202511020,chara_yuw_00301_Special_00005f,chara_yuw_00301_Special_00005,7,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,1000,20
e,202511020,chara_yuw_00201_Normal_00000,chara_yuw_00201_Normal_00000,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,100,None,0,0,0
e,202511020,chara_yuw_00201_Special_00001,chara_yuw_00201_Special_00001,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,Damage,Normal,0,0,dageki_1,1,100,Percentage,85,AttackPowerDown,-1,150,25
e,202511020,chara_yuw_00201_Special_00002,chara_yuw_00201_Special_00002,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,Damage,Normal,0,0,dageki_1,1,100,Percentage,97,AttackPowerDown,-1,180,27
e,202511020,chara_yuw_00201_Special_00003,chara_yuw_00201_Special_00003,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,Damage,Normal,0,0,dageki_1,1,100,Percentage,106,AttackPowerDown,-1,200,28
e,202511020,chara_yuw_00201_Special_00004,chara_yuw_00201_Special_00004,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,Damage,Normal,0,0,dageki_1,1,100,Percentage,113,AttackPowerDown,-1,215,29
e,202511020,chara_yuw_00201_Special_00005,chara_yuw_00201_Special_00005,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,Damage,Normal,0,0,dageki_1,1,100,Percentage,117,AttackPowerDown,-1,225,30
e,202511020,chara_yuw_00401_Normal_00000,chara_yuw_00401_Normal_00000,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,100,None,0,0,0
e,202511020,chara_yuw_00401_Special_00001,chara_yuw_00401_Special_00001,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,Damage,KnockBack1,0,0,zangeki_1,1,100,Percentage,150,None,0,0,0
e,202511020,chara_yuw_00401_Special_00002,chara_yuw_00401_Special_00002,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,Damage,KnockBack1,0,0,zangeki_1,1,100,Percentage,170,None,0,0,0
e,202511020,chara_yuw_00401_Special_00003,chara_yuw_00401_Special_00003,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,Damage,KnockBack2,0,0,zangeki_1,1,100,Percentage,183,None,0,0,0
e,202511020,chara_yuw_00401_Special_00004,chara_yuw_00401_Special_00004,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,Damage,KnockBack3,0,0,zangeki_1,1,100,Percentage,193,None,0,0,0
e,202511020,chara_yuw_00401_Special_00005,chara_yuw_00401_Special_00005,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,Damage,KnockBack3,0,0,zangeki_1,1,100,Percentage,200,None,0,0,0
e,202511020,chara_yuw_00501_Normal_00000,chara_yuw_00501_Normal_00000,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,100,None,0,0,0
e,202511020,chara_yuw_00501_Special_00001,chara_yuw_00501_Special_00001,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00501_Special_00001a,chara_yuw_00501_Special_00001,2,0,Direct,Koma,0,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,150,20
e,202511020,chara_yuw_00501_Special_00002,chara_yuw_00501_Special_00002,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00501_Special_00002a,chara_yuw_00501_Special_00002,2,0,Direct,Koma,0,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,165,21
e,202511020,chara_yuw_00501_Special_00003,chara_yuw_00501_Special_00003,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00501_Special_00003a,chara_yuw_00501_Special_00003,2,0,Direct,Koma,0,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,175,22
e,202511020,chara_yuw_00501_Special_00004,chara_yuw_00501_Special_00004,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00501_Special_00004a,chara_yuw_00501_Special_00004,2,0,Direct,Koma,0,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,180,23
e,202511020,chara_yuw_00501_Special_00005,chara_yuw_00501_Special_00005,1,0,Direct,Distance,0,Distance,0.28,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00501_Special_00005a,chara_yuw_00501_Special_00005,2,0,Direct,Koma,0,Koma,0,100,Friend,Character,Red,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,200,24
e,202511020,chara_yuw_00601_Normal_00000,chara_yuw_00601_Normal_00000,1,0,Direct,Distance,0,Distance,0.32,100,Foe,All,All,All,Damage,Normal,0,0,dageki_1,1,100,Percentage,75,None,0,0,0
e,202511020,chara_yuw_00601_Special_00001,chara_yuw_00601_Special_00001,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00601_Special_00001a,chara_yuw_00601_Special_00001,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,150,20
e,202511020,chara_yuw_00601_Special_00002,chara_yuw_00601_Special_00002,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00601_Special_00002a,chara_yuw_00601_Special_00002,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,165,21
e,202511020,chara_yuw_00601_Special_00003,chara_yuw_00601_Special_00003,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00601_Special_00003a,chara_yuw_00601_Special_00003,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,175,22
e,202511020,chara_yuw_00601_Special_00004,chara_yuw_00601_Special_00004,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00601_Special_00004a,chara_yuw_00601_Special_00004,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,180,23
e,202511020,chara_yuw_00601_Special_00005,chara_yuw_00601_Special_00005,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,None,Normal,0,0,,,100,Percentage,0,None,0,0,0
e,202511020,chara_yuw_00601_Special_00005a,chara_yuw_00601_Special_00005,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,200,24
e,202511020,c_yuw_00001_753get_Normal_Green_Normal_00000_1,c_yuw_00001_753get_Normal_Green_Normal_00000,1,0,Direct,Distance,0,Distance,0.34,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,100,None,0,0,0
e,202511020,c_yuw_00001_753get_Normal_Green_Special_00001_1,c_yuw_00001_753get_Normal_Green_Special_00001,1,0,Direct,Distance,0,Distance,0.34,100,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,200,None,0,0,0
e,202511020,c_yuw_00001_753get_Boss_Green_Normal_00000_1,c_yuw_00001_753get_Boss_Green_Normal_00000,1,0,Direct,Distance,0,Distance,0.34,1,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,100,None,0,0,0
e,202511020,c_yuw_00001_753get_Boss_Green_Appearance_00001_1,c_yuw_00001_753get_Boss_Green_Appearance_00001,1,0,Direct,Distance,0,Distance,50,100,Foe,All,All,All,None,ForcedKnockBack5,0,0,dageki_1,,100,Percentage,100,None,0,0,0
e,202511020,c_yuw_00001_753get_Boss_Green_Special_00002_1,c_yuw_00001_753get_Boss_Green_Special_00002,1,0,Direct,Distance,0,Distance,0.34,100,Foe,All,All,All,Damage,Normal,0,0,dageki_2,1,100,Percentage,200,None,0,0,0
e,202511020,c_yuw_00101_753get_Normal_Green_Normal_00000_1,c_yuw_00101_753get_Normal_Green_Normal_00000,1,23,Direct,Distance,0,Distance,0.35,1,Foe,All,All,All,Damage,Normal,0,0,dageki_1,,100,Percentage,16,None,0,0,0
e,202511020,c_yuw_00101_753get_Normal_Green_Normal_00000_2,c_yuw_00101_753get_Normal_Green_Normal_00000,2,28,Direct,Distance,0,Distance,0.35,1,Foe,All,All,All,Damage,Normal,0,0,dageki_1,,100,Percentage,16,None,0,0,0
