,05_報酬一覧,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,◆施策全体の報酬合計数（周回報酬はユーザーの努力報酬、また、ドロップ報酬は確定獲得ではないので、最低限ユーザーに獲得して欲しい報酬数で計算）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,推しの子イベントから、メモリーフラグメントの合計配布量を2倍にする,,,,,,,,,,,,,,,,,
,カテゴリー/報酬,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・グリーン,カラーメモリー・イエロー,カラーメモリー・ブルー,カラーメモリー・グレー,【推しの子】SSR確定ガシャチケット,【SR】ぴえヨン,ぴえヨンのかけら,ぴえヨンのカラーメモリー,"いいジャン祭メダル
【赤】",復讐を誓う片星 星野 アクアのかけら,エンブレム,賀正チケット,ランダムSSRキャラのかけらBOX,選べるURキャラのかけらBOX
,ログボ,500,10000,2,2,10,4,0,0,0,0,0,0,1,0,0,0,200,0,0,0,0,0
,デイリー①（正月）,200,4000,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
,デイリー②（推しの子）※期待値×日数,150,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,収集（交換所）,730,0,3,3,100,50,10,500,500,500,500,500,2,1,200,1950,0,0,6,0,0,0
,強化クエスト※確定分,0,0,0,0,30,10,2,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
,チャレンジ,240,1125,4,0,0,0,0,0,0,0,0,0,0,0,0,0,200,50,1,0,0,0
,高難度,300,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,2,0,0,0
,謹賀新年ミッション,1300,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,
,謹賀新年ミッション(ぴえヨン),0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,年始年ミッション,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,メインクエスト追加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,降臨バトル（期間中最低獲得可能分）,720,69500,0,2,30,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,
,今回のいいジャン祭報酬合計数,4140,182625,13,7,185,85,14,500,500,500,500,500,3,1,200,1950,,50,12,50,3,1
,SPY×FAMILY いいジャン祭報酬合計数,2170,107800,9,5,70,35,6,203,3,203,603,3,250,250,250,1950,650,50,12,50,3,1
,怪獣８号 いいジャン祭報酬合計数,2150,101450,8,5,70,43,5,3,3,3,903,3,250,250,250,1950,650,50,11,50,0,0
,,,↑周回数に応じて獲得数UPですが1周回を最低期待値（コイン5000枚）を換算します,1枚多いのはミッションでエンブレムの代わりに配布を行っているからです,,,,,"↑カラーメモリーは基本ピックアップガシャの属性に合わせたものが100以上
（Lv.40まで強化できる範囲を上限とし）獲得できるようにします
今回だと青属性なので、カラーメモリー・ブルーが多く獲得できます",,,,,↑周回数によって獲得数UP,↑周回数によって獲得数UP,,,↑周回数によって獲得数UP,↑周回数によって獲得数UP,,,,
,,,,,,,,,100,,100,,100,,,,,,,,,,
,▼降臨バトルのランキングやクエストの周回などは最低保証獲得数で計算してます,,,,,,,,,,,,,,,,,,,,,,
,報酬関連,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・グリーン,カラーメモリー・イエロー,カラーメモリー・ブルー,カラーメモリー・グレー,,,,,,,,,,
,"1ヶ月のいいジャン祭
の報酬数",8280,365250,26,14,370,170,28,100,100,100,100,100,ここで配布数が超える場合は、PDM承認が必要,,,,,,,,,
,"1ヶ月の降臨バトル
の報酬数",770,76500,0,1,30,15,1,0,0,0,0,0,,,,,,,,,,
,連携サイトやマーケで配布可能な量,300,4500,0,0,0,0,0,50,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,【年末年始〜1/31まで】報酬配布計画,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,4000,378,,,,,,,,,,,,,,,,,,
