種類,掲載内容,作品ID,識別名称,識別番号,IGNバナーID,備考
キャンペーン,特別割引プリズム,,campaign_,00001,IGN_campaign_00001,
パック,【お一人様1回まで購入可】わくわく アーニャ パック,,shop_pack_,00001,IGN_shop_pack_00001,
パック,【お一人様1回まで購入可】いいジャン祭 開催記念パック,,shop_pack_,00002,IGN_shop_pack_00002,
キャンペーン,キャンペーンお知らせ,,campaign_,00002,IGN_campaign_00002,
パック,【お一人様1回まで購入可】スタートダッシュパック,,shop_pack_,00003,IGN_shop_pack_00003,
パック,【お一人様1回まで購入可】スタートダッシュジャンブルパック,,shop_pack_,00004,IGN_shop_pack_00004,
降臨バトル,降臨バトル「業務実行!!」,mag,advent_mag_,00001,IGN_advent_mag_00001,
降臨バトル,降臨バトル「怪獣退治の時間」,kai,advent_kai_,00001,IGN_advent_kai_00001,
降臨バトル,降臨バトル「夏コミの魔物」,yuw,advent_yuw_,00001,IGN_advent_yuw_00001,
降臨バトル,降臨バトル「魔防隊と戦う者」,sur,advent_sur_,00001,IGN_advent_sur_00001,
降臨バトル,汎用の降臨バトル開催バナー,glo,advent_glo_,00001,IGN_advent_glo_00001,
イベント,【投稿促進施策】美花莉に愛❤️を届けよう！,glo,event_glo_,00001,IGN_event_glo_00001,
イベント,"【投稿促進施策】美花莉に愛❤️を届けよう！
プレゼント",glo,event_glo_,00002,IGN_event_glo_00002,
その他,【お知らせ_IGN】年賀状2026年,glo,other_,00001,IGN_other_00001,
その他,IGN カウントダウン5日前,glo,other_,00002,IGN_other_00002,
その他,IGN カウントダウン4日前,glo,other_,00003,IGN_other_00003,
その他,IGN カウントダウン3日前,glo,other_,00004,IGN_other_00004,
その他,IGN カウントダウン2日前,glo,other_,00005,IGN_other_00005,
その他,IGN カウントダウン1日前,glo,other_,00006,IGN_other_00006,
イベント,復刻イベント開催,hav1,event_hav1_,00001,IGN_event_hav1_00001,
降臨バトル,【降臨バトル開催IGN】前半 覇者への挑戦編,hav1,advent_hav1_,00001,IGN_advent_hav1_00001,
降臨バトル,【降臨バトル開催のお知らせ】後半　英雄への挑戦編,hav2,advent_hav2_,00001,IGN_advent_hav2_00001,
,,,#N/A,00001,#N/A,
,,,#N/A,00002,#N/A,
,,,#N/A,00003,#N/A,
,,,#N/A,00004,#N/A,
,,,#N/A,00005,#N/A,
,,,#N/A,00006,#N/A,
,,,#N/A,00007,#N/A,
,,,#N/A,00008,#N/A,
,,,#N/A,00009,#N/A,
,,,#N/A,00010,#N/A,
,,,#N/A,00011,#N/A,
,,,#N/A,00012,#N/A,
,,,#N/A,00013,#N/A,
,,,#N/A,00014,#N/A,
,,,#N/A,00015,#N/A,
,,,#N/A,00016,#N/A,
