施策内容,作品/ガシャID,作品名,識別番号,banner_url,ガシャ一覧バナーID,ホームバナーID,昇格タグ
72時間限定スタートダッシュガシャ,startdash,定常系ガシャ,00001,startdash_00001,gacha_banner_startdash_00001,なし,
プレミアムメダルガシャ,medal,定常系ガシャ,00001,medal_00001,gacha_banner_medal_00001,なし,
スペシャルガシャ,special,定常系ガシャ,00001,special_00001,gacha_banner_special_00001,なし,
ノーマルガシャ,normal,定常系ガシャ,00001,normal_00001,gacha_banner_normal_00001,なし,
怪獣8号 いいジャン祭ピックアップガシャ,kai,怪獣８号,00001,kai_00001,gacha_banner_kai_00001,hometop_gacha_kai_00001,
UR1体確定10連ガシャ,UR_Ticket,定常系ガシャ,00001,UR_Ticket_00001,gacha_banner_UR_Ticket_00001,なし,
チュートリアルガシャ,tutorial,定常系ガシャ,00001,tutorial_00001,gacha_banner_tutorial_00001,なし,
SPY×FAMILYいいジャン祭ピックアップガシャA,spy,SPY×FAMILY,00001,spy_00001,gacha_banner_spy_00001,hometop_gacha_spy_00001,
SPY×FAMILYいいジャン祭ピックアップガシャB,spy,SPY×FAMILY,00002,spy_00002,gacha_banner_spy_00002,hometop_gacha_spy_00002,
ダンダダン いいジャン祭ピックアップガシャA,dan,ダンダダン,00001,dan_00001,gacha_banner_dan_00001,hometop_gacha_dan_00001,
ダンダダン いいジャン祭ピックアップガシャB,dan,ダンダダン,00002,dan_00002,gacha_banner_dan_00002,hometop_gacha_dan_00002,
株式会社マジルミエ いいジャン祭ピックアップガシャA,mag,株式会社マジルミエ,00001,mag_00001,gacha_banner_mag_00001,hometop_gacha_mag_00001,
株式会社マジルミエ いいジャン祭ピックアップガシャB,mag,株式会社マジルミエ,00002,mag_00002,gacha_banner_mag_00002,hometop_gacha_mag_00002,
2.5次元の誘惑 いいジャン祭ピックアップガシャA,yuw,2.5次元の誘惑,00001,yuw_00001,gacha_banner_yuw_00001,hometop_gacha_yuw_00001,event_yuw_00001_01
2.5次元の誘惑 いいジャン祭ピックアップガシャB,yuw,2.5次元の誘惑,00002,yuw_00002,gacha_banner_yuw_00002,hometop_gacha_yuw_00002,event_yuw_00001_01
魔都精兵のスレイブ いいジャン祭ピックアップガシャA,sur,魔都精兵のスレイブ,00001,sur_00001,gacha_banner_sur_00001,hometop_gacha_sur_00001,
魔都精兵のスレイブ いいジャン祭ピックアップガシャB,sur,魔都精兵のスレイブ,00002,sur_00002,gacha_banner_sur_00002,hometop_gacha_sur_00002,
クリスマス限定フェスガシャ,glo,GLOW,00001,glo_00001,gacha_banner_glo_00001,hometop_gacha_glo_00001,
正月限定フェスガシャ,glo,GLOW,00002,glo_00002,gacha_banner_glo_00002,hometop_gacha_glo_00002,
2026年正月記念！UR1体確定ガシャ,glo,GLOW,00003,glo_00003,gacha_banner_glo_00003,hometop_gacha_glo_00003,
初夢ガシャ 2026,glo,GLOW,00004,glo_00004,gacha_banner_glo_00004,hometop_gacha_glo_00004,
賀正ガシャ 2026,glo,GLOW,00005,glo_00005,gacha_banner_glo_00005,hometop_gacha_glo_00005,
【推しの子】いいジャン祭ピックアップガシャ,osh,【推しの子】,00001,osh_00001,gacha_banner_osh_00001,hometop_gacha_osh_00001,
【推しの子】いいジャン祭SSR確定チケットガシャ,osh,【推しの子】,00002,osh_00002,gacha_banner_osh_00002,hometop_gacha_osh_00002,
地獄楽 いいジャン祭ピックアップガシャA,jig,地獄楽,00001,jig_00001,gacha_banner_jig_00001,hometop_gacha_jig_00001,
地獄楽 いいジャン祭ピックアップガシャB,jig,地獄楽,00002,jig_00002,gacha_banner_jig_00002,hometop_gacha_jig_00002,
幼稚園WARS いいジャン祭ピックアップガシャ,you,幼稚園WARS,00001,you_00001,gacha_banner_you_00001,hometop_gacha_you_00001,
君のことが大大大大大好きな100人の彼女 いいジャン祭ピックアップガシャ,kim,君のことが大大大大大好きな100人の彼女,00001,kim_00001,gacha_banner_kim_00001,hometop_gacha_kim_00001,
SSR彼女確定チケットガシャ,kim,君のことが大大大大大好きな100人の彼女,00002,kim_00002,gacha_banner_kim_00002,hometop_gacha_kim_00002,
ふつうの軽音部 いいジャン祭ピックアップガシャ,hut,ふつうの軽音部,00001,hut_00001,gacha_banner_hut_00001,hometop_gacha_hut_00001,
バレンタインピックアップガシャ,glo,GLOW,00006,glo_00006,gacha_banner_glo_00006,hometop_gacha_glo_00006,
ハーフアニバーサリー 感謝祭!DXフェスガシャ A,glo,GLOW,00007,glo_00007,gacha_banner_glo_00007,hometop_gacha_glo_00007,
ハーフアニバーサリー 感謝祭!DXフェスガシャ B,glo,GLOW,00008,glo_00008,gacha_banner_glo_00008,hometop_gacha_glo_00008,
ハーフアニバーサリー 感謝祭!ピックアップガシャ,glo,GLOW,00009,glo_00009,gacha_banner_glo_00009,hometop_gacha_glo_00009,
ハーフアニバーサリー 感謝祭!記念ステップアップガシャ,glo,GLOW,00010,glo_00010,gacha_banner_glo_00010,hometop_gacha_glo_00010,
ありがとうメダルガシャ,glo,GLOW,00011,glo_00011,gacha_banner_glo_00011,hometop_gacha_glo_00011,
,,error,00000,_00000,gacha_banner__00000,hometop_gacha__00000,
,,error,00000,_00000,gacha_banner__00000,hometop_gacha__00000,
