　作品ID,作品名,立ち絵png_ID,キャラ名（仮）,キャラ名（監修FIX）,valid_start_date,valid_end_date,デプロイ,補足
spy,SPY×FAMILY,unit_stand_image_spy_00001,アーニャ・フォージャー,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,unit_stand_image_spy_00002,イーデン校の生徒 アーニャ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,unit_stand_image_spy_00101,ロイド・フォージャー,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,unit_stand_image_spy_00201,ヨル・フォージャー,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,unit_stand_image_spy_00301,ダミアン・デズモンド,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,unit_stand_image_spy_00401,フランキー・フランクリン,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aka,ラーメン赤猫,unit_stand_image_aka_00001,佐々木,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aka,ラーメン赤猫,unit_stand_image_aka_00101,文蔵,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,unit_stand_image_rik_00001,リコピン,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,unit_stand_image_rik_00101,甘戸 めめ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,unit_stand_image_rik_00201,チアミン,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,unit_stand_image_dan_00001,"オカルン
（制服着用）",,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,unit_stand_image_dan_00002,"オカルン（高倉 健）
（ターボババア憑依状態）",,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,unit_stand_image_dan_00101,綾瀬桃,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,unit_stand_image_dan_00201,白鳥 愛羅,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,unit_stand_image_gom_00001,姫（奴隷服）,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,unit_stand_image_gom_00101,トーチャー・トルチュール,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,unit_stand_image_chi_00001,デンジ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,unit_stand_image_chi_00002,"デンジ
（チェンソーマン）",,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン（一部）,unit_stand_image_chi_00101,早川アキ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
bat,忘却バッテリー,unit_stand_image_bat_00001,清峰 葉流火,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
bat,忘却バッテリー,unit_stand_image_bat_00101,要 圭,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,unit_stand_image_kai_00001,"日比野 カフカ
通常の戦闘スーツver",,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,unit_stand_image_kai_00002,"日比野 カフカ
怪獣8号ver",,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,unit_stand_image_kai_00101,市川 レノ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,unit_stand_image_kai_00201,亜白 ミナ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,unit_stand_image_kai_00301,四ノ宮 キコル,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,unit_stand_image_kai_00003,怪獣9号,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,unit_stand_image_yuw_00001,羽生 まゆら,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,unit_stand_image_yuw_00101,天乃 リリサ,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,unit_stand_image_yuw_00201,橘 美花莉,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,unit_stand_image_sur_00001,和倉 優希,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,unit_stand_image_sur_00101,羽前 京香,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,unit_stand_image_sur_00201,東 日万凛,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,unit_stand_image_sur_00301,駿河 朱々,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,unit_stand_image_sur_00401,大川村 寧,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
ron,鴨乃橋ロンの禁断推理,unit_stand_image_ron_00001,鴨乃橋 ロン,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
ron,鴨乃橋ロンの禁断推理,unit_stand_image_ron_00101,一色 都々丸,,2025-01-01 0:00:00,2970-01-01 11:59:59,,
