作品ID,作品名,コンテンツカテゴリー,コンテンツ_ID,コンテンツ名称,start_date,end_date,画像名,デプロイ
spy,SPY×FAMILY,event,contents_event_spy_00001,SPY×FAMILY いいジャン祭,,,,
spy,SPY×FAMILY,event,contents_event_spy_00002,,,,,
aka,ラーメン赤猫,event,contents_event_aka_00001,,,,,
rik,トマトイプーのリコピン,event,contents_event_rik_00001,,,,,
dan,ダンダダン,event,contents_event_dan_00001,ダンダダン いいジャン祭,,,,
gom,姫様“拷問”の時間です,event,contents_event_gom_00001,,,,,
chi,チェンソーマン,event,contents_event_chi_00001,,,,,
bat,忘却バッテリー,event,contents_event_bat_00001,,,,,
kai,怪獣８号,event,contents_event_kai_00001,怪獣８号 いいジャン祭,,,,
yuw,2.5次元の誘惑,event,contents_event_yuw_00001,,,,,
sur,魔都精兵のスレイブ,event,contents_event_sur_00001,,,,,
ron,鴨乃橋ロンの禁断推理,event,contents_event_ron_00001,,,,,
aha,阿波連さんははかれない,event,contents_event_aha_00001,,,,,
tak,タコピーの原罪,event,contents_event_tak_00001,,,,,
jig,地獄楽,event,contents_event_jig_00001,地獄楽 特集祭,,,,
mag,株式会社マジルミエ,event,contents_event_mag_00001,,,,,
dos,道産子ギャルはなまらめんこい,event,contents_event_dos_00001,,,,,
sum,サマータイムレンダ,event,contents_event_sum_00001,,,,,
glo,GLOW,event,contents_event_glo_00001,,,,,
,,,,,,,,
glo,GLOW,training,contents_training_glo_00001,,,,,
glo,GLOW,training,contents_training_glo_00002,,,,,
glo,GLOW,training,contents_training_glo_00003,,,,,
,,,,,,,,
glo,GLOW,duel,contents_duel_glo_00001,,,,,
glo,GLOW,duel,contents_duel_glo_00002,,,,,
glo,GLOW,duel,contents_duel_glo_00003,,,,,
,,,,,,,,
glo,GLOW,raid,contents_raid_glo_00001,,,,,
glo,GLOW,raid,contents_raid_glo_00002,,,,,
glo,GLOW,raid,contents_raid_glo_00003,,,,,
,,,,,,,,
glo,GLOW,limited,contents_limited_glo_00001,,,,,
glo,GLOW,limited,contents_limited_glo_00002,,,,,
glo,GLOW,limited,contents_limited_glo_00003,,,,,
