施策内容,種類,作品/ガシャID,識別番号,asset_key,ショップ画面・交換所バナーID,ホームバナーID,備考
特別割引プリズム×160,特別割引プリズム,,00001,increase_prism_00001,shop_product_increase_prism_00001,なし,80個の定常プリズムと同じ値段で、倍のプリズムを販売
特別割引プリズム×480,特別割引プリズム,,00002,increase_prism_00002,shop_product_increase_prism_00002,なし,240個の定常プリズムと同じ値段で、倍のプリズムを販売
特別割引プリズム×1020,特別割引プリズム,,00003,increase_prism_00003,shop_product_increase_prism_00003,なし,510個の定常プリズムと同じ値段で、倍のプリズムを販売
特別割引プリズム×3120,特別割引プリズム,,00004,increase_prism_00004,shop_product_increase_prism_00004,なし,1560個の定常プリズムと同じ値段で、倍のプリズムを販売
特別割引プリズム×5200,特別割引プリズム,,00005,increase_prism_00005,shop_product_increase_prism_00005,なし,2600個の定常プリズムと同じ値段で、倍のプリズムを販売
特別割引プリズム×10800,特別割引プリズム,,00006,increase_prism_00006,shop_product_increase_prism_00006,なし,5400個の定常プリズムと同じ値段で、倍のプリズムを販売
プリズム×80,プリズム,,00001,prism_00001,shop_product_prism_00001,なし,
プリズム×240,プリズム,,00002,prism_00002,shop_product_prism_00002,なし,
プリズム×510,プリズム,,00003,prism_00003,shop_product_prism_00003,なし,
プリズム×1560,プリズム,,00004,prism_00004,shop_product_prism_00004,なし,
プリズム×2600,プリズム,,00005,prism_00005,shop_product_prism_00005,なし,
プリズム×5400,プリズム,,00006,prism_00006,shop_product_prism_00006,なし,
コイン1,コイン,,00001,coin_00001,shop_product_coin_00001,なし,
コイン2,コイン,,00002,coin_00002,shop_product_coin_00002,なし,
コイン3,コイン,,00003,coin_00003,shop_product_coin_00003,なし,
コイン4,コイン,,00004,coin_00004,shop_product_coin_00004,なし,
コイン5,コイン,,00005,coin_00005,shop_product_coin_00005,なし,
コイン6,コイン,,00006,coin_00006,shop_product_coin_00006,なし,
,,,00000,#N/A,#N/A,なし,
,,,00000,#N/A,#N/A,なし,
,,,00000,#N/A,#N/A,なし,
,,,00000,#N/A,#N/A,なし,
