　作品ID,作品名,強敵（BOSS）専用アイコン_ID（無属性）,強敵（BOSS）専用アイコン_ID（赤属性）,強敵（BOSS）専用アイコン_ID（青属性）,強敵（BOSS）専用アイコン_ID（緑属性）,強敵（BOSS）専用アイコン_ID（黄属性）,キャラ名（仮）,キャラ名（監修FIX）,レアリティ,キャラ立ち位置,ロール,valid_start_date,valid_end_date,デプロイ,補足
spy,SPY×FAMILY,boss_icon_chara_spy_00001,red_boss_icon_chara_spy_00001,blue_boss_icon_chara_spy_00001,green_boss_icon_chara_spy_00001,yellow_boss_icon_chara_spy_00001,アーニャ・フォージャー,,N,プレイアブル＆敵キャラでも登場可,サポート,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_chara_spy_00002,red_boss_icon_chara_spy_00002,blue_boss_icon_chara_spy_00002,green_boss_icon_chara_spy_00002,yellow_boss_icon_chara_spy_00002,イーデン校の生徒 アーニャ,,SSR,プレイアブル＆敵キャラでも登場可,サポート,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_chara_spy_00101,red_boss_icon_chara_spy_00101,blue_boss_icon_chara_spy_00101,green_boss_icon_chara_spy_00101,yellow_boss_icon_chara_spy_00101,ロイド・フォージャー,,SR,プレイアブル＆敵キャラでも登場可,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_chara_spy_00201,red_boss_icon_chara_spy_00201,blue_boss_icon_chara_spy_00201,green_boss_icon_chara_spy_00201,yellow_boss_icon_chara_spy_00201,ヨル・フォージャー,,SR,プレイアブル＆敵キャラでも登場可,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_chara_spy_00301,red_boss_icon_chara_spy_00301,blue_boss_icon_chara_spy_00301,green_boss_icon_chara_spy_00301,yellow_boss_icon_chara_spy_00301,ダミアン・デズモンド,,R,プレイアブル＆敵キャラでも登場可,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_chara_spy_00401,red_boss_icon_chara_spy_00401,blue_boss_icon_chara_spy_00401,green_boss_icon_chara_spy_00401,yellow_boss_icon_chara_spy_00401,フランキー・フランクリン,,N,プレイアブル＆敵キャラでも登場可,ディフェンス,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_enemy_spy_00001,red_boss_icon_enemy_spy_00001,blue_boss_icon_enemy_spy_00001,green_boss_icon_enemy_spy_00001,yellow_boss_icon_enemy_spy_00001,キース・ケプラー,,,敵キャラonly ,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_enemy_spy_00002,red_boss_icon_enemy_spy_00002,blue_boss_icon_enemy_spy_00002,green_boss_icon_enemy_spy_00002,yellow_boss_icon_enemy_spy_00002,エドガー,,,敵キャラonly ,ディフェンス,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_enemy_spy_00003,red_boss_icon_enemy_spy_00003,blue_boss_icon_enemy_spy_00003,green_boss_icon_enemy_spy_00003,yellow_boss_icon_enemy_spy_00003,殺し屋たち（A）,,,敵キャラonly ,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
spy,SPY×FAMILY,boss_icon_enemy_spy_00004,red_boss_icon_enemy_spy_00004,blue_boss_icon_enemy_spy_00004,green_boss_icon_enemy_spy_00004,yellow_boss_icon_enemy_spy_00004,殺し屋たち（B）,,,敵キャラonly ,アタック,2025-01-01 0:00:00,2970-01-01 11:59:59,,
