　作品_ID,作品名,図鑑_ID,図鑑名称,valid_start_date,valid_end_date,画像名,デプロイ
spy,SPY×FAMILY,book_spy_00001,SPY×FAMILY,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aka,ラーメン赤猫,book_aka_00001,ラーメン赤猫,2025-01-01 0:00:00,2970-01-01 11:59:59,,
rik,トマトイプーのリコピン,book_rik_00001,トマトイプーのリコピン,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dan,ダンダダン,book_dan_00001,ダンダダン,2025-01-01 0:00:00,2970-01-01 11:59:59,,
gom,姫様“拷問”の時間です,book_gom_00001,姫様“拷問”の時間です,2025-01-01 0:00:00,2970-01-01 11:59:59,,
chi,チェンソーマン,book_chi_00001,チェンソーマン,2025-01-01 0:00:00,2970-01-01 11:59:59,,
bat,忘却バッテリー,book_bat_00001,忘却バッテリー,2025-01-01 0:00:00,2970-01-01 11:59:59,,
kai,怪獣８号,book_kai_00001,怪獣８号,2025-01-01 0:00:00,2970-01-01 11:59:59,,
yuw,2.5次元の誘惑,book_yuw_00001,2.5次元の誘惑,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sur,魔都精兵のスレイブ,book_sur_00001,魔都精兵のスレイブ,2025-01-01 0:00:00,2970-01-01 11:59:59,,
ron,鴨乃橋ロンの禁断推理,book_ron_00001,鴨乃橋ロンの禁断推理,2025-01-01 0:00:00,2970-01-01 11:59:59,,
aha,阿波連さんははかれない,book_aha_00001,阿波連さんははかれない,2025-01-01 0:00:00,2970-01-01 11:59:59,,
tak,タコピーの原罪,book_tak_00001,タコピーの原罪,2025-01-01 0:00:00,2970-01-01 11:59:59,,
jig,地獄楽,book_jig_00001,地獄楽,2025-01-01 0:00:00,2970-01-01 11:59:59,,
mag,株式会社マジルミエ,book_mag_00001,株式会社マジルミエ,2025-01-01 0:00:00,2970-01-01 11:59:59,,
dos,道産子ギャルはなまらめんこい,book_dos_00001,道産子ギャルはなまらめんこい,2025-01-01 0:00:00,2970-01-01 11:59:59,,
sum,サマータイムレンダ,book_sum_00001,サマータイムレンダ,2025-01-01 0:00:00,2970-01-01 11:59:59,,
osh,【推しの子】,book_osh_00001,【推しの子】,2026-01-01 0:00:00,2970-01-01 11:59:59,,
you,幼稚園WARS,book_you_00001,幼稚園WARS,2026-02-02 15:00:00,2970-01-01 11:59:59,,
kim,君のことが大大大大大好きな100人の彼女,book_kim_00001,君のことが大大大大大好きな100人の彼女,2026-02-16 15:00:00,2970-01-01 11:59:59,,
