キャラの特性欄に表示されるアイコンです,,,,,,,,
特性名,開発時の名称,分類,分類ID,識別ID,asset_key,特性アイコンID,アイコン制作状況,備考
パワーアップコマ効果ブースト,パワーアップコマ効果ブースト,コマ効果ブースト,boost,attackup_koma,attackup_koma_boost,unit_ability_icon_attackup_koma_boost,作成済み,
通常コマ時攻撃力アップ,通常コマ時攻撃力アップ,通常コマ時強化,normal_koma,attack_up,attack_up_normal_koma,unit_ability_icon_attack_up_normal_koma,作成済み,
通常コマ時移動スピードアップ,通常コマ時移動スピードアップ,通常コマ時強化,normal_koma,speed_up,speed_up_normal_koma,unit_ability_icon_speed_up_normal_koma,作成済み,
通常コマ時ダメージ軽減,通常コマ時ダメージ軽減,通常コマ時強化,normal_koma,damege_cut,damege_cut_normal_koma,unit_ability_icon_damege_cut_normal_koma,作成済み,
ダメージコマ無効化,ダメージコマ無効化,コマ効果無効,block,damage_koma,damage_koma_block,unit_ability_icon_damage_koma_block,作成済み,
パワーダウンコマ無効化,パワーダウンコマ無効化,コマ効果無効,block,attackdown_koma,attackdown_koma_block,unit_ability_icon_attackdown_koma_block,作成済み,
突風コマ無効化,突風コマ無効化,コマ効果無効,block,gust_koma,gust_koma_block,unit_ability_icon_gust_koma_block,作成済み,
毒ダメージ軽減,毒ダメージ軽減,状態異常ダメージ軽減,cut,poison_damge,poison_damge_cut,unit_ability_icon_poison_damge_cut,作成済み,
火傷ダメージ軽減,火傷ダメージ軽減,状態異常ダメージ軽減,cut,burn_damage,burn_damage_cut,unit_ability_icon_burn_damage_cut,作成済み,
氷結無効,氷結無効,デバフ無効,block,freeze,freeze_block,unit_ability_icon_freeze_block,作成済み,
スタン無効,スタン無効,デバフ無効,block,stun,stun_block,unit_ability_icon_stun_block,作成済み,
ノックバック無効,ノックバック無効,デバフ無効,block,knockback,knockback_block,unit_ability_icon_knockback_block,作成済み,
根性,根性,根性,,guts,guts,unit_ability_icon_guts,作成済み,
