インゲーム中に表示されるアイコンです。キャラの頭上や、インゲームキャラ詳細の状態変化欄、RUSHボタンの上などに表示されます。,,,,,,,,
状態変化名,開発時の名称,分類,分類ID,識別ID,状態変化アイコンID,備考,,
パワーアップコマ効果ブースト,パワーアップコマ効果ブースト,コマ効果ブースト,boost,attackup_koma,Icon-attackup_koma_boost,,,
通常コマ攻撃UP,通常コマ時攻撃力アップ,通常コマ時強化,normal_koma,attack_up,Icon-attack_up_normal_koma,,・赤属性特攻ダメージ,キラー
通常コマ時移動スピードアップ,通常コマ時移動スピードアップ,通常コマ時強化,normal_koma,speed_up,Icon-speed_up_normal_koma,,・青属性特攻ダメージ,キラー
通常コマ時ダメージ軽減,通常コマ時ダメージ軽減,通常コマ時強化,normal_koma,damage_cut,Icon-damage_cut_normal_koma,,・緑属性特攻ダメージ,キラー
ダメージコマ無効化,ダメージコマ無効化,コマ効果無効,block,damage_koma,Icon-damage_koma_block,,・黄属性特攻ダメージ,キラー
パワーダウンコマ無効化,パワーダウンコマ無効化,コマ効果無効,block,attackdown_koma,Icon-attackdown_koma_block,,・ノックバック攻撃,ノックバック
突風コマ無効化,突風コマ無効化,コマ効果無効,block,gust_koma,Icon-gust_koma_block,,・体力吸収攻撃,HP回復攻撃
毒,毒,状態異常,,poison,Icon-poison,,・スタン攻撃,スタン
火傷,火傷,状態異常,,burn,Icon-burn,,・氷結攻撃,氷結
氷結,氷結,状態異常,,freeze,Icon-freeze,,・火傷ダメージ付与,火傷
スタン,スタン,状態異常,,stun,Icon-stun,,・毒ダメージ付与,毒
氷結,状態異常無効,状態異常無効,block,freeze,Icon-freeze_block,,・ステータスUP,攻撃UP・移動スピードUP
スタン,状態異常無効,状態異常無効,block,stun,Icon-stun_block,,・ステータスDOWN,攻撃DOWN・移動スピードDOWN
毒,状態異常ダメージ軽減,状態異常ダメージ軽減,cut,poison_damage,Icon-poison_damage_cut,,・被ダメージカット,ダメージ軽減
火傷,状態異常ダメージ軽減,状態異常ダメージ軽減,cut,burn_damage,Icon-burn_damage_cut,,・体力回復,hp回復
攻撃力アップ,攻撃力アップ,ステータスUP,,attack_up,Icon-attack_up,,・RUSHダメージUP,総攻撃威力UP
移動スピードアップ,移動スピードアップ,ステータスUP,,speed_up,Icon-speed_up,,,
攻撃力ダウン,攻撃力ダウン,ステータスDOWN,,attack_down,Icon-attack_down,,,
移動スピードダウン,移動スピードダウン,ステータスDOWN,,speed_down,Icon-speed_down,,,
ダメージ軽減,ダメージ軽減,ダメージ軽減,cut,damage,Icon-damage_cut,,,
体力継続回復,HP継続回復,HP回復,heal,repeat,Icon-repeat_heal,,,
根性,根性,根性,,guts,Icon-guts,根性が発動した時に表示される,,
RUSHダメージアップ,RUSHダメージアップ,RUSH強化,,rush_damage_up,Icon-rush_damage_up,,,
