シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
4話,,event_osh1_challenge01_00004,,1,,EnterTargetKomaIndex,5,SummonEnemy,c_osh_00001_challenge_Boss_Red,,1,0,None,,None,,None,,None,,,FALSE,,Boss,Normal,6.8,2.4,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,2,,InitialSummon,0,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,1,0,None,1.85,Damage,1,None,,None,,,FALSE,,Default,Normal,2,1,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,3,,InitialSummon,0,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,1,0,None,1.65,Damage,1,None,,None,,,FALSE,,Default,Normal,2,1,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,4,,InitialSummon,0,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,1,0,None,2.4,EnterTargetKoma,4,None,,None,,,FALSE,,Default,Normal,2,1,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,5,,InitialSummon,0,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,1,0,None,2.55,EnterTargetKoma,4,None,,None,,,FALSE,,Default,Normal,2,1,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,6,,FriendUnitDead,2,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,2,1,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,7,,FriendUnitDead,2,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,7,800,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,0.8,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,8,,FriendUnitDead,6,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,2,1,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,9,,FriendUnitDead,6,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,12,1000,None,,None,,None,,None,,,FALSE,,Default,Normal,1.7,1.2,1,,0,,None,,202512020
4話,,event_osh1_challenge01_00004,,10,,ElapsedTime,800,SummonEnemy,e_glo_00002_charaget_repeat_Normal_Colorless,,12,1200,None,,None,,None,,None,,,FALSE,,Default,Normal,1.7,1.2,1,,0,,None,,202512020
