,,,,,,,,,,,,,,,,
,mst_in_game_id,,,language,,result_tips,,,,,,,,,文字数,
,event_osh1_charaget02_00001,,,ja,,"ダメージを与えると強い敵が動き始めるぞ!
最初にリーダーPを貯めてからキャラを召喚してみよう!",,,,,,,,,,47
,event_osh1_charaget02_00002,,,ja,,"ダメージを与えると強い敵が動き始めるぞ!
ディフェンスキャラを召喚してリーダーPが貯まる時間を稼ごう!",,,,,,,,,,51
,event_osh1_charaget02_00003,,,ja,,"登場する強敵は攻撃力が高いぞ！
高コストのキャラやHPの高いキャラを召喚して戦おう！",,,,,,,,,,42
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
