,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージコンセプト,,,,,,,,,,,,,,,,,ステージ情報詳細,,,,,,,,,,,,,,,,,memo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"新規流入が見込めるタイミングなので、接待してあげる。
敵がたくさん倒せてド派手で爽快な遊びができる状態。
敵の攻撃は低めにする関係で一番下の段はある程度痛い火傷と毒コマを配置してあげることでゲートは直接殴れないようにする",,,,,,,,,,,,,,,,,"このステージは、4段で構成されているぞ!

【ギミック情報】
ノックバック攻撃をしてくる敵や火傷攻撃をしてくる敵や
敵自身の攻撃UPをしてくる敵や
味方の攻撃DOWNをしてくる敵が登場するぞ!
特性で火傷ダメージ軽減を持っているキャラを編成しよう!

無属性の『有馬 かな』は
火傷攻撃をしてくるぞ!

敵を多く倒して、スコアを稼ごう!",,,,,,,,,,,,,,,,,"左から立ち位置はMEM+有馬かな+ルビィ
メインの方針としてはアクア使ったら爽快感ある感じにしたい
雑魚は本当に雑魚のものを用意して気持ちよくなってもらう
ステージが始まると2段目以降は暗闇コマ隠れており2コマ目に侵入すると暗闇が一気に晴れる/最初待っているとサイリウムファントムがかけてくる

ギミック
火傷

3-4グループ目からめっちゃいたい火傷してくる


雑魚MEM+有馬かな(強敵)+ルビィ
w1
サイリウム軍団+ボスサイリウム(アクアBonus/HP1万)
w2
MEM(強敵)
w3
ルビィ(強敵)
w4
サイリウム軍団+ボスサイリウム
w4
雑魚MEM+有馬かな(強敵)+ルビィ
w5
有馬かな(強敵)+サイリウム軍団+ボスサイリウム(アクアBonus2/HP2万)
→w1に戻る",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田検証したメモ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,キャラlv,ゲートlv,スコア,,到達w,,キャラlv,ゲートlv,スコア,,到達w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,42576,,w2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージ名（最大20文字）,,,,,文字数,,スタミナ,,通常BGM,,,,,ボスBGM,,,,,ホームテキスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,88364,,w4,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ファーストライブ,,,,,8,,消費なし,,SSE_SBG_003_006,,,,,なし,,,,,ボスを倒して高スコア獲得！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,178362,,w5,,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,225755,,w5,,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
