,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/11/20,,,前田,,,,,,,,,,,表示箇所なしのため設定不要,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,ファーストライブ,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_raid_osh1_00001,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,降臨バトル,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202512020,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/1/9,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/1/13,,,14:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_osh_00301,,,MEMちょ,,,,,,,,,,,,,,,,,,,,,,
,chara_osh_00401,,,有馬 かな,,,,,,,,,,,,,,,,,,,,,,
,chara_osh_00201,,,星野 ルビー,,,,,,,,,,,,,,,,,,,,,,
