,,,,,,,,,,,,,,,,
,mst_in_game_id,,,language,,result_tips,,,,,,,,,文字数,
,event_jig1_charaget01_00001,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_jig1_charaget01_00002,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_jig1_charaget01_00003,,,ja,,緑属性のキャラを編成してみよう!,,,,,,,,,,16
,event_jig1_charaget01_00004,,,ja,,赤属性のキャラを編成してみよう!,,,,,,,,,,16
,event_jig1_charaget01_00005,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_jig1_charaget01_00006,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
