,,,,,,,,,,,,,,,,
,mst_in_game_id,,,language,,result_tips,,,,,,,,,文字数,
,event_jig1_charaget02_00001,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_jig1_charaget02_00002,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_jig1_charaget02_00003,,,ja,,青属性のキャラを編成してみよう!,,,,,,,,,,16
,event_jig1_charaget02_00004,,,ja,,青属性のキャラを編成してみよう!,,,,,,,,,,16
,event_jig1_charaget02_00005,,,ja,,ノックバック無効キャラを編成してみよう!,,,,,,,,,,20
,event_jig1_charaget02_00006,,,ja,,ノックバック無効キャラを編成してみよう!,,,,,,,,,,20
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
