,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージコンセプト,,,,,,,,,,,,,,,,,ステージ情報詳細,,,,,,,,,,,,,,,,,,作成用メモ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"地獄楽は黄色キャラが未登場のため青の敵は出ない。

敵の同時出現数は少なめ。高HPの強敵と殴り合いリレー。
UR弔兵衛の弱体化を受けて下がられるとデバフが薄まるので、全エネミーHP低下でノックバックしない。",,,,,,,,,,,,,,,,,"このステージは、3段で構成されているぞ!

【ギミック情報】
体力と攻撃の高い強敵が多く登場するぞ!
高ダメージを与えられるキャラを編成しよう!

敵を多く倒して、スコアを稼ごう!",,,,,,,,,,,,,,,,,,,,,本ID,元ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ヂュジン　黄,,e_jig_00601_jig1_advent_Boss_Yellow,e_mag_00001_mag1_advent_Boss_Green,冷却,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,極楽蝶　無,,e_jig_00401_jig1_advent_Normal_Colorless,e_mag_00101_mag1_advent_Normal_Colorless,つらら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,極楽蝶　赤,,e_jig_00401_jig1_advent_Normal_Red,e_mag_00101_mag1_advent_Normal_Red,つらら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージ名（最大20文字）,,,,,文字数,,スタミナ,,通常BGM,,,,,ボスBGM,,,,,ホームテキスト,,,,,,,,,,,,,,,,,極楽蝶　黄色,,e_jig_00401_jig1_advent_Normal_Yellow,e_mag_00101_mag1_advent_Normal_Yellow,つらら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,まるで 悪夢を見ているようだ,,,,,14,,,,SSE_SBG_003_008,,,,,,,,,,ボスを倒して高スコア獲得！！,,,,,,,,,,,,,,,,,極楽蝶　緑,,e_jig_00401_jig1_advent_Normal_Green,e_mag_00101_mag1_advent_Normal_Green,つらら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,門神大　赤,,e_jig_00201_jig1_advent_Boss_Red,e_mag_00201_mag1_advent_Boss_Red,建造物大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
