作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ,ラベル,属性,キャラ立ち位置,ロール,通常攻撃モーション,攻撃射程,必殺ワザモーション,必殺ワザ発動有無,通常攻撃モーション,通常攻撃発生,必殺攻撃モーション,必殺攻撃発生,valid_start_date,valid_end_date,catch_copy_image_filename,ノーマル敵専用アイコン_ID,BOSS専用アイコン_ID,通常攻撃Asset,必殺ワザAsset
spy,SPY×FAMILY,00001,chara_spy_00001,わくわく アーニャ,わくわく アーニャ,せいふくのアーニャかわいい？,UR,PremiumUR,無,chara,スペシャル,-,ー,-,00001,-,-,3.44,0,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_spy_00001.png,enemy_icon_chara_spy_00001,boss_icon_chara_spy_00001,,chara_spy_00001_special
spy,SPY×FAMILY,00002,chara_spy_00002,アーニャ（ドレスアップ）,選定中,わくわくっ！,SSR,FestivalSSR,無,chara,スペシャル,-,ー,-,00002,-,-,2.4,stop無:1.03,実装未定,2970-01-01 11:59:59,catchcopy_character_chara_spy_00002.png,enemy_icon_chara_spy_00002,boss_icon_chara_spy_00002,,
spy,SPY×FAMILY,00101,chara_spy_00101,<黄昏> ロイド,<黄昏> ロイド,終わりにしよう,UR,PremiumUR,黄,chara,アタック,shageki_1,Long,shageki_1,00101,1.64,0.83,2.50,1.33,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_spy_00101.png,enemy_icon_chara_spy_00101,boss_icon_chara_spy_00101,chara_spy_00101_normal,chara_spy_00101_special
spy,SPY×FAMILY,00201,chara_spy_00201,<いばら姫> ヨル,<いばら姫> ヨル,この手が血で汚れても構わない,UR,PremiumUR,赤,chara,アタック,zangeki_1,Middle,dageki_1,00201,1.42,stop無:1回目 0.61,2.50,stop有:1回目 0.73,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_spy_00201.png,enemy_icon_chara_spy_00201,boss_icon_chara_spy_00201,chara_spy_00201_normal,chara_spy_00201_special
spy,SPY×FAMILY,00301,chara_spy_00301,ダミアン・デズモンド,ダミアン・デズモンド,いい気になるなよ,SR,DropSR,無,chara,スペシャル,-,ー,-,00301,-,-,2.10,0,2025/10/06 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_spy_00301.png,enemy_icon_chara_spy_00301,boss_icon_chara_spy_00301,,chara_spy_00301_special
spy,SPY×FAMILY,00401,chara_spy_00401,フランキー・フランクリン,フランキー・フランクリン,超人外骨格！！,SR,DropSR,緑,chara,ディフェンス,dageki_2,Short,dageki_2,00401,1.20,0.50,2.75,1.34,2025/10/06 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_spy_00401.png,enemy_icon_chara_spy_00401,boss_icon_chara_spy_00401,chara_spy_00401_normal,chara_spy_00401_special
spy,SPY×FAMILY,00501,chara_spy_00501,ユーリ・ブライア,姉を想う盲愛 ユーリ・ブライア,姉さぁーーーん♡,UR,PremiumUR,青,chara,ディフェンス,dageki_1,Short,-,00501,1.13,stop有:1回目 0.33,2.33,stop無:1回目 1.17,2025/10/06 15:00:00,2970-01-01 11:59:59,catchcopy_character_chara_spy_00501.png,enemy_icon_chara_spy_00501,boss_icon_chara_spy_00501,,chara_spy_00501_special
aka,ラーメン赤猫,00001,chara_aka_00001,佐々木,佐々木,ハチワレの猫の佐々木さん,R,PremiumR,赤,chara,ディフェンス,dageki_1,Short,zangeki_1,00001,1.70,0.66,,1.33,2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_aka_00001.png,enemy_icon_chara_aka_00001,boss_icon_chara_aka_00001,,chara_aka_00001_special
aka,ラーメン赤猫,00101,chara_aka_00101,文蔵,文蔵,ラーメン赤猫の職人,R,PremiumR,赤,chara,テクニカル,dageki_1,Short,zangeki_1,00101,1.50,stop無:1回目 0.54,4.50,"stop無:1回目 1.37
stop無:2回目 1.63
stop有:3回目 2.67",2025-09-22 11:00:00,2970-01-01 11:59:59,catchcopy_character_chara_aka_00101.png,enemy_icon_chara_aka_00101,boss_icon_chara_aka_00101,chara_aka_00101_normal,chara_aka_00101_special
aka,ラーメン赤猫,00201,chara_aka_00201,ハナ,ハナ,ハナのほっこり接客術,SR,DropSR,赤,chara,サポート,-,,-,,1.35,stop有:1回目 0.63,2.33,stop無:1回目 0.6,2026年5月中旬のアニマル祭りで実装予定,2970-01-01 11:59:59,catchcopy_character_chara_aka_00201.png,enemy_icon_chara_aka_00201,boss_icon_chara_aka_00201,chara_aka_00101_normal,chara_aka_00101_special
