,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/12/17,,,古澤,,,,,,,,,,,表示されないため設定なし,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,兄を助けてくれないか?,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_you1_charaget02,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202602010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/02/06,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/03/02,,,10:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_you_00301,,,ハナ,,,具合でも悪いのか？,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
