シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
6話,,event_you1_charaget01_00006,,1,,ElapsedTime,4000,SummonEnemy,c_you_00001_you1_charaget01_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,7,7,1,300,0,,None,,202602010
6話,,event_you1_charaget01_00006,,2,,ElapsedTime,3000,SummonEnemy,c_you_00201_you1_charaget01_Boss_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,7,5,1,200,0,,None,,202602010
6話,,event_you1_charaget01_00006,,3,,ElapsedTime,500,SummonEnemy,e_you_00001_you1_charaget01_Normal_Colorless,,3,1250,None,,None,,None,,None,,,FALSE,,Default,Normal,10,3,1,70,0,,None,,202602010
6話,,event_you1_charaget01_00006,,4,,ElapsedTime,4000,SummonEnemy,e_you_00001_you1_charaget01_Normal_Colorless,,99,1000,None,,None,,None,,None,,,FALSE,,Default,Normal,10,3,1,70,0,,None,,202602010
6話,,event_you1_charaget01_00006,,5,,ElapsedTime,1000,SummonEnemy,e_you_00101_you1_charaget01_Normal_Yellow,,3,1500,None,,None,,None,,None,,,FALSE,,Default,Normal,8,4,1,70,0,,None,,202602010
6話,,event_you1_charaget01_00006,,6,,ElapsedTime,3000,SummonEnemy,e_you_00101_you1_charaget01_Normal_Yellow,,2,1500,Fall4,2.8,None,,None,,None,,,FALSE,,Default,Normal,8,4,1,70,0,,None,,202602010
6話,,event_you1_charaget01_00006,,7,,ElapsedTime,3000,SummonEnemy,e_you_00101_you1_charaget01_Normal_Yellow,,2,1500,Fall4,2.7,None,,None,,None,,,FALSE,,Default,Normal,8,4,1,70,0,,None,,202602010
5話,,event_you1_charaget01_00005,,1,,ElapsedTime,4500,SummonEnemy,c_you_00001_you1_charaget01_Boss_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,5.5,6,1,300,0,,None,,202602010
5話,,event_you1_charaget01_00005,,2,,ElapsedTime,3000,SummonEnemy,c_you_00201_you1_charaget01_Boss_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,8.5,5,1,200,0,,None,,202602010
5話,,event_you1_charaget01_00005,,3,,ElapsedTime,500,SummonEnemy,e_you_00001_you1_charaget01_Normal_Colorless,,6,1200,None,,None,,None,,None,,,FALSE,,Default,Normal,10,3,1,70,0,,None,,202602010
