シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
Sequence,,raid_you1_00001,,1,,InitialSummon,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,1,0,None,1.2,EnterTargetKoma,0,None,,None,,,FALSE,,Default,Normal,10,1,1,100,30,,None,,202602010
Sequence,,raid_you1_00001,,2,,InitialSummon,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,1,0,None,1.5,EnterTargetKoma,1,None,,None,,,FALSE,,Default,Normal,10,1,1,100,30,,None,,202602010
Sequence,,raid_you1_00001,,3,,InitialSummon,0,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,1,0,None,1.8,EnterTargetKoma,1,None,,None,,,FALSE,,Default,Normal,4,2,1,200,30,,None,,202602010
Sequence,,raid_you1_00001,,4,,ElapsedTime,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,FALSE,,Default,Normal,4,2,1,100,10,,None,,202602010
Sequence,,raid_you1_00001,,groupchange_1,,FriendUnitDead,3,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202602010
Sequence,,raid_you1_00001,w1,5,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_you_00001_you1_advent_Normal_Colorless,,1,0,Fall,2.8,None,,None,,None,,,FALSE,,Default,Normal,10,2,1,100,50,,None,,202602010
Sequence,,raid_you1_00001,w1,6,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_you_00201_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss1,Normal,8,4,1,150,75,,None,,202602010
Sequence,,raid_you1_00001,w1,7,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,250,Fall,2.5,None,,None,,None,,,FALSE,,Default,Normal,20,1,1,50,30,,None,,202602010
Sequence,,raid_you1_00001,w1,8,,ElapsedTimeSinceSequenceGroupActivated,750,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,3,500,None,,None,,None,,None,,,FALSE,,Default,Normal,20,1,1,50,10,,None,,202602010
Sequence,,raid_you1_00001,w1,groupchange_2,,FriendUnitDead,6,SwitchSequenceGroup,w2,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202602010
Sequence,,raid_you1_00001,w2,9,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_you_00101_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss1,Normal,20,8,1,150,75,,None,,202602010
Sequence,,raid_you1_00001,w2,10,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,50,None,,None,,None,,None,,,FALSE,,Default,Normal,25,3,1,50,10,,None,,202602010
Sequence,,raid_you1_00001,w2,11,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_you_00001_you1_advent_Normal_Green,,2,150,Fall,2.5,None,,None,,None,,,FALSE,,Default,Normal,25,3,1,50,30,,None,,202602010
Sequence,,raid_you1_00001,w2,12,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,100,None,,None,,None,,None,,,FALSE,,Default,Normal,10,8,1,50,10,,None,,202602010
Sequence,,raid_you1_00001,w2,13,,ElapsedTimeSinceSequenceGroupActivated,1500,SummonEnemy,e_you_00101_you1_advent_Normal_Green,,3,250,None,,None,,None,,None,,,FALSE,,Default,Normal,10,8,1,50,10,,None,,202602010
Sequence,,raid_you1_00001,w2,groupchange_3,,FriendUnitDead,9,SwitchSequenceGroup,w3,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202602010
Sequence,,raid_you1_00001,w3,14,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_you_00301_you1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,AdventBoss2,Normal,30,10,1,150,200,,None,,202602010
