チェック,シート名,マッピング,マスターURL,最終チェック日時,結果
TRUE,1話_n,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,2話_n,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,3話_n,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,1話_h,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,2話_h,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,3話_h,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,1話_Ex,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,2話_Ex,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,3話_Ex,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/04,✅ OK
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
