memo,,,,,,,,,,,,,
TABLE,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttack,MstAttackI18n,MstAttackI18n
ENABLE,release_key,id,mst_unit_id,unit_grade,attack_kind,killer_colors,killer_percentage,action_frames,attack_delay,next_attack_interval,asset_key,description.ja,grade_description.ja
e,202509010,chara_dan_00001_Normal_00000,chara_dan_00001,0,Normal,,,72,27,100,,表示場所なし,
e,202509010,chara_dan_00001_Special_00001,chara_dan_00001,1,Special,,,200,83,0,,自身への被ダメージを6秒間、10%カット,
e,202509010,chara_dan_00001_Special_00002,chara_dan_00001,2,Special,,,200,83,0,,自身への被ダメージを6.5秒間、12%カット,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00001_Special_00003,chara_dan_00001,3,Special,,,200,83,0,,自身への被ダメージを6.7秒間、13%カット,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00001_Special_00004,chara_dan_00001,4,Special,,,200,83,0,,自身への被ダメージを6.9秒間、13%カット,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00001_Special_00005,chara_dan_00001,5,Special,,,200,83,0,,自身への被ダメージを6.9秒間、14%カット,ステータスUP + 必殺ワザ性能UP
,,chara_dan_00001_Special_00006,chara_dan_00001,6,Special,,,200,83,0,,,
,,chara_dan_00001_Special_00007,chara_dan_00001,7,Special,,,200,83,0,,,
,,chara_dan_00001_Special_00008,chara_dan_00001,8,Special,,,200,83,0,,,
,,chara_dan_00001_Special_00009,chara_dan_00001,9,Special,,,200,83,0,,,
,,chara_dan_00001_Special_00010,chara_dan_00001,10,Special,,,200,83,0,,,
e,202509010,chara_dan_00002_Normal_00000,chara_dan_00002,0,Normal,,,92,0,75,,表示場所なし,
e,202509010,chara_dan_00002_Special_00001,chara_dan_00002,1,Special,,,261,0,0,,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大111%ダメージ),
e,202509010,chara_dan_00002_Special_00002,chara_dan_00002,2,Special,,,261,0,0,,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大125%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00002_Special_00003,chara_dan_00002,3,Special,,,261,0,0,,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大134%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00002_Special_00004,chara_dan_00002,4,Special,,,261,0,0,,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大141%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00002_Special_00005,chara_dan_00002,5,Special,,,261,0,0,,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大146%ダメージ),ステータスUP + 必殺ワザ性能UP
,,chara_dan_00002_Special_00006,chara_dan_00002,6,Special,,,261,0,0,,,
,,chara_dan_00002_Special_00007,chara_dan_00002,7,Special,,,261,0,0,,,
,,chara_dan_00002_Special_00008,chara_dan_00002,8,Special,,,261,0,0,,,
,,chara_dan_00002_Special_00009,chara_dan_00002,9,Special,,,261,0,0,,,
,,chara_dan_00002_Special_00010,chara_dan_00002,10,Special,,,261,0,0,,,
e,202509010,chara_dan_00101_Normal_00000,chara_dan_00101,0,Normal,,,50,25,75,,表示場所なし,
e,202509010,chara_dan_00101_Special_00001,chara_dan_00101,1,Special,,,100,50,0,,敵複数体に自身の攻撃ステータスの98%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,
e,202509010,chara_dan_00101_Special_00002,chara_dan_00101,2,Special,,,100,50,0,,敵複数体に自身の攻撃ステータスの112%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00101_Special_00003,chara_dan_00101,3,Special,,,100,50,0,,敵複数体に自身の攻撃ステータスの122%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00101_Special_00004,chara_dan_00101,4,Special,,,100,50,0,,敵複数体に自身の攻撃ステータスの130%のダメージ + 攻撃がヒットした場合、敵を中ノックバック,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_dan_00101_Special_00005,chara_dan_00101,5,Special,,,100,50,0,,敵複数体に自身の攻撃ステータスの135%のダメージ + 攻撃がヒットした場合、敵を中ノックバック,ステータスUP + 必殺ワザ性能UP
,,chara_dan_00101_Special_00006,chara_dan_00101,6,Special,,,100,50,0,,,
,,chara_dan_00101_Special_00007,chara_dan_00101,7,Special,,,100,50,0,,,
,,chara_dan_00101_Special_00008,chara_dan_00101,8,Special,,,100,50,0,,,
,,chara_dan_00101_Special_00009,chara_dan_00101,9,Special,,,100,50,0,,,
,,chara_dan_00101_Special_00010,chara_dan_00101,10,Special,,,100,50,0,,,
e,202509010,chara_gom_00001_Normal_00000,chara_gom_00001,0,Normal,,,65,25,100,,表示場所なし,
e,202509010,chara_gom_00001_Special_00001,chara_gom_00001,1,Special,,,200,115,0,,自身への被ダメージを3.2秒間、30%カット,
e,202509010,chara_gom_00001_Special_00002,chara_gom_00001,2,Special,,,200,115,0,,自身への被ダメージを4.4秒間、32%カット,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00001_Special_00003,chara_gom_00001,3,Special,,,200,115,0,,自身への被ダメージを5.1秒間、33%カット,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00001_Special_00004,chara_gom_00001,4,Special,,,200,115,0,,自身への被ダメージを5.7秒間、34%カット,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00001_Special_00005,chara_gom_00001,5,Special,,,200,115,0,,自身への被ダメージを6秒間、35%カット,ステータスUP + 必殺ワザ性能UP
,,chara_gom_00001_Special_00006,chara_gom_00001,6,Special,,,200,115,0,,,
,,chara_gom_00001_Special_00007,chara_gom_00001,7,Special,,,200,115,0,,,
,,chara_gom_00001_Special_00008,chara_gom_00001,8,Special,,,200,115,0,,,
,,chara_gom_00001_Special_00009,chara_gom_00001,9,Special,,,200,115,0,,,
,,chara_gom_00001_Special_00010,chara_gom_00001,10,Special,,,200,115,0,,,
e,202509010,chara_gom_00101_Normal_00000,chara_gom_00101,0,Normal,,,67,22,50,,表示場所なし,
e,202509010,chara_gom_00101_Special_00001,chara_gom_00101,1,Special,,,242,150,0,,敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を6秒間、10%DOWN,
e,202509010,chara_gom_00101_Special_00002,chara_gom_00101,2,Special,,,242,150,0,,敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を6.6秒間、12%DOWN,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00101_Special_00003,chara_gom_00101,3,Special,,,242,150,0,,敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を6.9秒間、13%DOWN,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00101_Special_00004,chara_gom_00101,4,Special,,,242,150,0,,敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を7秒間、13%DOWN,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00101_Special_00005,chara_gom_00101,5,Special,,,242,150,0,,敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を7秒間、14%DOWN,ステータスUP + 必殺ワザ性能UP
,,chara_gom_00101_Special_00006,chara_gom_00101,6,Special,,,242,150,0,,,
,,chara_gom_00101_Special_00007,chara_gom_00101,7,Special,,,242,150,0,,,
,,chara_gom_00101_Special_00008,chara_gom_00101,8,Special,,,242,150,0,,,
,,chara_gom_00101_Special_00009,chara_gom_00101,9,Special,,,242,150,0,,,
,,chara_gom_00101_Special_00010,chara_gom_00101,10,Special,,,242,150,0,,,
e,202509010,chara_gom_00201_Normal_00000,chara_gom_00201,0,Normal,,,72,0,140,,表示場所なし,
e,202509010,chara_gom_00201_Special_00001,chara_gom_00201,1,Special,,,250,0,0,,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大60%ダメージ),
e,202509010,chara_gom_00201_Special_00002,chara_gom_00201,2,Special,,,250,0,0,,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大70%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00201_Special_00003,chara_gom_00201,3,Special,,,250,0,0,,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大77%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00201_Special_00004,chara_gom_00201,4,Special,,,250,0,0,,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大82%ダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_gom_00201_Special_00005,chara_gom_00201,5,Special,,,250,0,0,,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大85%ダメージ),ステータスUP + 必殺ワザ性能UP
,,chara_gom_00201_Special_00006,chara_gom_00201,6,Special,,,250,0,0,,,
,,chara_gom_00201_Special_00007,chara_gom_00201,7,Special,,,250,0,0,,,
,,chara_gom_00201_Special_00008,chara_gom_00201,8,Special,,,250,0,0,,,
,,chara_gom_00201_Special_00009,chara_gom_00201,9,Special,,,250,0,0,,,
,,chara_gom_00201_Special_00010,chara_gom_00201,10,Special,,,250,0,0,,,
e,202509010,chara_jig_00001_Normal_00000,chara_jig_00001,0,Normal,,,59,10,50,,表示場所なし,
e,202509010,chara_jig_00001_Special_00001,chara_jig_00001,1,Special,,,115,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大170%ダメージ) + 1回目の攻撃がヒットした場合、敵を3秒間、最大3000ダメージの火傷状態にする,
e,202509010,chara_jig_00001_Special_00002,chara_jig_00001,2,Special,,,115,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大192%ダメージ) + 1回目の攻撃がヒットした場合、敵を6秒間、最大12000ダメージの火傷状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00001_Special_00003,chara_jig_00001,3,Special,,,115,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大207%ダメージ) + 1回目の攻撃がヒットした場合、敵を9秒間、最大27000ダメージの火傷状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00001_Special_00004,chara_jig_00001,4,Special,,,115,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大218%ダメージ) + 1回目の攻撃がヒットした場合、敵を9秒間、最大30600ダメージの火傷状態にする,ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00001_Special_00005,chara_jig_00001,5,Special,,,115,0,0,,敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大225%ダメージ) + 1回目の攻撃がヒットした場合、敵を9秒間、最大36000ダメージの火傷状態にする,ステータスUP + 必殺ワザ性能UP
,,chara_jig_00001_Special_00006,chara_jig_00001,6,Special,,,115,0,0,,,
,,chara_jig_00001_Special_00007,chara_jig_00001,7,Special,,,115,0,0,,,
,,chara_jig_00001_Special_00008,chara_jig_00001,8,Special,,,115,0,0,,,
,,chara_jig_00001_Special_00009,chara_jig_00001,9,Special,,,115,0,0,,,
,,chara_jig_00001_Special_00010,chara_jig_00001,10,Special,,,115,0,0,,,
e,202509010,chara_jig_00101_Normal_00000,chara_jig_00101,0,Normal,,,75,25,50,,表示場所なし,
e,202509010,chara_jig_00101_Special_00001,chara_jig_00101,1,Special,Green,110,125,60,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は110%のダメージ),
e,202509010,chara_jig_00101_Special_00002,chara_jig_00101,2,Special,Green,125,125,60,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は125%のダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00101_Special_00003,chara_jig_00101,3,Special,Green,136,125,60,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は136%のダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00101_Special_00004,chara_jig_00101,4,Special,Green,144,125,60,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は144%のダメージ),ステータスUP + 必殺ワザ性能UP
e,202509010,chara_jig_00101_Special_00005,chara_jig_00101,5,Special,Green,150,125,60,0,,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は150%のダメージ),ステータスUP + 必殺ワザ性能UP
,,chara_jig_00101_Special_00006,chara_jig_00101,6,Special,Green,170,125,60,0,,,
,,chara_jig_00101_Special_00007,chara_jig_00101,7,Special,Green,170,125,60,0,,,
,,chara_jig_00101_Special_00008,chara_jig_00101,8,Special,Green,170,125,60,0,,,
,,chara_jig_00101_Special_00009,chara_jig_00101,9,Special,Green,170,125,60,0,,,
,,chara_jig_00101_Special_00010,chara_jig_00101,10,Special,Green,170,125,60,0,,,
e,202509010,chara_jig_00201_Normal_00000,chara_jig_00201,0,Normal,,,84,50,75,,表示場所なし,
