,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lv,固定ダメージ,⚪︎⚪︎効果,,,,,,,
,"URでアイと同等に売りたいので、新性能を2種取り込んだスペシャルキャラとして設計

固定ダメージを与える　＆　召喚リキャスト時間をN秒短縮する

固定ダメージを与える　まではいいが、再召喚リキャ短縮も同時に行なってしまうので、
低コストだとぶっ壊れる可能性大。
よってコストを750~850に抑えて妥当ラインにしなければならない
900以上はロイド召喚すればよくないか？となりやすい",,,,,,,,,,,,,,,,2026-01-01 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00,0.00,,,,,,,
,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,10000.00,0.00,※固定ダメージのみ四捨五入計算,,,,,,
,,,,,,,,,,,,,,,,,【推しの子】いいジャン祭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,備考,,,,,,,,
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,,,Lv毎に割った数値が加算されます(各Lvで誤差が生まれるタイミングあり）,,,,,※固定ダメージのみ四捨五入計算 小数点が.5を超えると1ずつズレる,,,
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,固定ダメージ,67.11,,,,ex,,,
,chara_osh_00101,,,,復讐を誓う片星 星野 アクア,,,,,,,,【推しの子】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⚪︎⚪︎効果,0.00,,5302,,Lv2 15067,335,,
,ラベル,,,ロール,,,属性,,,攻撃射程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lv3 15134,,,
,PremiumUR,,,スペシャル,,,無,,,ー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,,,,,,,,Lv6 15336,←四捨五入ゾーン,,
,※キャラクター名：Glow_ID_管理のFIX名称を参照。未記入の場合(仮)名称を参照。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遠距離,,,,,,,,,,,,,,,
,基本ステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,召喚コスト,,再召喚時間F,,,well_distace,,,移動速度,,,KB回数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■スペシャルキャラ(ランクアップ),,,,,,,,
,750,,-,,,該当なし,,,該当なし,,,該当なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初期RUSHボーナス上限値,,,成長曲線係数,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50%,,,6,,,,,
,Lvステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RushダメージUPランク1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ランク,係数,上昇値,Lv,差分,,,,
,0.50%,,,,,,その他の数字は右の表確認してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,10,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.43,0.71%,20,0.71%,,,,
,特性,,,,,,,効果値,,解放ランク,,解放レベル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.66,0.83%,30,0.12%,,,,
,1,-,,,,,,-,,-,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.00,1.00%,40,0.17%,,,,
,2,-,,,,,,-,,-,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.49,1.25%,50,0.25%,,,,
,3,-,,,,,,-,,-,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.16,1.58%,60,0.33%,,,,
,,,,,,,,,,,,,,"※解放ランク1=Lv20,ランク2=Lv30。以降同様。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4.00,2.00%,70,0.42%,,,,
,通常攻撃ステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.98,2.49%,80,0.49%,,,,
,オノマトペ,,,通常攻撃発生F,,,攻撃ヒットF,,,,攻撃CDF,,,攻撃距離,,,射程,,攻撃範囲,,,攻撃倍率,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.02,3.01%,90,0.52%,,,,
,-,,,-,,,-,,,,0,,,該当なし,,,該当なし,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.00,3.50%,100,0.49%,,,,
,range_start_type,,,range_start_parameter,,,,range_end_type,,,range_end_parameter,,,,対象,,対象属性,,,対象ロール,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.84,3.92%,110,0.42%,,,,
,Distance,,,0,,,,Distance,,,該当なし,,,,敵,,All,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8.51,4.25%,120,0.33%,,,,
,→,攻撃発生Fと攻撃ヒットFは各数値に *50。その他攻撃CDFは/50。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9.00,4.50%,130,0.25%,,,,
,必殺ワザステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※数式参照用,,,,,,,13,9.34,4.67%,140,0.17%,,,,
,"必殺攻撃_
オノマトペ",,,必殺攻撃F,,,必殺攻撃ヒットF,,,,初回必殺CDF,,,2回目以降必殺CDF,,,攻撃距離,,,,,,射程,,攻撃範囲,,,攻撃倍率,,,,,,,,,,,,,バフ・デバフ効果型,,,,,,,14,10,5.00%,150,0.33%,,,,
,dageki_2,,,2.34,,,0.1,,,,-,,,-,,,タップしたコマ,,,,,,"(コマ)0,+1",,"範囲(コマ)0,+1",,,-,,,,,,,,,,,,,SP専用,,,,,,,,,,,,,,,
,range_start_type,,,range_start_parameter,,,,range_end_type,,,range_end_parameter,,,,対象,,対象属性,,,対象ロール,,バフ・デバフ効果型,,,,,,※攻撃系以外の必殺ワザは攻撃倍率「無」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koma,,,0,,,,Koma,,,"(コマ)0,+1",,,,敵,,All,,,All,,SP専用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,→,攻撃発生Fと攻撃ヒットFは各数値に *50。その他攻撃CDFは/50。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,必殺ワザ詳細,,,必殺ワザ1,,,,,,,,,,,,必殺ワザ2,,,,,,,,,,,,必殺ワザ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,コマ指定固定ダメージ,,,,,,,,,,,,再召喚時間短縮,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,攻撃・特殊系効果,,,,,,バフ・デバフ系効果,,,,,,攻撃・特殊系効果,,,,,,バフ・デバフ系効果,,,,,,攻撃・特殊系効果,,,,,,バフ・デバフ系効果,,,,,,,,,,,,,,,,,,,,,,
,グレード,,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,,,,,,,,,,,,,,,,,
,1,,,15000,,-,,-,,-,,-,,-,,125,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,2,,,17400,,-,,-,,-,,-,,-,,125,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,3,,,21000,,-,,-,,-,,-,,-,,125,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,4,,,25500,,-,,-,,-,,-,,-,,125,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
