,,,,,,,,,,,
,,table,column,内容,NULL許容,デフォルト値,カラムの説明,パラメータ説明,備考,,
,,mst_units,id,varchar(255),FALSE,,,,,,
,,mst_units,fragment_mst_item_id,varchar(255),FALSE,,かけらID(mst_items.id),,,,
,,mst_units,role_type,enum,FALSE,,ロール,"Attack
Balance
Defense
Support
Unique",,,ゲームの仕様変更
,,mst_units,unit_label,enum,FALSE,,ラベル,"DropN
DropR
DropSR
DropSSR
PremiumN
PremiumR
PremiumSR
PremiumSSR
PremiumUR",,,
,,mst_units,attack_range,enum,FALSE,,,"Short
Middle
Long",,,
,,mst_units,image_id,bigint,FALSE,,,,,,
,,mst_units,asset_key,varchar(255),FALSE,,,,,,
,,mst_units,rarity,enum,FALSE,,,"N
R
SR
SSR
UR",,,
,,mst_units,sort_order,int,FALSE,,,,,,
,,mst_units,summon_cost,int,FALSE,,,,,,
,,mst_units,summon_cool_time,int,FALSE,,,,,,
,,mst_units,hp,int,FALSE,,,,,,
,,mst_units,damage_knock_back_count,int,FALSE,,,,,,
,,mst_units,move_speed,int,FALSE,,,,,,
,,mst_units,well_distance,float,FALSE,,,,,,
,,mst_units,attack_power,int,FALSE,,,,,,
,,mst_units,attack_combo_cycle,int,FALSE,,,,,,
,,mst_units,normal_attack_id,varchar(255),FALSE,,,,,,
,,mst_units,special_attack_id,varchar(255),FALSE,,,,,,
,,mst_units,bounding_range_front,float,FALSE,,,,,,
,,mst_units,bounding_range_back,float,FALSE,,,,,,
,,mst_units,series_asset_key,varchar(255),FALSE,,,,,,
,,mst_units,avatar_icon_path,varchar(255),FALSE,,,,,,
,,mst_unit_fragment_converts,id,varchar(255),FALSE,,,,,,
,,mst_unit_fragment_converts,unit_label,enum,FALSE,,ラベル,"DropN
DropR
DropSR
DropSSR
PremiumN
PremiumR
PremiumSR
PremiumSSR
PremiumUR",,,
,,mst_unit_fragment_converts,convert_amount,int,FALSE,,,1被り辺りの変換数,,,
,,mst_unit_fragment_converts,release_key,int,FALSE,1,,,,,
,,mst_units_i18n,id,varchar(255),FALSE,,,,,,
,,mst_units_i18n,mst_unit_id,varchar(255),FALSE,,mst_units.id,,,,
,,mst_units_i18n,language,enum,FALSE,,言語,"ja
en
zh-Hant",,,
,,mst_units_i18n,name,varchar(255),FALSE,,名前,,,,
,,mst_units_i18n,description,varchar(255),FALSE,,詳細,,,,
,,mst_units_i18n,release_key,int,FALSE,,,,,,
,,mst_unit_level_ups,id,varchar(255),FALSE,,,,,,
,,mst_unit_level_ups,unit_label,enum,FALSE,,ユニットタイプ,"DropN
DropR
DropSR
DropSSR
PremiumN
PremiumR
PremiumSR
PremiumSSR
PremiumUR",,,
,,mst_unit_level_ups,level,int,FALSE,,レベル,,,,
,,mst_unit_level_ups,required_coin,int,FALSE,,レベルアップに必要なコイン,,,,
,,mst_unit_level_ups,release_key,int,FALSE,,,,,,
,,mst_unit_rank_ups,id,varchar(255),FALSE,,,,,,
,,mst_unit_rank_ups,unit_label,enum,FALSE,,ラベル,"DropN
DropR
DropSR
DropSSR
PremiumN
PremiumR
PremiumSR
PremiumSSR
PremiumUR",,,
,,mst_unit_rank_ups,required_mst_item_id,varchar(255),FALSE,,リミテッドメモリーのアイテムID,,,,
,,mst_unit_rank_ups,rank,int,FALSE,,限界突破値,,,,
,,mst_unit_rank_ups,amount,int,FALSE,,リミテッドメモリーの必要数,,,,
,,mst_unit_rank_ups,require_level,int,FALSE,,限界突破に必要なユニットのレベル,,,,
,,mst_unit_rank_ups,release_key,int,FALSE,,レベルアップに必要なコイン,,,,
,,mst_unit_grade_ups,id,varchar(255),FALSE,,,,,,
,,mst_unit_grade_ups,unit_label,enum,FALSE,,ラベル,"DropN
DropR
DropSR
DropSSR
PremiumN
PremiumR
PremiumSR
PremiumSSR
PremiumUR",,,
,,mst_unit_grade_ups,grade_level,int,FALSE,,グレードレベル,,,,
,,mst_unit_grade_ups,require_amount,int,FALSE,,必要なキャラのかけら数,,,,
,,mst_unit_grade_ups,release_key,int,FALSE,,,,,,
