,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"直近SSR緑でテクニカルがいないので、気持ち強めに調整。
しかし魔都スレイブで（赤）東 八千穂が実装されているので、こいつより強くしてしまうと魔都スレイブなんだったの　となってしまう恐れがあるため極力
東 八千穂=有馬 かな　のような設計にする
※東 八千穂　cost445 hp800 atk1470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01 0:00:00,,,,,,,,,,,,1,,700,870,700,870,784,833,861,875,875,875,875,875,875,974,1035,1070,1087,1087,1087,1087,1087,1087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,【推しの子】いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,700,870,700,870,784,833,861,875,875,875,875,875,875,974,1035,1070,1087,1087,1087,1087,1087,1087
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremiumSSR,,,,,2,0,725,901,725,901,812,862,891,906,906,906,906,906,906,1009,1072,1108,1126,1126,1126,1126,1126,1126
,chara_osh_00401,,,,有馬 かな,,,,,,,,【推しの子】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,754,938,754,938,844,897,927,942,942,942,942,942,942,1050,1116,1153,1172,1172,1172,1172,1172,1172
