,,,,,,,,,
,キャラフレームについて,,,,,,,,
・,GLOWは1秒=50Fで管理,,,,,,,,
,,,,,,,,,
,移動速度,最遅・遅・普通・速・最速,,,,,,,
,分類,速度イメージ,,にゃんこの味方キャラ,,にゃんこの敵キャラ,,,
,速い,走る,,ネコヴァルキリーぐらい,,カ・ンガリュぐらい,,,
,普通,歩く,,ネコぐらい,,例のヤツぐらい,,,
,遅い,這う,,ねこ縛りぐらい,,わんこぐらい,,,
,,,,,,,,,
,通常攻撃,最遅・遅・普通・速・最速,,,,,,,
,分類,モーションフレーム数範囲,,,モーション秒数,,,にゃんこの味方キャラ,GLOWキャラ
,最長（特殊）,90,〜,125,1.80秒,〜,2.50秒,,
,長い,70,〜,80,1.40秒,〜,1.60秒,ネコアーチャーくらい,
,普通,40,〜,50,0.80秒,〜,1.00秒,ネコと宇宙くらい,綾瀬桃
,短い,20,〜,30,0.40秒,〜,0.60秒,,
,最短（特殊）,5,〜,10,0.10秒,〜,0.20秒,ウシネコくらい,
,,,,,,,,,
,必殺ワザ,最遅・遅・普通・速・最速,,,,,,,
,分類,モーションフレーム数範囲,,,モーション秒数,,,にゃんこの味方キャラ,GLOWキャラ
,最長（特殊）,250,〜,275,5.00秒,〜,5.50秒,,
,最長,200,〜,225,4.00秒,〜,4.50秒,ネコムートくらい,
,普通,150,〜,175,3.00秒,〜,3.50秒,,
,普通,100,〜,125,2.00秒,〜,2.50秒,,綾瀬桃
,短い,50,〜,75,1.00秒,〜,1.50秒,,
,最短（特殊）,25,〜,40,0.50秒,〜,0.80秒,,
,,,,,,,,,
,にゃんこmemo,,,,,,,,
,30,f（1秒）,,,,,,,
,,,,,,,,,
,アニメーションフレーム変換について,,,,,,,,
,,,,,,,,,
,アニメーションフレーム割り出し方,,,,,,,,
,・spineのフレームを（spine30fps=1秒）GLOWのフレーム（GLOW50fps=1秒）に変換する必要がある,,,,,,,,
,,,,,,,,,
,例）Spine設定　綾瀬桃,,,,,,,,
,攻撃55F,"←これはspineのFなのでここからGLOWのフレームに置き換える
(1)秒数に変換する。→(1)*50Fをする",,,,,,,
,HIT25F,,,,,,,,
,↓,,,,,,,,
,(1)秒数に変換＝Spineフレーム(55F)/30,,,,,,,,
,GLOWフレーム置き換え=(1)*50,,,,,,,,
,簡易計算式(spineフレーム/30)*50,,,,,,,,
,1.5,,,,,,,,
