,開催仕様,,,,,,,,,
,▼ランクマッチの開催について,,,,,,,,,
,・ランクマッチは1週間ごとに開催されます。,,,,,,,,,
,・1週間の区切りを「シーズン」と呼びます。,,,,,,,,,
,・毎週、月曜日12:00〜日曜日23:59までランクマッチに挑戦できます。,,,,,,,,,
,・毎週、月曜日00:00〜11:59の間は、ランキング集計期間です。,,,,,,,,,
,,,,,,,,,,
,▼1日の挑戦回数について,,,,,,,,,
,・1日の挑戦回数は10回です。（開催ごとにデータ設定で変更できます）,,,,,,,,,
,・上限回数までバトルすると、ランクマッチチケットを使用してバトルできます。,,,,,,,,,
,・ランクマッチチケットの1日の使用回数は10回です。（開催ごとにデータ設定で変更できます）,,,,,,,,,
,・1日の挑戦回数は毎日AM4:00にリセットされます。,,,,,,,,,
,,,,,,,,,,
,ランク,,,,,,,,,
,・シーズンごとに変更できます。,,,,,,,,,
,・デフォルト設計は以下です。,,,,,,,,,
,,,,,,,,,,
,ポイント獲得,,,,,,,,,
,▼ポイント獲得の基本,,,,,,,,,
,・対戦相手に勝利するとポイントが増えます。,,,,,,,,,
,・対戦相手に敗北するとポイントが減ります。,,,,,,,,,
,・増減するポイント量は、ランクごとに異なります。,,,,,,,,,
,・増減するポイント量は、全てのシーズンで共通です。,,,,,,,,,
,,,,,,,,,,
,▼格上・格下ボーナスについて,,,,,,,,,
,・対戦相手が格上の場合、勝利時の獲得ポイントが増えます。,,,,,,,,,
,・対戦相手が格下の場合、勝利時の獲得ポイントが減ります。,,,,,,,,,
,・敗北時の減少ポイントは、格上や格下によって変化しません。,,,,,,,,,
,・格上格下ボーナスは、全てのシーズンで共通です。,,,,,,,,,
,,,,,,,,,,
,▼タイムボーナスについて,,,,,,,,,
,・特定のタイム以内に相手のゲートを破壊して勝利すると、ボーナスポイントが付与されます。,,,,,,,,,
,・タイムボーナスは、全てのシーズンで共通です。,,,,,,,,,
,,,,,,,,,,
,ポイントとランクの早見表,,,,,,,,,
,,,,,,,,,,
,▼基本ポイント,,,,,▼格上・格下ボーナス,,,▼タイムボーナス,
,累計ポイント（Pt）,ランク,勝利ポイント,敗北ポイント,,相手,ポイント,,勝利タイム,ポイント
,0,ブロンズ0,5,0,,格上,15,,30秒以内,10
,5~,ブロンズ1,5,-5,,同格,10,,40秒以内,9
,10~,ブロンズ2,5,-5,,格下,5,,50秒以内,8
,20~,ブロンズ3,5,-5,,,,,60秒以内,7
,30~,ブロンズ4,5,-5,,,,,70秒以内,6
,50~,シルバー1,10,-10,,,,,80秒以内,5
,100~,シルバー2,10,-10,,,,,90秒以内,4
,150~,シルバー3,10,-10,,,,,100秒以内,3
,200~,シルバー4,10,-10,,,,,120秒以内,2
,300~,ゴールド1,10,-15,,,,,140秒以内,1
,400~,ゴールド2,10,-15,,,,,それ以外,0
,500~,ゴールド3,10,-15,,,,,※制限時間は140秒の想定です。,
,600~,ゴールド4,10,-15,,,,,※ゲート破壊で勝利すればボーナスが得られる設計です。,
,700~,プラチナ1,15,-20,,,,,,
,800~,プラチナ2,15,-20,,,,,,
,900~,プラチナ3,15,-20,,,,,,
,1000~,プラチナ4,15,-20,,,,,,
,,,,,,,,,,
,▼獲得ポイントシミュレーション,,,,,,,,,
,ランク,ブロンズ1,,ランク,ブロンズ1,,ランク,シルバー3,,
,格上・格下,同格,,格上・格下,同格,,格上・格下,格上,,
,勝利タイム,それ以外,,勝利タイム,それ以外,,勝利タイム,30秒以内,,
,勝敗,勝利,,勝敗,敗北,,勝敗,勝利,,
,獲得ポイント,15,,獲得ポイント,-5,,獲得ポイント,35,,
