,冬のWフェス！激アツ年末年始キャンペーン！,,,,,
,,,,,,
,施策一覧,,,,,
,▼コンテンツの情報を全てココに記載してください。「施策」に反映されます。,,,,,
,カテゴリー,施策名称,開始日,終了日,備考（ピックアップや配布キャラなどを記載する）,仕様書(リンク)
,【デイリー】,開運！ジャンブル運試し,2026/01/01 00:00:00,2026/01/05 14:59:59,,https://docs.google.com/spreadsheets/d/1tbiGeGyY7ulLIzRgbbKkjOuhtDG_cGGrAmP7uEgiHzE/edit?gid=289913871#gid=289913871&range=50:50
,【年末年始特別キャンペーン】,メインクエストのスタミナ1/2,2025/12/26 12:00:00,2026/01/05 11:59:59,,https://docs.google.com/spreadsheets/d/1tbiGeGyY7ulLIzRgbbKkjOuhtDG_cGGrAmP7uEgiHzE/edit?gid=289913871#gid=289913871&range=124:124
,【年末年始特別キャンペーン】,コイン獲得クエストの挑戦回数+2回（無料枠）,2025/12/26 12:00:00,2026/01/05 11:59:59,,https://docs.google.com/spreadsheets/d/1tbiGeGyY7ulLIzRgbbKkjOuhtDG_cGGrAmP7uEgiHzE/edit?gid=289913871#gid=289913871&range=124:124
,【正月お得パック】,お正月パック　松・竹・梅,2026/01/01 00:00:00,2026/01/15 10:59:59,"◆【お一人様1回まで購入可】お得プリズム6種
◆【お一人様1回まで購入可】お正月 DXお得パック梅
◆【お一人様2回まで購入可】お正月 DXお得パック竹
◆【お一人様1回まで購入可】お正月 DXお得パック松
◆【お一人様1回まで購入可】いいジャン祭 開催記念パック
◆【お一人様1回まで購入可】お正月 超DX ジャンブルパック
謹賀新年特別パス",https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1878297207#gid=1878297207
,【ミッション】,最大50連無料！謹賀新年特別ミッション,2026/01/01 00:00:00,2026/02/02 10:59:59,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=B3
,【ミッション】,年始ミッション		,2026/01/01 00:00:00,2026/01/05 23:59:59,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=A82
,【ギフト】,あけましておめでとう！今年もよろしくメッセージ,2026/01/01 00:00:00,2026/01/05 14:59:00,,
,【ガシャ】,賀正ガシャ Ver.2026,2026/01/01 00:00:00,"無期限
対象のチケットを所持中のみ表示される","メダルガシャ

訴求キャラ
・「がらんの画眉丸」 UR 赤
・「わくわく アーニャ」 UR 無
・「阿波連 れいな」 SSR 黄
・「山田浅ェ門 仙汰」 SR 緑
・「網代 慎平」R 青",https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1784657377#gid=1784657377
,【謹賀新年特別パス】,謹賀新年特別パス,2026/01/01 00:00:00,2026/01/15 03:59:59,謹賀新年特別パス,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1878297207#gid=1878297207&range=A154
