,02_施策,,,,,,,,,,,,
,,,,,,,,,,,,安藤メモ,
,▼全体概要,,,,,,,,,1スタミナ*,,名称,登場可否
,カテゴリー,施策名称,,開始日,終了日,キャンペーンの有無,キャンペーン期間,キャンペーン内容,イベント全般,×15コイン,,冷却系の怪異,ストーリー以外なら可能
,【デイリー】,開運！ジャンブル運試し,,1/1 0:00,1/5 14:59,-,-,-,,,,つらら,ストーリー以外なら可能
,【年末年始特別キャンペーン】,メインクエストのスタミナ1/2,,2025/12/26 12:00,1/5 11:59,-,-,-,"⇩ストーリークエスト1つで
獲得できるメインの報酬数（初回クリア）",,,建造物寄生型の怪異（大）,可能
,【年末年始特別キャンペーン】,コイン獲得クエストの挑戦回数+2回（無料枠）,,2025/12/26 12:00,1/5 11:59,-,-,-,"⇩ストーリークエスト1つで
獲得できるメインの報酬数（初回クリア）",,,建造物寄生型の怪異（小）,可能
,【正月お得パック】,お正月パック　松・竹・梅,,1/1 0:00,1/15 10:59,-,-,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1878297207#gid=1878297207,報酬名,報酬数,,工事現場の怪異,ストーリー２可能
,【ミッション】,最大50連無料！謹賀新年特別ミッション,,1/1 0:00,2/2 10:59,-,-,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=B3,そのキャラのカラーメモリー,1100,,,
,【ミッション】,年始ミッション		,,1/1 0:00,1/5 23:59,,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=A82,　,,,,
,【ギフト】,あけましておめでとう！今年もよろしくメッセージ,,1/1 0:00,1/5 14:59,-,-,-,メモリーフラグメント・初級,15,,,
,【ガシャ】,賀正ガシャ Ver.2026,,1/1 0:00,"無期限
対象のチケットを所持中のみ表示される",-,-,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1784657377#gid=1784657377,メモリーフラグメント・中級,10,,,
,【ガシャ】,"初夢ガシャ Ver.2025(中止)
※期間限定キャラをラインナップに入れらないため",,1/1 0:00,,,,,メモリーフラグメント・上級,1,,,
,【謹賀新年特別パス】,謹賀新年特別パス,,1/1 0:00,1/15 3:59,,,,コイン,2800,,,
,,,,,,,,,,,,,
,◆ログインボーナス,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,施策名称,賀正ガシャ Ver.2026,,,※〇〇[半角スペース]いいジャン祭[半角スペース]特別ログインボーナス　例：怪獣8号 いいジャン祭 特別ログインボーナス,,,,,,,,
,開催期間,1/1 0:00,〜,"無期限
対象のチケットを所持中のみ表示される",,,,,,,,,
,,,,,,,,,,,,,
,"ログイン日数
（日別）",日付,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,カラーメモリー・レッド,カラーメモリー・イエロー,報酬設定の有無,,
月,1,1/1 0:00,,,1,,,,,,1,,
火,2,1/1 13:00,,5000,,,,,,,5000,,
水,3,1/2 13:00,20,,,,,,,,20,,
木,4,1/3 13:00,,,,,,,300,,300,,
金,5,1/4 13:00,,,,1,,,,,1,,
土,6,1/5 13:00,,,,,3,,,,3,,
日,7,1/6 13:00,20,,,,,,,,20,,
月,8,1/7 13:00,,,1,,,,,,1,,
火,9,1/8 13:00,,,,,,,,300,300,,
水,10,1/9 13:00,,,,,,2,,,2,,
木,11,1/10 13:00,20,,,,,,,,20,,
金,12,1/11 13:00,,,1,,,,,,1,,
土,13,1/12 13:00,,,,,3,,,,3,,
日,14,1/13 13:00,,5000,,,,,,,5000,,
月,15,1/14 13:00,20,,,,,,,,20,,
火,16,1/15 13:00,,,,1,,,,,1,,
