,06_ガシャ,,,,,,
,,,,,,,
,ガシャラインナップ_一覧,,,,,,
,,,,,,,
,,,,,,,
,"単発金額（円）
→10連引く際にユーザーが頻繁に購入するであろうもの価格帯で計算",¥288.46,,,,,
,"単発に必要な
プリズム数（個）",150,プリズム単価（円）,¥2.00,,,
,通常単発金額（円）,¥300.00,"↓各レアリティのキャラを
1体出すのに必要な回数",,,"100連天井の場合
通常","100連天井の場合
お得購入換算"
,レアリティ,ガシャ確率（%）,回転数期待値(回),一次通貨数期待値(個),金額期待値(円),金額期待値(円),金額期待値(円)
,UR,3,33.3,5000,"¥10,000","¥30,000","¥28,846"
,SSR,10,10.0,1500,"¥3,000",,
,SR,35,2.9,429,¥857,,
,R,52,1.9,288,¥577,,
,合計,100%,,,,,
,,,,,,,
,,,,,,,
,◆恒常ガシャ系,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,スペシャルガシャ,20250922_GLOW_スペシャルガシャ設計書,,,更新無し,,
,プレミアムメダルガシャ,20250922_GLOW_プレミアムメダルガシャ設計書,,,更新無し,,
,ノーマルガシャ,,,,,,
,72時間限定スタートダッシュガシャ,20250922_GLOW_72時間限定スタートダッシュガシャ設計書,,,更新無し,,
,『補てん』72時間限定スタートダッシュガシャ,20250922_GLOW_72時間限定スタートダッシュガシャ_補てん用設計書,,,更新無し,,
,チュートリアルガシャ,20250922_GLOW_チュートリアルガシャ設計書,,,更新無し,,
,UR確定チケットガシャ,20250922_GLOW_UR1体確定10連チケットガシャ設計書,,,更新無し,,
,,,,,,,
,,,,,,,
,◆ いいジャン祭,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,正月DXフェスガシャ,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1315731856#gid=1315731856,,,"B小町不動のセンター アイ　Pick
200連、10連でSSR以上確定、pkr0.75%",,
,【推しの子】いいジャン祭ピックアップガシャ,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=809162197#gid=809162197,,,復讐を誓う片星 星野 アクア　Pick,,
,【推しの子】SSR確定ガシャ,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1212515754#gid=1212515754,,,"星野 ルビー
MEMちょ
有馬 かな
黒川 あかね",,
,2026年正月記念！UR1体確定ガシャ,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1970087928#gid=1970087928,,,"スタートダッシュガシャと同様でOK
2026年正月記念！UR1体確定ガシャ",,
,2026年正月記念！UR1体確定ガシャ_補填用,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=396706737#gid=396706737,,,,,
,賀正ガシャ2026,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1784657377#gid=1784657377,,,こいつ最大100連やべえなとなっており、キャラのみで最大何枚配れるかわかるとめちゃ助かる。できれば50は行きたい,,
,初夢ガシャ,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1621788717#gid=1621788717,,,不要,,
