総量計算用,,,,,12/15,12/16,12/17,12/18,12/19,12/20,12/21,12/22,12/23,12/24,12/25,12/26,12/27,12/28,12/29,12/30,12/31,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1
,プリズム,定常,,2850,100,50,50,50,50,50,50,100,50,50,50,50,50,100,50,50,50,50,50,100,50,50,50,50,50,100,50,50,50,50,50,50,100,50,50,50,50,50,50,100,50,50,50,50,50,50,100,50,50
,,ログイン,,3800,,,,,,150,,,500,,500,,100,250,100,100,100,1500,150,,,150,,,100,,,,,100,,,,,,,,,,,,,,,,,,,
,,プレイ,,3885,,,,,,,,,,,,,,,,,,850,1545,270,120,,100,,100,,,100,,,100,,,,150,,200,,150,,200,,,,,,,,
,チケット,ピックアップ,,9,,,,,,,,,,,,,,,,,,4,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,スペシャル,,9,,,,,,,,,,,,,,,,,,1,,1,,3,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,
,,賀正,,50,,,,,,,,,,,,,,,,,,11,6,3,6,6,,6,,3,,,3,,,,3,,,,3,,,,,,,,,,,,
,ガシャ換算,合計,,138.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,日当たり,,,0.7,0.3,0.3,0.3,0.3,1.3,0.3,0.7,3.7,0.3,3.7,0.3,1.0,2.3,1.0,1.0,1.0,32.0,17.6,8.5,8.1,11.3,2.0,7.3,1.7,4.7,1.3,1.0,3.3,1.0,1.0,1.3,3.7,0.3,1.3,0.3,4.7,0.3,1.3,0.7,1.7,0.3,0.3,0.3,0.3,0.3,0.7,0.3,0.3
,,累積,,,0.7,1.0,1.3,1.7,2.0,3.3,3.7,4.3,8.0,8.3,12.0,12.3,13.3,15.7,16.7,17.7,18.7,50.7,68.3,76.8,84.9,96.2,98.2,105.6,107.2,111.9,113.2,114.2,117.6,118.6,119.6,120.9,124.6,124.9,126.2,126.6,131.2,131.6,132.9,133.6,135.2,135.6,135.9,136.2,136.6,136.9,137.6,137.9,138.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以下計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,570,,,,,,,,,,,,,,,,,model,10,20,30,,50,,60,,,70,,,80,,,,,,,,,,,,,,,,,,,
,,,目標,実績,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,プリズム,ログイン,1500,2500,,,,,,,,,,,,,,,,,,1500,150,,,150,500,,100,,,,,100,,,,,,,,,,,,,,,,,,,
,,イベントプレイ,3900,1030,,,,,,,,,,,,,,,,,,800,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ミッション,,1300,,,,,,,,,,,,,,,,,,,50,50,100,,100,,100,,,100,,,100,,,,150,,200,,150,,200,,,,,,,,
,チケット,賀正,,50,,,,,,,,,,,,,,,,,,11,6,3,6,6,,6,,3,,,3,,,,3,,,,3,,,,,,,,,,,,
,,スペシャル,,9,,,,,,,,,,,,,,,,,,1,,1,,3,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,
,,ピックアップ,,9,,,,,,,,,,,,,,,,,,4,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,合計,100.2,,,,,,,,,,,,,,,,,,31.33,8.87,6.33,7.67,11.00,5.00,7.00,1.33,4.00,1.00,0.67,3.00,0.67,0.67,1.00,3.00,0.00,1.00,0.00,4.33,0.00,1.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,累計,,,,,,,,,,,,,,,,,,,31.33,40.20,46.53,54.20,65.20,70.20,77.20,78.53,82.53,83.53,84.20,87.20,87.87,88.53,89.53,92.53,92.53,93.53,93.53,97.87,97.87,98.87,98.87,100.20,100.20,100.20,100.20,100.20,100.20,100.20,100.20,100.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,メインクエスト「推しの子」の難易度ノーマルをクリアしよう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索で探索報酬を3回受け取ろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索で探索報酬を10回受け取ろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索で探索報酬を20回受け取ろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索でクイック探索を1回行おう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索でクイック探索を5回行おう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索でクイック探索を10回行おう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"コインを200,000枚集めよう",,,,day1.2万〜1.7万ぐらい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"コインを200,000枚集めよう",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"コインを200,000枚集めよう",,,,,,,,,,,,,,,,1300,,,,,,,,通常,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"コインを200,000枚集めよう",,,,スタミナ,,,,,,,下記ミッションは「04_ミッション」に転記済み,,,,,,,,,,,,,努力目標,700,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"コインを200,000枚集めよう",,,,5,7,10,15,,,,,,,,賀正,プリズム,スペシャル,チケット累計,,,,,,高難易度,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ステージをN回クリアしよう,,,5,1,1,1,1,,,,ステージを5回クリアしよう,,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,1,1,1,1,,,,ステージを10回クリアしよう,,,,3,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,1,1,1,2,,,,ステージを15回クリアしよう,,,,3,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,1,1,2,2,,,,ステージを20回クリアしよう,,,,3,,,11,,1,11,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,1,2,2,3,,,,ステージを30回クリアしよう,,,,,50,,11,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40,2,2,3,4,,,,ステージを40回クリアしよう,,,,3,,,14,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50,2,2,3,5,,,,ステージを50回クリアしよう,,,,3,,,17,,2,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60,2,3,4,5,,,,ステージを60回クリアしよう,,,,,50,,17,,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70,2,3,4,6,,,,ステージを70回クリアしよう,,,,3,,,20,,3,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,80,3,4,5,7,,,,ステージを80回クリアしよう,,,,3,,,23,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,3,4,5,8,,,,ステージを90回クリアしよう,,,,,100,,23,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100,3,4,6,9,,,,ステージを100回クリアしよう,,,,3,,,26,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,110,4,5,7,10,,,,ステージを110回クリアしよう,,,,3,,,29,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,120,4,5,7,10,,,,ステージを120回クリアしよう,,,,3,,,32,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,140,4,6,8,12,,,,ステージを140回クリアしよう,,,,,100,,32,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,160,5,7,9,14,,,,ステージを160回クリアしよう,,,,3,,,35,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,180,5,7,10,15,,,,ステージを180回クリアしよう,,,,3,,,38,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,200,6,8,12,17,,,,ステージを200回クリアしよう,,,,,100,,38,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,230,7,9,13,20,,,,ステージを230回クリアしよう,,,,3,,,41,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,260,8,11,15,22,,,,ステージを260回クリアしよう,,,,,100,,41,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,300,9,12,17,25,,,,ステージを300回クリアしよう,,,,3,,,44,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,350,10,14,20,30,,,,ステージを350回クリアしよう,,,,,100,,44,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,400,12,16,23,34,,,,ステージを400回クリアしよう,,,,3,,,47,努力目標,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,450,13,18,25,38,,,,ステージを450回クリアしよう,,,,,150,,47,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,500,14,20,28,42,,,,ステージを500回クリアしよう,,,,3,,,50,,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,550,16,22,31,46,,,,ステージを550回クリアしよう,,,,,150,,50,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,600,17,24,34,50,,,,ステージを600回クリアしよう,,,,,200,,50,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,賀正ガシャを10回引こう,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,賀正ガシャを20回引こう,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,賀正ガシャを30回引こう,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,賀正ガシャを40回引こう,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,賀正ガシャを50回引こう,,,,,200,,,努力目標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,キャラのLv.を50回強化しよう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ランクマッチに1回挑戦しよう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,交換所報酬,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,高難易度,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ぴえヨンを編成に入れて「アイドルに憧れて」をN回クリア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
