,02_施策,,,,,,,,,,,,
,,,,,,,,,,,,安藤メモ,
,▼全体概要,,,,,,,,,1スタミナ*,,名称,登場可否
,カテゴリー,施策名称,,開始日,終了日,キャンペーンの有無,キャンペーン期間,キャンペーン内容,イベント全般,×15コイン,,冷却系の怪異,ストーリー以外なら可能
,【デイリー】,本能が告げている 危険だと,,1/16 15:00,2/2 3:59,-,-,-,,,,つらら,ストーリー以外なら可能
,"【ストーリー】
画眉丸編",必ず生きて帰る,,1/16 15:00,2/16 10:59,-,-,-,"⇩ストーリークエスト1つで
獲得できるメインの報酬数（初回クリア）",,,建造物寄生型の怪異（大）,可能
,"【ストーリー】
共闘関係編",朱印の者たち,,1/21 15:00,2/16 10:59,-,-,-,報酬名,報酬数,,建造物寄生型の怪異（小）,可能
,【チャレンジ】,死罪人と首切り役人,,1/16 15:00,2/16 10:59,-,-,-,そのキャラのカラーメモリー,1100,,工事現場の怪異,ストーリー２可能
,【高難易度】,手負いの獣は恐ろしいぞ,,1/16 15:00,2/16 10:59,-,-,-,メモリーフラグメント・初級,15,,,
,【降臨バトル】,まるで 悪夢を見ているようだ,,1/23 15:00,1/29 14:59,-,-,-,メモリーフラグメント・中級,10,,,
,【ログインボーナス】,地獄楽 いいジャン祭 特別ログインボーナス,,1/16 15:00,2/2 3:59,,,,メモリーフラグメント・上級,1,,,
,【ミッション】,地獄楽 いいジャン祭 特別ミッション,,1/16 15:00,2/16 10:59,,,,コイン,2800,,,
,【コイン獲得クエスト】,コイン獲得クエスト キャラボーナス,,1/16 15:00,2/16 10:59,,,,,,,,
,,,,,,,,,,,,,
,◆ログインボーナス,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,施策名称,地獄楽 いいジャン祭 特別ログインボーナス,,,※〇〇[半角スペース]いいジャン祭[半角スペース]特別ログインボーナス　例：怪獣8号 いいジャン祭 特別ログインボーナス,,,,,,,,
,開催期間,1/16 15:00,〜,2/2 3:59,,,,,,,,,
,,,,,,,,,,,,,
,"ログイン日数
（日別）",日付,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,カラーメモリー・グリーン,カラーメモリー・レッド,報酬設定の有無,,
金,1,1/16 15:00,,,2,,,,,,2,,
土,2,1/17 4:00,,5000,,,,,,,5000,,
日,3,1/18 4:00,40,,,,,,,,40,,
月,4,1/19 4:00,,,,,5,,,,5,,
火,5,1/20 4:00,,,,,,4,,,4,,
水,6,1/21 4:00,,,,,,,300,,300,,
木,7,1/22 4:00,,,,2,,,,,2,,
金,8,1/23 4:00,,5000,,,,,,,5000,,
土,9,1/24 4:00,40,,,,,,,,40,,
日,10,1/25 4:00,,,,,10,,,,10,,
月,11,1/26 4:00,,,,,,,,300,300,,
火,12,1/27 4:00,20,,,,,,,,20,,
水,13,1/28 4:00,,,,,,,300,,300,,
木,14,1/29 4:00,,5000,,,,,,,5000,,
金,15,1/30 4:00,,,,,,,,300,300,,
土,16,1/31 4:00,,,,1,,,,,1,,
日,17,2/1 4:00,,,1,,,,,,1,,
,,報酬合計数,100,15000,3,3,15,4,600,600,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,◆デイリークエスト,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,クエスト名,本能が告げている 危険だと,,,,,,,,,,,
,開催期間,1/16 15:00,〜,2/2 3:59,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/1jDHRT1GvOA-K4WUhru1CV7Ukn63owsYJXFbbr6IB8eo/edit?gid=493179933#gid=493179933,,,,,,,,,,,
,原画演出URL,251212_地獄楽_デイリークエスト_原画演出.pdf,,,,,,,,,,,
,,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,開始時原画演出,終了時原画演出,ステージ開放条件,,
