,ショップ_ショップタブ商品一覧,,,,,,,,,,
,◼︎リリース時設定可能な項目（要約）,,,,,,,,,,
,"▼ショップ
・プリズム
→購入期限の設定可能
→購入上限数の設定可能
→商品購入に使用できるリソースは以下
現金

・デイリー/ウィークリー/コイン
→プリズム、コイン、アイテムをラインナップとして設定可能
→購入期限はデイリー（毎日04:00）、ウィークリー（毎週月曜日04:00）でリセット
→購入上限数の設定可能
→商品購入/交換時に使用できるリソースは以下
有償無償プリズムの合算（無償から優先的に使用される）,コイン,広告視聴,無料",,,,"▼パック・パス
→購入期限の設定可能
→購入上限数の設定可能
→商品購入に使用できるリソースは以下
現金",,,,,,
,"追加する必要がある機能
・パックの購入方法の追加
有償無償プリズムの合算（無償から優先的に使用される）,広告視聴,無料

・デイリー/ウィークリーの帯分けの追加（自動リセット販売が可能）
この購入方法の場合、バナーは消えず残り続ける
→パック一覧から商品バナーが1つも表示されないことがないようにするため",,,,,,,,,,
,A列で🟥になっているものは、開発追加対応をします。QAから修正依頼がきている内容もありますので、そこと合わせてで対応します。,,,,,,,,,,
,,,,,,,,,,,
,◆プリズム,,,,,,,,,,
,▼恒常販売,,,,,,,,,,
,単発150、10連ガシャ1500のプリズムが必要想定,,,,,,,,,,
,標準価格、ガシャ単価300円、最安値280円程度（モンスト水準）,,,,,,,,,,
,■購入可能回数,無制限,,,,,,,,,
,■販売期間,2025/09/22 12:00,〜,無期限,,,,,,,
,,金額,1個当たり,有償/無償,,ガシャ単価,,,,,
,個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数,,
,1,¥2,¥2.00,,,¥300.00,,,,,
,80,¥160,¥2.00,,,¥300.00,¥0.00,0.00%,無制限,,
,240,¥480,¥2.00,,,¥300.00,¥0.00,0.00%,無制限,,
,510,"¥1,000",¥1.96,,,¥294.12,-¥5.88,1.96%,無制限,,
,1560,"¥3,000",¥1.92,,,¥288.46,-¥5.66,3.85%,無制限,,
,2600,"¥4,900",¥1.88,,,¥282.69,-¥5.77,5.77%,無制限,,
,5400,"¥10,000",¥1.85,,,¥277.78,-¥4.91,7.41%,無制限,,
,,,,,,,,,,,
,▼期間限定販売：通常のものと合わせて販売、リリース記念で販売,,,,,,,,,,
,■購入可能回数,1～3,,,,,,,,,
,■販売期間,2025/09/22 12:00,〜,2025/10/31 11:59,,,,,,,
,,金額,1個当たり,有償/無償,,ガシャ単価,,,,,
,個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数,,
,1,¥2,¥2.00,,,¥300.00,,,,,
,160,¥160,¥1.00,,,¥150.00,¥150.00,50.00%,3,,
,480,¥480,¥1.00,,,¥150.00,¥150.00,50.00%,3,,
,1020,"¥1,000",¥0.98,,,¥147.06,¥152.94,50.98%,1,,
,3120,"¥3,000",¥0.96,,,¥144.23,¥155.77,51.92%,1,,
,5200,"¥4,900",¥0.94,,,¥141.35,¥158.65,52.88%,1,,
,10800,"¥10,000",¥0.93,,,¥138.89,¥161.11,53.70%,1,,
,"※アニバーサリーなどの特別なイベントで販売する特別割引プリズム
通常時とお値段変わらず、個数が倍になっている＝50％OFF
HOYOBAのゲームなどを参考に
ウマ娘や学マスも最近結構割引高い商品を出すようになっていることもあり",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,◆デイリー,,,,,,◆ウィークリー,,,,
,■販売期間,2025/09/22 12:00,〜,無期限,,,■販売期間,2025/09/22 12:00,〜,無期限,
,アイテム名,個数,対価,"必要リソース数
(視聴回数)
(個数)",1日の上限数,,アイテム名,個数,対価,"必要リソース数
(視聴回数)
(個数)",1週間の上限数
,プリズム,20,広告視聴,1回,1回,,プリズム,30,広告視聴,1回,1回
