差し込み用,,,,,,作成者,確認者,承認状況
,,,,,,平野,,未承認
,,,,,,,,
◆【お一人様◯回まで購入可】お得プリズム(差し込み用),,,,,,,,
■購入可能回数,1回,,,,,,,
■販売期間,2025/01/26 15:00:00,〜,2025/2/2 10:59,⇦フェス限アイの終了まで販売するお得プリズム,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
300,¥480,¥1.60,,,¥240.00,¥60.00,20.00%,1回
620,¥980,¥1.58,,,¥237.10,¥62.90,20.97%,1回
"1,580","¥2,480",¥1.57,,,¥235.44,¥64.56,21.52%,1回
"3,200","¥4,980",¥1.56,,,¥233.44,¥66.56,22.19%,1回
"6,300","¥9,480",¥1.50,,,¥225.71,¥74.29,24.76%,1回
クリスマス時のお得プリズム程度の割引率。,,,,,,,,
販売価格帯はクリスマスよりも広め(天井足りてない分を補充として買ってくれるであろうので幅広くしておく),,,,,,,,
80連天井分に調整（全部1回購入で12000個）,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
↓過去参照用,,,,,,,,
◆【お一人様1回まで購入可】お得プリズム,,,,,,,,
■購入可能回数,1回,,,,,,,
■販売期間,,〜,,,,,,
,,,,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
320,¥480,¥1.50,,,¥225.00,¥75.00,25.00%,1回
"1,680","¥1,980",¥1.18,,,¥176.79,¥123.21,41.07%,1回
"3,220","¥2,980",¥0.93,,,¥138.82,¥161.18,53.73%,1回
"5,280","¥4,980",¥0.94,,,¥141.48,¥158.52,52.84%,1回
"7,500","¥6,980",¥0.93,,,¥139.60,¥160.40,53.47%,1回
"12,000","¥9,800",¥0.82,,,¥122.50,¥177.50,59.17%,1回
年末年始で実施,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】お得プリズム,,,,,,,,
■購入可能回数,1回,,,,,,,
■販売期間,,〜,,,,,,
,,,,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
520,¥980,¥1.88,,,¥282.69,¥17.31,5.77%,1回
"1,680","¥2,980",¥1.77,,,¥266.07,¥33.93,11.31%,1回
"2,820","¥4,980",¥1.77,,,¥264.89,¥35.11,11.70%,1回
"5,580","¥9,800",¥1.76,,,¥263.44,¥36.56,12.19%,1回
クリスマスで実施,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】お得プリズム,,,,,,,,
■購入可能回数,1回,,,,,,,
■販売期間,,〜,,,,,,
,,,,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
2000,"¥3,000",¥1.50,,2000,¥225.00,¥75.00,25.00%,1回
7500,"¥10,000",¥1.33,,7500,¥200.00,¥100.00,33.33%,1回
ブラックフライデーで実施,,,,,,,,
,,,,,,,,
,,,,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
160,¥160,¥1.00,,,¥150.00,-¥150.00,50.00%,3
480,¥480,¥1.00,,,¥150.00,¥0.00,0.00%,3
1020,"¥1,000",¥0.98,,,¥147.06,-¥2.94,1.96%,1
3120,"¥3,000",¥0.96,,,¥144.23,-¥2.83,51.92%,1
5200,"¥4,900",¥0.94,,,¥141.35,-¥2.88,52.88%,1
リリース時,,,,,,,,
