,◼︎ストーリークエストでのキャラのかけら/経験値/ドロップコイン(100%獲得)の獲得数＆スタミナ消費量,,,,,,,,,,,
,ミッションで固定で獲得可能なイベントキャラのかけらの数,,,250,,,,,,,,
,,,,,,,,,,⇩MAX50スタミナ,⇩MAX101スタミナ,⇩MAX200スタミナ
,ステージ,スタミナ,"かけら(new)
→マジルミエより","かけら(new)
→地獄楽より",かけらドロップ率,かけら1個獲得するために必要な周回数（期待値）,かけら1個獲得するために使用するスタミナ量(ドロップ率に応じた周回思考回数から計算),かけら250個獲得するために必要な周回数（期待値）,かけら250個獲得するために使用するスタミナ量,ユーザーランク1の人がMAXスタミナを使い切る回数,ユーザーランク34がMAXスタミナを使い切る回数,ユーザーランク93の人がMAXスタミナを使い切る回数
,1話,5,1,1,10.00%,10.00,50.00,2500.0,12500.0,250.0,123.8,62.5
,2話,5,1,1,20.00%,5.00,25.00,1250.0,6250.0,125.0,61.9,31.3
,3話,5,1,2,30.00%,1.67,8.33,416.7,2083.3,41.7,20.6,10.4
,4話,7,3,2,35.00%,1.43,10.00,357.1,2500.0,50.0,24.8,12.5
,5話,7,3,3,46.00%,0.72,5.07,181.2,1268.1,25.4,12.6,6.3
,6話,7,3,5,60.00%,0.33,2.33,83.3,583.3,11.7,5.8,2.9
,7話,10,3,3,45.00%,0.74,7.41,185.2,1851.9,37.0,37.0,9.3
,8話,10,5,5,60.00%,0.33,3.33,83.3,833.3,16.7,8.3,4.2
,1凸に必要なかけらの数,1キャラのストーリークエストで獲得しなけらばいけない最低獲得必須のかけらの数,,,,,,,,,,
,50,75,,,,,,,,,,
,↑残り175個（5凸(最大凸)には250個必要）は、ミッションに配分し、最低保証獲得数とする。,,,,,,,,,,,
,,,,,,,,,,,,
,ステージ,"推奨Lv.(new)
→2.5次元より","ドロップコイン(new)
→マジルミエより","ドロップコイン(new)
→地獄楽より","スタミナ
→変更なし","スタミナ(new)
→地獄楽より",,,,,,
,1話,10,100,100,5,5,,,,,,
,2話,10,100,100,5,5,,,,,,
,3話,15,100,150,5,7,,,,,,
,4話,15,150,150,7,7,,,,,,
,5話,20,150,200,7,10,,,,,,
,6話,20,150,300,7,10,,,,,,
,7話,20,200,200,10,,,,,,,
,8話,30,300,300,10,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,◼︎設計用各強化必要リソース数、ガシャ確率などのまとめ,,,,,,,,,,,
,,,,,,,,,,,,
,▼レベル強化,,,,,,,,,,,
,レアリティ,Lv.80までの強化に必要な累計コイン数,,,,,,▼キャラ被り時のキャラのかけらへの変換数,,,▼ガシャ確率(％),
,UR,"161,710",,,,,,UR,50,,UR,3
,SSR,"89,839",,,,,,SSR,20,,SSR,10
,SR,"62,887",,,,,,SR,10,,SR,35
,R,"51,924",,,,,,R,10,,R,52
,,,,,,,,,,,"ピックアップUR：0.75%
ピックアップSSR：1.5%",
,▼キャラLv.強化（開放）,,,,,,,▼キャラのかけらBOX,,,,
,"レベル
/個数",全レアリティ共通,,,,,,交換に必要なアイテム,交換に必要な数,交換可能アイテム,交換後獲得数,"1体被りで獲得できる
かけらBOX数"
,Lv.,カラーメモリー1種,,"メモリーフラグメント
初級","メモリーフラグメント
中級","メモリーフラグメント
上級",,URのキャラのかけら,3,選べるURのキャラのかけらBOX,1,16.7
,Lv.10,-,,-,-,-,,SSRのキャラのかけら,5,選べるSSRのキャラのかけらBOX,1,4.0
,Lv.20,200,,-,-,-,,SRのキャラのかけら,10,選べるSRのキャラのかけらBOX,1,1.0
,Lv.30,250,,5,-,-,,Rのキャラのかけら,15,選べるRのキャラのかけらBOX,1,0.7
,Lv.40,300,,10,5,-,,,,,,
,Lv.50,350,,15,10,-,,交換計算（新）,,,,
,Lv.60,400,,20,15,3,,レアリティ,"1体被りで獲得できる
かけら数","かけらBOXを50個獲得するのに
必要な被りキャラの数",ガシャ確率（%）,"BOX1個獲得するのに
必要なガシャ回転数（期待値）"
,Lv.70,450,,25,20,5,,UR,50,1.0,3.00%,0.50
,"Lv.80までの強化に
各種強化アイテムの個数",1950,,75,50,8,,SSR,20,2.5,10.00%,0.40
,,,,,,,,SR,10,5.0,35.00%,0.35
,▼グレード強化,,,,,,,R,10,5.0,52.00%,0.35
,グレード数（凸数）,UR,,SSR,SR,R,,,,,,
,☆☆,50,,50,50,50,,,,,,
,☆☆☆,50,,50,50,50,,,,,,
,☆☆☆☆,50,,50,50,50,,,,,,
,☆☆☆☆☆,50,,50,50,50,,,,,,
,"⭐︎5までの必要な
キャラのかけらの個数",200,,200,200,200,,,,,,
,"⭐︎5まで必要体数
（強化元のキャラが1体必要）",5,,5,5,5,,,,,,
