,,,,,,作成者,確認者,承認状況
,,,,,,平野,,承認済
,,,,,,,,
◆【お一人様◯回まで購入可】お得プリズム(差し込み用),,,,,,,,
■購入可能回数,1回,,,,,,,
■販売期間,2026/2/2 15:00,〜,2026/2/28 23:59,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
150,¥160,¥1.07,,,¥160.00,¥140.00,46.67%,1回
300,¥480,¥1.60,,,¥240.00,¥60.00,20.00%,1回
620,¥980,¥1.58,,,¥237.10,¥62.90,20.97%,1回
"1,580","¥2,480",¥1.57,,,¥235.44,¥64.56,21.52%,1回
"3,200","¥4,980",¥1.56,,,¥233.44,¥66.56,22.19%,1回
"6,300","¥9,480",¥1.50,,,¥225.71,¥74.29,24.76%,1回
¥160が追加されている,,,,,,,,
元設計書,https://docs.google.com/spreadsheets/d/1UzjTg1JnhhuZ_yq2nGf1sygSgkRX_2FPFCLiSJ2bdDo/edit?gid=1860913968#gid=1860913968,,,,,,,
サブミット登録を忘れない,,,,,,,,
