,,,,,,作成者,確認者,承認状況
,,,,,,平野,,社内承認済
パック,,,,,,,,
◆【お一人様1回まで購入可】「ヨル」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_14,,,,,,,
■store_product_id,54,,,,,,,
■Biling ID（ios）,BNEI0434_0052,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0052,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
<いばら姫> ヨル,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・レッド,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
ホワイトデーでもやる予定(男版）,,,,,合計,,"¥1,753",¥150.00
Lv.50までの強化で良いかな（Lv.50以上はちょっとやりすぎ感）,,,,,割引後価格,,"¥1,980",▼おまけの割合
コインは要調整,,,,,割引,,-12.98%,7.58%
"文字数考慮のため、パック名は""「二つ名を除いたキャラ名」+バレンタインキャラパック""",,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「姫様」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_15,,,,,,,
■store_product_id,55,,,,,,,
■Biling ID（ios）,BNEI0434_0053,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0053,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
囚われの王女 姫様,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
,,,,,合計,,"¥1,753",¥150.00
,,,,,割引後価格,,"¥1,980",▼おまけの割合
,,,,,割引,,-12.98%,7.58%
,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「天乃 リリサ」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_16,,,,,,,
■store_product_id,56,,,,,,,
■Biling ID（ios）,BNEI0434_0054,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0054,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
リリエルに捧ぐ愛 天乃 リリサ,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・イエロー,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
,,,,,合計,,"¥1,753",¥150.00
,,,,,割引後価格,,"¥1,980",▼おまけの割合
,,,,,割引,,-12.98%,7.58%
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「橘 美花莉」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_17,,,,,,,
■store_product_id,57,,,,,,,
■Biling ID（ios）,BNEI0434_0055,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0055,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
コスプレに託す乙女心 橘 美花莉,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
,,,,,合計,,"¥1,753",¥150.00
,,,,,割引後価格,,"¥1,980",▼おまけの割合
,,,,,割引,,-12.98%,7.58%
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「羽前 京香」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_18,,,,,,,
■store_product_id,58,,,,,,,
■Biling ID（ios）,BNEI0434_0056,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0056,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
誇り高き魔都の剣姫 羽前 京香,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
ピックアップガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
コイン,無償販売,(無期限),15000,0,15000,¥0.01,¥0,¥150.00
,,,,,合計,,"¥1,753",¥150.00
,,,,,割引後価格,,"¥1,980",▼おまけの割合
,,,,,割引,,-12.98%,7.58%
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】「桜木 カナ」バレンタインキャラパック,,,,,,,,
新規,,,,,,,,
■ID,event_item_pack_19,,,,,,,
■store_product_id,59,,,,,,,
■Biling ID（ios）,BNEI0434_0057,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0057,,,,,,,
■基準価格(税込),"¥1,753",,,,,,,
■税別価格,"¥1,593",,,,,,,
■割引価格(税込),"¥1,980",■割引率,-12.98%,,,,,
■税別割引価格,"¥1,800",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2026/02/10 15:00:00,〜,2026/3/2 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
