,カテゴリ１,カテゴリ２,"格納先
項目", 画像,規格,データ名サンプル,制作頻度,担当班,備考,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します"
,キャラクター関連,,,,,,,,,
,アウトゲーム,画像,"unit_stand_isure
リザルト画面",,620×620,unit_stand_isure_chara_chi_00002,都度,イラスト班,,
,アウトゲーム,画像,"event_unit_stand_isure
いいじゃん祭の報酬一覧使用想定
いいじゃん祭タブボタンで使用
",,210×190,event_unit_stand_isure_chara_chi_00002,都度,イラスト班,いいじゃん祭の報酬一覧使用されているかどうか要確認,
,アウトゲーム,画像,"gacha_top_cutin
ガシャ画面で使用",,550×358,gacha_top_cutin_chara_chi_00002_1,都度,イラスト班,,
,アウトゲーム,画像,"gacha_top_cutin
ガシャ画面で使用",,550×359,gacha_top_cutin_chara_chi_00002_2,都度,イラスト班,,
,アウトゲーム,画像,"gacha_top_cutin
ガシャ画面で使用",,550×360,gacha_top_cutin_chara_chi_00002_3,都度,イラスト班,,
,アウトゲーム,画像,"unit_icon
編成画面で使用",,118×108,unit_icon_chara_chi_00002,都度,イラスト班,,
,アウトゲーム,画像,"unit_icon_l
編成画面で使用",,120×168,unit_icon_chara_chi_00002_l,都度,イラスト班,,
,アウトゲーム,画像,"unit_icon_sp
インゲームのSP使用可能時に切り替わる",,118×108,unit_icon_sp_chara_chi_00002,都度,イラスト班,,
,アウトゲーム,画像,"unit_icon_sp_l
インゲームのSP使用可能時に切り替わる",,120×168,unit_icon_sp_chara_chi_00002_l,都度,イラスト班,,
,アウトゲーム,画像,"unit_isure_rush
インゲームで使用（総攻撃）",,540×540,unit_isure_rush_chara_chi_00002,都度,イラスト班,,
,アウトゲーム,画像,"unit_sd_prefab
SDプレハブ",なし,,unit_chara_chi_00002,都度,エンジニア,,
,アウトゲーム,アセット,"gacha_animation
ガシャアニメーション",なし,,gacha_animation_unit_info_chara_chi_00002,都度,UI/バナー班,"安藤さんが対応していたかも
https://wonderplanet.atlassian.net/wiki/spaces/GLOW/pages/606537314/gacha_animation

漏れやすいのでフロー考える
→unit_cutin_komaが必要なので、モーション班のキャラマージ後にUI班に連絡、UI班で作成する",
,アウトゲーム,画像,"GachaAnimationFukidashi
ガシャ用吹き出し（URキャラ専用）",,400×500,gacha_animation_fukidashi_chara_chi_00002_1,都度,UI/バナー班,,
