メモ,,,,,,,,,,,,
幼稚園WARSのクリエイティブ監修資料が返ってきていない,,,,,,,,,,,,
明日の終日まで待って返答がもらえなければ間に合わないので今日から対応始める,,,,項目,内容,,,,,,,
※返答が来なかった場合、単純に幼稚園WARSの期間穴が開きます,,,,施策名称,幼稚園WARS開始が2/9になった場合のログボ,,,,SSRキャラ用の強化素材もスペシャルガシャチケもいらぬ,,,
,,,,開催期間,2/9 12:00,〜,2/15 4:00,,,,,
,,,,,,,,,,,,
,,,,"ログイン日数
（日別）",日付,プリズム,コイン,ピックアップガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,カラーメモリー・レッド,スタミナドリンク
2/9 15:00開始,開始期間とかも全部変えない,,月,1,2/9 4:00,100,,,,,,
原則幼稚園WARS関連のリリースキーを「202602015」に変更する,,,火,2,2/10 4:00,,15000,,,,,
データを当てたら即時で開催される,,,水,3,2/11 4:00,,,,,,,5
ログボの期限を普通の軽音部終了までのばす,,,木,4,2/12 4:00,,,,15,,,
ランクマッチとコインクエストのボーナスはこのままで許容する→ない状態で開催,,,金,5,2/13 4:00,,,,,4,,
降臨バトルは開催期間調整すると集計期間の関係で100カノの降臨バトルに影響するのでこのまま,,,土,6,2/14 4:00,,,,,,600,
,,,日,7,2/15 4:00,,,3,,,,
夕礼後,,,,,報酬合計数,100,15000,3,15,4,600,5
,,,,,,,,,,,,
,,,,,,,,,,,,
幼稚園WARSのQA指摘について,,,,,,,,,,,,
明日いっぱいまではdev-qa2で引き続き確認(リリースキーは確認対象から外す),,,,,,,,,,,,
元々幼稚園WARSのQAを来週頭からQA環境でするになっている,,,,,,,,,,,,
週明けからリリースキー込みでQA環境で確認,,,,,,,,,,,,
202602010,→QA環境,,,,,,,,,,,
202602015,→dev-qa2環境/バレンタインがリリースされる2/2以降にQA環境に昇格し、総合確認ができる。2/3-5で確認(2/9リリース予定),,,,,,,,,,,
もし明日終日で監修返答があり、FBなしだった場合,,,,,,,,,,,,
QA環境に上がるリリースキーが「202602015」になる。ログボのみ、終了期限を元に戻す対応が発生する。,,,,,,,,,,,,
,,,,,,,,,,,,
以下対応箇所の整理,,,,,,,,,,,,
,,,,,,,,,,,,
プラン作業,,,,,,,,,,,,
区分,変更箇所,変更内容,担当者,ld反映チェック,"プラン最終チェック
(データ)","プラン最終チェック
(仕様書)→月曜対応と確認",,,,,,
幼稚園WARSピックアップガシャ,ガシャデータ,リリースキーを「202602015」に変更,平野,TRUE,TRUE,FALSE,,,,,,
幼稚園WARSピックアップガシャ,ガシャ詳細情報,リリースキーを「202602015」に変更,平野,TRUE,TRUE,FALSE,,,,,,
