ファイル名,フォルダパス,ファイルURL,更新日時
安藤的リリース時キャラTier,/031_レベルデザイン,https://docs.google.com/spreadsheets/d/1hXcsVF_we79ucf1y3Z3FzM-H7vbAcxrkXlM6REi17yU/edit?usp=drivesdk,2025-09-24 14:09:52
GLOW_β_D色々設計シート,/031_レベルデザイン,https://docs.google.com/spreadsheets/d/1iz7a09EcpM3FOA9zJIazJvAeekxGhihTOIPKejk2J3s/edit?usp=drivesdk,2025-07-28 14:21:19
お宝構造イメージ,/031_レベルデザイン,https://docs.google.com/spreadsheets/d/1eZ0LYchhw25PO6ENzXb9LZI4BHeJlHs3SOhV9GS4Tjg/edit?usp=drivesdk,2024-04-12 12:39:49
α1版用パック,/031_レベルデザイン,https://docs.google.com/spreadsheets/d/1R7uHSivKTzr7RY91KAgVnSouuXRQ3I-sgSgx5lnErgg/edit?usp=drivesdk,2023-11-27 15:36:53
GLOW_プリプロデータ設定サンプル(敵関連),/031_レベルデザイン,https://docs.google.com/spreadsheets/d/1wbXhVBbp9g2ONfV2A6Kx1I6dV3Amc-vRCfjJpW3bwI4/edit?usp=drivesdk,2023-11-21 18:52:04
GLOW_プリプロデータ設定サンプル(味方キャラパラメーター関連),/031_レベルデザイン,https://docs.google.com/spreadsheets/d/1xBhBtg-2M5WJxjmChyhHrKGEFZ1cYOvC2TrQF4YW1ps/edit?usp=drivesdk,2023-11-10 12:15:26
GLOW_プリプロデータ設定サンプル(クエスト関連),/031_レベルデザイン,https://docs.google.com/spreadsheets/d/14f2BlpykVUauVnQiI0CtNIHBbxrtO6LkhGWC5K0PN5c/edit?usp=drivesdk,2023-11-06 20:57:06
原画効果レギュ,/031_レベルデザイン/ 原画効果,https://docs.google.com/spreadsheets/d/1B19cTAweQs4R9jgrvSmh4uGQtijjhZudVLQm8bOf9EE/edit?usp=drivesdk,2026-02-10 17:31:48
原画効果設計書temp_artwork_id,/031_レベルデザイン/ 原画効果/原画効果設計書,https://docs.google.com/spreadsheets/d/1dHWN2aQ6M9ttZrcKajtR9wLhSVNPa8APB4nstmnXMx4/edit?usp=drivesdk,2026-02-10 11:34:20
ingame_auto_player_sequence_temp,/031_レベルデザイン/クエスト系/降臨バトル,https://docs.google.com/spreadsheets/d/1PMhBtIbhLq8UH1LUIs97YQFgpvI6BLY5QD1qST1wCQs/edit?usp=drivesdk,2024-11-20 14:39:03
ingame_auto_player_sequence_develop_advent_battle,/031_レベルデザイン/クエスト系/降臨バトル/a4,https://docs.google.com/spreadsheets/d/1FznDETS5Vw9cHtySeV5yzsEHKeBzGdPJqpxtHi8FokY/edit?usp=drivesdk,2024-11-20 18:47:37
ingame_auto_player_sequence_develop_advent_battle_バックアップ,/031_レベルデザイン/クエスト系/降臨バトル/a4,https://docs.google.com/spreadsheets/d/1V66fWhvmVs3otcRAaDkk5mFKPNin5c54NRBIXMfvqfM/edit?usp=drivesdk,2024-11-20 14:46:05
ingame_auto_player_sequence_temp,/031_レベルデザイン/クエスト系/イベントクエスト,https://docs.google.com/spreadsheets/d/18GU2-gcHi3P9WjLxHhr-jreNMaiR9ZuVQ28Vga6F9DI/edit?usp=drivesdk,2024-11-19 11:49:52
ingame_auto_player_sequence_1_jig_challenge_vh_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/16KF8atz8RBlykcOwkyAa31g3MFexkSfurIL6_k1q9SQ/edit?usp=drivesdk,2024-11-25 16:03:47
ingame_auto_player_sequence_1_jig_challenge_n_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1XjIQDopNmcGNG8ghPjAI5JJZQimYtJdTuUMCcZunbfE/edit?usp=drivesdk,2024-11-25 16:02:44
ingame_auto_player_sequence_1_jig_challenge_h_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1zHDgcMPse_TywUUxlLv1ebsdzaxhaBFyLYr4T7TV_PY/edit?usp=drivesdk,2024-11-25 16:02:18
ingame_auto_player_sequence_3_jig_charaget_h_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1AJ2el-f8wag3lucJR58SvbC5N_bsLjGs5JvaoMO8YdA/edit?usp=drivesdk,2024-11-25 15:44:25
ingame_auto_player_sequence_2_jig_charaget_h_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1frXiiLS7Q0uMEa2UQuCcw5GktSIJ0whcJUT88dRFIuw/edit?usp=drivesdk,2024-11-25 15:43:41
ingame_auto_player_sequence_1_jig_charaget_h_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1FLr0UGcRJABQ11HG_6Gwv8WLBgYM_29rkZElWBVOgUg/edit?usp=drivesdk,2024-11-25 15:43:14
ingame_auto_player_sequence_3_jig_charaget_n_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1uSnDj8cTN58mHQvaxJHNIWq-hbJiiBpTFs-Ple3h1qo/edit?usp=drivesdk,2024-11-25 15:42:45
ingame_auto_player_sequence_2_jig_charaget_n_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1lisssLGfeMq1PNcjmhmDGcQT6ACPRWyk039FUo6o4C4/edit?usp=drivesdk,2024-11-25 15:41:58
ingame_auto_player_sequence_1_jig_charaget_n_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/137NVMXKJ__TsOmmYzXYtVlalLiBwpYAAlc9TQl2dfsw/edit?usp=drivesdk,2024-11-25 15:41:20
ingame_auto_player_sequence_4_jig_genga_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/16RUTw611jNRwEyfvtFTFkSBe8p6RLxmELaf9iIZdICI/edit?usp=drivesdk,2024-11-25 15:40:43
ingame_auto_player_sequence_3_jig_genga_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1-gTLWvdhN-qohSoq-QCssPeKKvyoTlGQwVkM_-8zOEQ/edit?usp=drivesdk,2024-11-25 15:39:35
ingame_auto_player_sequence_2_jig_genga_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1OXGZddtnPACegj_Ioiw_BlLzpOa-XLe6-Z2WiuwGbKY/edit?usp=drivesdk,2024-11-25 15:37:47
ingame_auto_player_sequence_1_jig_genga_00001,/031_レベルデザイン/クエスト系/イベントクエスト/a4用地獄楽,https://docs.google.com/spreadsheets/d/1o_muQtTXVHmJUcsdUfUOU6rkjwI_O3IAyqOLTzczI7Y/edit?usp=drivesdk,2024-11-25 12:53:13
