シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
Sequence,,raid_osh1_00001,,1,,InitialSummon,0,SummonEnemy,c_osh_00301_osh1_advent_Normal_Yellow,,1,0,None,2.3,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,3,0.5,1,250,50,,None,,202512020
Sequence,,raid_osh1_00001,,2,,InitialSummon,0,SummonEnemy,c_osh_00401_osh1_advent_Normal_Colorless,,1,0,None,2.5,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,5,1,1,500,50,,None,,202512020
Sequence,,raid_osh1_00001,,3,,InitialSummon,0,SummonEnemy,c_osh_00201_osh1_advent_Normal_Red,,1,0,None,2.7,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,3,1.5,1,250,50,,None,,202512020
Sequence,,raid_osh1_00001,,4,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,2.1,ElapsedTime,200,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
Sequence,,raid_osh1_00001,,5,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,2.9,ElapsedTime,250,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
Sequence,,raid_osh1_00001,,6,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,0.9,EnterTargetKoma,1,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
Sequence,,raid_osh1_00001,,7,,InitialSummon,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,None,1.3,ElapsedTime,500,None,,None,,,FALSE,,Default,Normal,2,0.5,1,10,20,,None,,202512020
Sequence,,raid_osh1_00001,,8,,ElapsedTime,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,50,10,,None,,202512020
Sequence,,raid_osh1_00001,,groupchange_1,,FriendUnitDead,2,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,50,None,,202512020
Sequence,,raid_osh1_00001,w1,9,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Boss_Green,,1,0,Fall0,1.8,None,,None,,None,,,FALSE,,AdventBoss1,Normal,5,3,1,300,50,,None,,202512020
Sequence,,raid_osh1_00001,w1,10,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,10,500,None,,None,,None,,None,,,FALSE,,Default,Normal,8,2.5,1,50,10,,None,,202512020
Sequence,,raid_osh1_00001,w1,11,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,50,Fall0,2.5,None,,None,,None,,,FALSE,,Default,Normal,8,2.5,1,50,10,,None,,202512020
Sequence,,raid_osh1_00001,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.2,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
Sequence,,raid_osh1_00001,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.4,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
Sequence,,raid_osh1_00001,w1,12,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_glo_00002_osh1_advent_Normal_Colorless,,1,0,Fall0,2.6,None,,None,,None,,,FALSE,,Default,Normal,10,0.5,1,10,20,,None,,202512020
