到達指定ランク(どのランクまでに※2~4を設定),,"■効果値 x コスト関係
　└コスト500基準の数値設計
　　効果時間は以下の詳細数値で固定。コストによって変動しない(体感にも関わる部分のため)
　　例：コスト100 →各効果値の「0.2」倍

・総攻撃バフについて
　└設定可能レアリティSSR以上
　コストに比例して効果が上昇し、次回攻撃までスキルを発動するたびに効果が加算され続ける仕様。
　コストを支払えば何度でも発動可能なため、コスト1000の高効果値のキャラスキルを1回使うよりも、コスト100のスキルを複数回積み重ねた方が効率的。
　結果として、高コストスキルにメリットがなく、使用価値が低い状態になっているため、設定可能なレアリティを制限。
　SSRの選定理由は、リリース時に大川村 寧SSRに総攻撃バフが設定されているため。
※「グレード毎の効果値差分(成長曲線)」と「レアリティ毎の効果値差分」は通常キャラの設計と同様(必殺ワザレギュ_グレード差分に記載)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到達割合(上限値の大体何割くらいを到達させたいか※1~10を設定),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成長速度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.00,"※←↑反映済み数値とズレる
ので変更しないで",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,※任意で変更,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレード倍率,,※合計値,,,,,,,,,,,※グレード差分,,割合,0.70,,,,,,,,※Lvアップ差分,,割合,0.30,,,,,,,,,,,,,,,,,
必殺ワザ,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,,,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR
HP継続回復,SP専用,1,効果値,1.50,1.50,1.75,2.00,2.50,3.00,3.00,3.00,,1,効果値,1.05,1.05,1.23,1.40,1.75,2.10,2.10,2.10,,,,,,,,,,,,,1,合計回復量(%),5,5,5,6,8,12,21,21
※スペシャル専用,,1,効果時間,150,150,150,150,150,200,350,350,,1,効果時間,150,150,150,150,150,200,350,350,,,,,,,,,,,,,1,効果時間(s),3.0,3.0,3.0,3.0,3.0,4.0,7.0,7.0
,タップしたコマ,2,効果値,1.50,1.61,1.86,2.11,2.50,3.00,3.15,3.17,,2,効果値,1.05,1.12,1.30,1.47,1.75,2.10,2.20,2.22,,,,,,,,,,,,,2,合計回復量(%),6,7,9,11,14,20,29,30
,or,2,効果時間,195,215,235,255,280,330,455,470,,2,効果時間,195,215,235,255,280,330,455,470,,,,,,,,,,,,,2,効果時間(s),3.9,4.3,4.7,5.1,5.6,6.6,9.1,9.4
,タップしたコマ(属性orロール),3,効果値,1.50,1.68,1.93,2.18,2.50,3.00,3.25,3.28,,3,効果値,1.05,1.17,1.35,1.52,1.75,2.10,2.27,2.30,,,,,,,,,,,,,3,合計回復量(%),7,9,11,14,18,25,34,36
,,3,効果時間,220,255,290,325,360,410,525,545,,3,効果時間,220,255,290,325,360,410,525,545,,,,,,,,,,,,,3,効果時間(s),4.4,5.1,5.8,6.5,7.2,8.2,10.5,10.9
,,4,効果値,1.50,1.72,1.97,2.22,2.50,3.00,3.31,3.35,,4,効果値,1.05,1.20,1.38,1.55,1.75,2.10,2.32,2.35,,,,,,,,,,,,,4,合計回復量(%),7,10,13,16,21,28,38,40
,,4,効果時間,240,285,330,370,415,465,570,595,,4,効果時間,240,285,330,370,415,465,570,595,,,,,,,,,,,,,4,効果時間(s),4.8,5.7,6.6,7.4,8.3,9.3,11.4,11.9
,,5,効果値,1.50,1.75,2.00,2.25,2.50,3.00,3.35,3.40,,5,効果値,1.05,1.23,1.40,1.58,1.75,2.10,2.35,2.38,,5,効果値,0.45,0.53,0.60,0.68,0.75,0.90,1.01,1.02,,5,合計回復量(%),8,11,14,18,23,30,40,43
,,5,効果時間,250,300,350,400,450,500,600,625,,5,効果時間,250,300,350,400,450,500,600,625,,5,効果値,,,,,,,,,,5,効果時間(s),5.0,6.0,7.0,8.0,9.0,10.0,12.0,12.5
HP回復(割合),SP専用,1,効果値,20.0,20.0,20.0,20.0,20.0,27.0,33.0,35.0,,1,効果値,5.0,5.0,5.0,5.0,5.0,10.0,15.0,15.0,,,,15.0,15.0,15.0,15.0,15.0,17.0,18.0,20.0,,,,,,,,,,,
※スペシャル専用,タップしたコマ,2,効果値,25,25,25,25,26,32,38,41,,2,効果値,10,10,10,10,11,15,20,21,,,,15,15,15,15,15,17,18,20,,,,,,,,,,,
,タップしたコマ(属性orロール),3,効果値,27.7,28.1,28.4,28.8,30.5,35.6,41.4,45.5,,3,効果値,12.7,13.1,13.4,13.8,15.5,19.1,23.4,25.5,,,,15.0,15.0,15.0,15.0,15.0,16.5,18.0,20.0,,,,,,,,,,,
,,4,効果値,30,30,31,31,33,38,44,48,,4,効果値,15,15,16,16,18,21,26,28,,,,15,15,15,15,15,17,18,20,,,,,,,,,,,
,,5,効果値,31.0,31.5,32.0,32.5,35.0,40.0,45.0,50.0,,5,効果値,16.0,16.5,17.0,17.5,20.0,23.0,27.0,30.0,,,,15.0,15.0,15.0,15.0,15.0,17.0,18.0,20.0,,,,,,,,,,,
総攻撃バフ,SP専用,1,効果値,3,3,4,4,20,27,33,35,,1,効果値,2,2,2,3,5,10,15,15,,,,,,,,15,17,18,20,,1,,,,,,,,,
※スペシャル専用,,2,効果値,3.8,4.3,5.0,5.7,25.0,30.4,35.9,39.2,,2,効果値,2.7,3.0,3.5,4.0,10.0,13.4,17.9,19.2,,,,,,,,15.0,17.0,18.0,20.0,,2,,,,,,,,,
※SSR以上に設定可能,タップしたコマ,3,効果値,4,5,6,7,28,33,38,42,,3,効果値,3,4,4,5,13,16,20,22,,,,,,,,15,17,18,20,,3,,,,,,,,,
,or,4,効果値,4.8,5.6,6.6,7.5,30.6,34.0,39.2,43.8,,4,効果値,3.3,3.9,4.6,5.3,15.6,17.0,21.2,23.8,,,,,,,,15.0,17.0,18.0,20.0,,4,,,,,,,,,
,タップしたコマ(属性orロール),5,効果値,5,6,7,8,32,35,40,45,,5,効果値,4,4,5,6,17,18,22,25,,,,2,2,2,2,15,17,18,20,,5,※↓下記効果値は理論値。1秒に1回攻撃するキャラの合計ダメージ%,,,,,,,,
ダメージカット,ハイブリッド型,1,効果値,20.0,20.0,20.0,20.0,20.0,27.0,33.0,35.0,,1,効果値,5.0,5.0,5.0,5.0,5.0,10.0,15.0,15.0,,,,15,15,15,15,15.0,17.0,18.0,20.0,,1,効果値,5.0,5.0,5.0,5.0,5.0,7.5,10.0,10.0
,,1,効果時間,150.0,150.0,150.0,150.0,150.0,350.0,460.0,460.0,,1,効果時間,150.0,150.0,150.0,150.0,150.0,350.0,460.0,460.0,,,,,,,,,,,,,1,効果時間,150.0,150.0,150.0,150.0,150.0,350.0,460.0,460.0
,タップしたコマ,2,効果値,24.6,24.8,25.0,25.3,26.3,32.5,38.0,41.3,,2,効果値,9.6,9.8,10.0,10.3,11.3,15.5,20.0,21.3,,,,15,15,15,15,15.0,17.0,18.0,20.0,,2,効果値,23.9,23.9,23.9,23.9,23.9,27.5,31.0,35.2
,or,2,効果時間,195.0,205.0,205.0,210.0,215.0,375.0,480.0,500.0,,2,効果時間,195.0,205.0,205.0,210.0,215.0,375.0,480.0,500.0,,,,,,,,,,,,,2,効果時間,195.0,205.0,205.0,210.0,215.0,375.0,480.0,500.0
,タップしたコマ(属性orロール),3,効果値,27.7,28.1,28.4,28.8,30.5,36.1,41.4,45.5,,3,効果値,12.7,13.1,13.4,13.8,15.5,19.1,23.4,25.5,,,,15,15,15,15,15.0,17.0,18.0,20.0,,3,効果値,36.5,36.5,36.5,36.5,36.5,40.8,45.0,52.0
,,3,効果時間,220.0,235.0,240.0,250.0,255.0,385.0,490.0,525.0,,3,効果時間,220.0,235.0,240.0,250.0,255.0,385.0,490.0,525.0,,,,,,,,,,,,,3,効果時間,220.0,235.0,240.0,250.0,255.0,385.0,490.0,525.0
,,4,効果値,30,30,31,31,33,38,44,48,,4,効果値,15,15,16,16,18,21,26,28,,,,15,15,15,15,15,17,18,20,,4,効果値,45,45,45,45,45,49,54,63
,,4,効果時間,240.0,255.0,265.0,275.0,285.0,395.0,500.0,540.0,,4,効果時間,240.0,255.0,265.0,275.0,285.0,395.0,500.0,540.0,,,,,,,,,,,,,4,効果時間,240.0,255.0,265.0,275.0,285.0,395.0,500.0,540.0
,,5,効果値,31,32,32,33,35,40,45,50,,5,効果値,16,17,17,18,20,23,27,30,,,,15,15,15,15,15,17,18,20,,5,効果値,50,50,50,50,50,55,60,70
