直近のキャラ分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※全体シナジーは無視　個人技性能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャラクター名,ID,指示書,レアリティ,属性,ロール,通常攻撃射程,,必殺1,必殺2,特性,コストイメージ,備考,Dからの伝言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛届ける聖夜のサンタ 橘 美花莉,chara_yuw_00102,https://docs.google.com/presentation/d/1xUSPrSD2s8Ov5zjuKwfCs2S4lFFs0VWw/edit?slide=id.p3#slide=id.p3,FestivalUR,緑,サポート,近距離,,新ワザ,＋α？,火傷軽減 ＋ 毒軽減？ ※調整判断,中コスト,"新ワザ
https://wonderplanet.atlassian.net/wiki/spaces/GLOW/pages/1087242287#%E3%82%AA%E3%83%96%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E9%85%8D%E7%BD%AE%E3%81%AB%E5%90%91%E3%81%91%E3%81%A6%E3%81%AEAttackModel%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6",特性3つ欲しい(フェス限),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空間を操る六番組組長 出雲 天花,chara_sur_00501,https://docs.google.com/presentation/d/1U_wLEW_fHVOvv8HQ8ntQ35m684gkqN1K/edit,PremiumUR,黄,テクニカル,遠距離,,新ワザ,スタン,毒軽減 ＋ 突風コマ無効化,中コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東 八千穂,chara_sur_00601,https://docs.google.com/presentation/d/1eWyccUmy35auF1qMXhkX0B-dKpfjvDRM/edit,PremiumSSR,赤,テクニカル,中距離,,攻撃(倍率),スタン,毒軽減,中コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和倉 青羽,chara_sur_00701,https://docs.google.com/presentation/d/1OQYUiBmim4vJ8jL2rIBeO1sOInrgxr6K/edit?rtpof=true,DropSR,青,アタック,近距離,,連続攻撃,,毒軽減,中コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無窮の鎖 和倉 優希,chara_sur_00801,https://docs.google.com/presentation/d/1kXiEOxOuef8QZDZGojmtMqWL_GYq_zCK/edit,DropSR,黄,ディフェンス,近距離,,攻撃(倍率),,毒軽減,中コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B小町不動のセンター アイ,chara_osh_00001,https://docs.google.com/presentation/d/1dZA5LJMowz6g_IhQYMyRIYnhxK7nszzm/edit?slide=id.p3#slide=id.p3,FestivalUR,赤,テクニカル,中距離,,被ダメージカット(+ノノアの要素),,"スタン
+ ダメージコマ無効化",中コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
復讐を誓う片星 星野 アクア,chara_osh_00101,https://docs.google.com/presentation/d/1bKi9mQvyg23sVtOa1Z2Nyk4qKCA8HDTn/edit,PremiumUR,無,スペシャル,該当なし,安藤,攻撃系新スキル,,-,中コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
星野 ルビー,chara_osh_00201,https://docs.google.com/presentation/d/1fw2hu2FV0wie6TjMZzGELsmbRCDnVQWg/edit,PremiumSSR,赤,アタック,近距離,,攻撃力UP(自身),,条件付き攻撃力up,中コスト,,"ここからSSR一段階強くしちゃっていい
（扱いにくいにはしてほしくないので、上振れ気味で作るのが良さそう）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMちょ,chara_osh_00301,https://docs.google.com/presentation/d/1qOEWn1BfrtviXiUCC2GA8Ubk4DCCMocy/edit,PremiumSSR,黄,サポート,近距離,安藤,被ダメージカット,,ダメージコマ無効,低コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有馬 かな,chara_osh_00401,https://docs.google.com/presentation/d/1VE0fA3h7hhY_cDngXjWBbiPJy-WgpFi5/edit,PremiumSSR,緑,テクニカル,近距離,安藤,攻撃(必殺),スタン,火傷軽減,低コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黒川 あかね,chara_osh_00501,https://docs.google.com/presentation/d/1HibQgQYqwZj0dInXCVyvOX363Ci-PfKr/edit,PremiumSSR,青,テクニカル,近距離,前田,攻撃(必殺),攻撃力Down,スタン,低コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ぴえヨン,chara_osh_00601,https://docs.google.com/presentation/d/10iNjcoFUdkzc-4hN8s9ikosuHd_er0X2/edit,DropSR,緑,ディフェンス,近距離,安藤,連続攻撃,ノックバック,火傷軽減,高コスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
賊王 亜左 弔兵衛,chara_jig_00401,https://docs.google.com/presentation/d/12_ayx7wVYHpT5A5-aixdnL_ymMBIKTGC/edit,PremiumUR,無,テクニカル,近距離,高橋,攻撃(必殺),"弱体化付与
＋(仮)自己回復etc","(仮)弱体化無効←多分、設計時に変える
+α",高コスト,"初の無属性キャラ
にゃんこ大戦争の「にゃんま」みたいな性能が理想
高コストで一発一発が最強　殴る感覚は少し遅め
2~3秒に1発のイメージ
※無属性キャラは、味方からのバフとして
「アーニャ・ノノア」を除き味方からバフを受けれない。
また、有利属性1.5倍の攻撃倍率が無いため、
それを補う形で自己完結できるくらい性能を強くしないと、
弱点属性がないだけのキャラになるので、
そうならない様に設計予定(髙橋)。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山田浅ェ門 桐馬,chara_jig_00501,https://docs.google.com/presentation/d/1it5mUWLZbwYjyodhngkpk0A_z-uxOA1k/edit,PremiumSSR,緑,サポート,近距離,安藤,"バフ（攻撃up）　バフ値低め
緑＋無","バフ（被ダメージカット）
バフ値低め　緑＋無",弱体化無効,中コスト,←中〜高調整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民谷 巌鉄斎,chara_jig_00601,https://docs.google.com/presentation/d/1o0W_Helr4NsW7Nyx6OTom5LlUA4hMMDF/edit,DropSR,青,ディフェンス,近距離,高橋,攻撃(必殺),ノックバック,弱体化無効,中コスト,←中〜高調整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
メイ,chara_jig_00701,https://docs.google.com/presentation/d/1yXd6LxhyD_on2wZfTJ8cvnCrBkmCsIia/edit,DropSR,無,スペシャル,該当なし,安藤,回復,,,中コスト,"アーニャよりコスト高く
アーニャより回復低く",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
元殺し屋の新人教諭 リタ,chara_you_00001,https://docs.google.com/presentation/d/1fhFuGF1F0QfYGlazTc4Dc0-xrZ5CtILV/edit?slide=id.p3#slide=id.p3,PremiumUR,赤,アタック,中距離,高橋,連続攻撃,(仮)キラー,体力条件強化 + 火傷軽減？etc,中コスト,※キラーは設計時判断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ルーク,chara_you_00101,https://docs.google.com/presentation/d/174MpJlEvU3Ix7i3uq7aUvFCyOUpc2f2e/edit,PremiumSSR,黄,テクニカル,近距離,安藤,連続攻撃,ノックバック（中）,攻撃Donwコマ無効,中コスト,火力高め,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダグ,chara_you_00201,https://docs.google.com/presentation/d/1qO0kQCHIIC8DH6vhooWcap7F56EAPFqu/edit?slide=id.p3#slide=id.p3,DropSR,緑,テクニカル,中距離,安藤,連続攻撃,攻撃Down,攻撃Donwコマ無効,中コスト,トーチャー、あかねの上位ぐらい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ハナ,chara_you_00301,https://docs.google.com/presentation/d/1xPXIQChviKgvq3FrlEz8WmlD7ezVsP4p/edit,DropSR,青,アタック,近距離,高橋,攻撃(必殺),,スタン攻撃無効化,中コスト,"←低〜中調整。
青羽調整テイスト※青羽の反応次第",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
該当なし,,,#N/A,#N/A,#N/A,該当なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
該当なし,,,#N/A,#N/A,#N/A,該当なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方針,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特性,,,,,,,,,コンセプト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スタン耐性が直近アイくらいしかにないのでPVPである程度使えるようにしたい,,,,,,,,,使いやすくなった「コスプレに託す乙女心 橘 美花莉」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スタン無効キャラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャラ名,,レアリティ,属性,ロール,射程,コスト,発動確率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四ノ宮 キコル,,PremiumSSR,黄,ディフェンス,近距離,535,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隠された英雄の姿 怪獣８号,,PremiumUR,緑,アタック,近距離,1000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鴨乃橋 ロン,,PremiumSSR,青,テクニカル,中距離,290,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第三部隊隊長 亜白 ミナ,,PremiumUR,青,アタック,遠距離,975,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四ノ宮 功,,DropSR,黄,アタック,近距離,875,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B小町不動のセンター アイ,,FestivalUR,赤,テクニカル,中距離,900,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
→アイが65%なのでそれ以上出すのはNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
→55か60くらいがいい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黒川 あかね,,PremiumSSR,青,テクニカル,近距離,235,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
攻撃ダウン系のキャラはウケが良くないのでこっちで売り作るのであればバカ強くしないと無理。それをSSRがするのもなんか違う気がする,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フェスURのアイが攻撃ダウンなので、数値では戦いができない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャラの性格的にも長時間ネチネチ攻撃ダウンしてくるみたいにしようかな(割合は低めだけど1回当てるとサイクル的に永続ダウンできる感じ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
