,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"2026年、新年1発目のSRディフェンスキャラでユーザーの流入が見込める時期なので、召喚できれば活躍するキャラ設計へ
・コスト：高コスト
　└緑属性は既に、仙太/伊春/フランキーとイベントディフェンスキャラが豊富なため、これら3キャラと極力ポジションが被らないように設計
　└中コスにフランキー・フランクリンが存在しているので、フランキーより強い、召喚できたら安心を目指したキャラへ（イメージ：姫様の下位互換）
　※緑属性ディフェンスキャラコスト
　フランキー470 伊春225 仙太320 姫様650 葵 リリー525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-05 15:00:00,,,,,,,,,,,,1,,5280,960,5280,960,5544,5649,5808,5913,5913,5913,5913,5913,5913,1008,1027,1056,1075,1075,1075,1075,1075,1075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,【推しの子】いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,5280,960,5280,960,5544,5649,5808,5913,5913,5913,5913,5913,5913,1008,1027,1056,1075,1075,1075,1075,1075,1075
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,DropSR,,,,,2,0,5473,995,5473,995,5746,5856,6020,6129,6129,6129,6129,6129,6129,1044,1064,1094,1114,1114,1114,1114,1114,1114
,chara_osh_00601,,,,ぴえヨン,,,,,,,,【推しの子】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,5694,1035,5694,1035,5978,6092,6263,6377,6377,6377,6377,6377,6377,1086,1107,1138,1159,1159,1159,1159,1159,1159
