スプシ名,スプシURL,出典スプシ名
【ストーリー】先輩は敬いたまえ,https://docs.google.com/spreadsheets/d/1vjGG-juQPgbdcJD-6N8B29sP8O1L4BZupnQKgY00yTU/edit?gid=0#gid=0,【データQA】【クエスト】【ストーリー】先輩は敬いたまえ
20260202_幼稚園WARS いいジャン祭_仕様書,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871,【データQA】【クエスト】【ストーリー】先輩は敬いたまえ
【1日1回】お遊戯の時間です,https://docs.google.com/spreadsheets/d/14hjSvJ1EzhleDkA0Zs0J02XSJoGM9O80HjXC0wSnW5c/edit?gid=856977995#gid=856977995,【データQA】【クエスト】【1日1回】お遊戯の時間です
【高難度】正義だけじゃ何も守れない,https://docs.google.com/spreadsheets/d/1AWlGc3pMJGbRWGSxAH0v3OKgJPl8qNDnZ1yCiBx5-1Y/edit?gid=0#gid=0,【データQA】【クエスト】【高難易度】正義だけじゃ何も守れない
【チャレンジ】世界一安全な幼稚園,https://docs.google.com/spreadsheets/d/1AnZnKF_leu3IDJ340zkArJL8S1Jgjjc_Iab1fp7ISgQ/edit?gid=0#gid=0,【データQA】【クエスト】【チャレンジ】世界一安全な幼稚園
【ストーリー】兄を助けてくれないか?,https://docs.google.com/spreadsheets/d/1Pn3OUE_Ee0YRbM_CjNQYPaGflCf06vlbueFzYn0fjRo/edit?gid=0#gid=0,【データQA】【クエスト】【ストーリー】兄を助けてくれないか?
ヒーロー基礎設計_chara_you_00201_ダグ,https://docs.google.com/spreadsheets/d/1cBx1ZgbPj16loVjwXl4M_U1VphS3dHCulL62pfUB2rU/edit?gid=523149893#gid=523149893,【データQA】【キャラ】ダグ
GLOW_キャラ名称＆キャラセリフ資料,https://docs.google.com/spreadsheets/d/1IkiS0rrzjKzg8ddE1n44RBj_Mg3ZABH1D_62pIGQTJg/edit?gid=2146475190#gid=2146475190,【データQA】【キャラ】ダグ
ヒーロー基礎設計_chara_you_00101_ルーク,https://docs.google.com/spreadsheets/d/1OBcizmw5GGgypDFkZALTG2YetIYIYaYsZuf1T2puCe0/edit?gid=523149893#gid=523149893,【データQA】【キャラ】ルーク
ヒーロー基礎設計_chara_you_00001_元殺し屋の新人教諭 リタ,https://docs.google.com/spreadsheets/d/1iDvX9Esbvfvm4SZpnIJl8HU1WbUp_1hp8ZdlXZu3E7g/edit?gid=523149893#gid=523149893,【データQA】【キャラ】元殺し屋の新人教諭 リタ
GLOW_ID 管理,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=781951868#gid=781951868,【データQA】【図鑑】ファントム幼稚園WARS
ヒーロー基礎設計_chara_you_00301_ハナ,https://docs.google.com/spreadsheets/d/1A_68jOBf_ctpyUmLa_GVAm0tZNcxGVsmZqTv6gw2-Ec/edit?gid=523149893#gid=523149893,【データQA】【キャラ】ハナ
【降臨バトル】誰の依頼だ？,https://docs.google.com/spreadsheets/d/15oEdbChjRxyR8_PsD5jBT7UzMJMprKUSKmlYF9OPg9M/edit?gid=0#gid=0,【データQA】【降臨バトル】誰の依頼だ？
GLOW_ランクマッチ開催仕様書,https://docs.google.com/spreadsheets/d/1gYB716eQa_G74FQ8IsioheGd0lwlHlRb4wsBvL2hPsM/edit?gid=2062607373#gid=2062607373,【データQA】【ランクマッチ】幼稚園WARS2週目
