,"クリエイティブ一覧
https://docs.google.com/spreadsheets/d/1s-5R4ijjb7AXckYDBmqBgHFsZzbOPVe_SvX3hlK5Fdw/edit?gid=576303298#gid=5763032981",,,,,,,,,,,,,,
,"監修資料（監修ち提出後にリンクを貼る）
",,,,,,,,,,,,,,
,項目,仕様/補足,数量,工数, 画像,規格,"アップ先
S3/AB","画像名
（PLAN側に確認）","監修
ステータス","BNE様へ
画像提出
（BOXリンクを貼る）","デザイナー
担当者",制作ステータス,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",,
,新規アイテム,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,エンブレム,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,原画のかけら,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,プレハブ関連(クエストバナーなどはこちら),"
",,,,,,,,,,,,,
,"クリスマス限定！高難易度！
クリスマスバトル!!","みかり対抗クエスト用バナー
報酬はプリズム、寂しい感じになりそうだったらファントム使う
→プリズムとコイン
背景：000033

※これリサイズでIGNに使えたりってできるのかな",,,,,AB,yuw1_savage02_quest_select_cell,監修不要,,江村,,,,
,バナー類,,,,,,,,,,,,,,
,クエストバナーを当てこんでIGNに使用できるもの(テンプレを作成、今後も使い回す),"クリスマス限定！高難易度！
クリスマスバトル!!　のバナーを当て込む",1,,,668×220,不要,notice_other_00005,監修不要,,江村,,,,
,"【お知らせ_Mバナー】クリスマスお得パック お得なパック登場お知らせ
・クリスマス お得パック・A
・クリスマス お得パック・B
・クリスマス お得パック・C","いいジャン祭も走っているのでお知らせ数を絞りたいので、まとめる意図です。
ブラックフライデーと同じ運用のイメージです。

文言
「お得なクリスマスパックが登場！」",1,,,668×220,不要,notice_shop_pack_00013,監修不要,,江村,,notice_[:png_name],,
,【ホームバナー】クリスマスパック お得なパック登場お知らせ,"【お知らせ_Mバナー】クリスマスお得パック お得なパック登場お知らせを流用して作成

※ホームバナーとして掲載優先度高",1,,,306×100,S3,hometop_shop_pack_00016,監修不要,,江村,,hometop_[:png_name],,
,"【パックバナー】クリスマスお得パック・A
IPに絡まないのもなのでキャラは載せない","値段：¥980
パック内容物
・カラーメモリー各種(5種)：各500個
・スペシャルガシャチケット：10枚
エフェクト小盛り

※ブラックフライデーパックAと同じ内容です",1,0.7,,668×220,AB,shop_pack_banner_pack_00009,監修不要,,江村,,,,
,【お知らせ_Mバナー】クリスマス お得パック・A,"値段：¥980
パック内容物
・カラーメモリー各種(5種)：各500個
・スペシャルガシャチケット：10枚
エフェクト小盛り

クリスマスパック お得なパック登場お知らせの中に使う想定",1,0.7,,668×220,不要,notice_shop_pack_00010,監修不要,,江村,,,,
,【ホームバナー】クリスマス お得パック・A,"「【お知らせ_Mバナー】クリスマス お得パック・A」を流用して作成

※個別のホームバナー不要",1,0.2,,306×100,S3,hometop_shop_pack_00009,監修不要,,,,,,
,"【パックバナー】クリスマス お得パック・B
IPに絡まないのもなのでキャラは載せない","値段：¥2980
パック内容物
・メモリーフラグメント各種(3種)：初50中30上5個
・ピックアップガシャチケット：5枚
・フェスガシャチケット：5枚
エフェクト中盛り",1,0.7,,668×220,AB,shop_pack_banner_pack_00010,監修不要,,江村,,,,
,【お知らせ_Mバナー】クリスマス お得パック・B,"値段：¥2980
パック内容物
・メモリーフラグメント各種(3種)：初50中30上5個
・ピックアップガシャチケット：5枚
・フェスガシャチケット：5枚
エフェクト中盛り

クリスマスパック お得なパック登場お知らせの中に使う想定",1,0.7,,668×220,不要,notice_shop_pack_00011,監修不要,,江村,,,,
,【ホームバナー】クリスマスお得パック・B,"「【お知らせ_Mバナー】クリスマス お得パック・B」を流用して作成

※個別のホームバナー不要",1,0.2,,306×100,S3,hometop_shop_pack_00010,監修不要,,江村,,,,
,"【パックバナー】クリスマス お得パック・C
IPに絡まないのもなのでキャラは載せない","値段：¥5000
パック内容物
・UR1体確定10連ガシャチケット：1枚
・選べるURキャラのかけらBOX：10個
・ピックアップガシャチケット：5枚
・フェスガシャチケット：5枚
エフェクト大盛り",1,0.7,,668×220,AB,shop_pack_banner_pack_00011,監修不要,,江村,,,,
,【お知らせ_Mバナー】クリスマス お得パック・C,"値段：¥5000
パック内容物
・UR1体確定10連ガシャチケット：1枚
・選べるURキャラのかけらBOX：10個
・ピックアップガシャチケット：5枚
・フェスガシャチケット：5枚
エフェクト大盛り

クリスマスパック お得なパック登場お知らせの中に使う想定",1,0.7,,668×220,不要,notice_shop_pack_00012,監修不要,,江村,,,,
,【ホームバナー】クリスマス お得パック・C,"「【お知らせ_Mバナー】クリスマスお得パック・C」を流用して作成

※個別のホームバナー不要",1,0.2,,306×100,S3,hometop_shop_pack_00011,監修不要,,江村,,,,
,【お知らせ_Mバナー】クリスマスお得プリズム,"既存の「お得プリズム」バナーをクリスマス風にしたもの
プリズム個数
・520：¥980
・1680：¥2,980
・2820：¥4,980
・5580：¥9,800
最大が5580個なのでincrease_prism_00005の宝箱を使用していただきたいです",,,,,不要,notice_campaign_00004,監修不要,,江村,,,,
,【ホームバナー】クリスマスお得プリズム,"【お知らせ_Mバナー】BLACK FRIDAYお得プリズムお知らせを流用して作成

※ホームバナー掲載期間に余裕があれば載せる",,,,,S3,hometop_campaign_00003,監修不要,,江村,,,,
,みかりシルエット（SNS）,,1,,,1200×675,不要,notice_sns_00001,監修中,,江村,,,,
,アイシルエット（SNS）,,1,,,1200×675,不要,notice_sns_00002,監修中,,江村,,,,
,みかり立ち絵（SNS）,,1,,,1200×675,不要,,監修中,,江村,,,,
,アイ立ち絵（SNS）,,1,,,1200×675,不要,,監修中,,江村,,,,
,冬の2大フェス告知,Mバナー,1,,,668×220,不要,notice_campaign_00005,監修中,,江村,,,,
,冬の2大フェス告知（SNS）,https://docs.google.com/presentation/d/1AnZ7b-l9Xet5KciVrIz_ioZ0i3DXfsxgqOAX2BQW8Gc/edit?slide=id.g3a315892eb1_0_65#slide=id.g3a315892eb1_0_65,,,,1200×675,不要,notice_sns_00003,監修中,,江村,,,,
,"冬の2大フェスキャンペーン（SNS）
コルクボードに原画を配置する
テキストは無し
(キャラ名称とキャラの立ち絵と原画で作る)","アイ
https://docs.google.com/presentation/d/1AnZ7b-l9Xet5KciVrIz_ioZ0i3DXfsxgqOAX2BQW8Gc/edit?slide=id.g3a46cf75bf1_1_131#slide=id.g3a46cf75bf1_1_131",,,,1200×675,不要,notice_sns_00004,監修中,,江村,,,,
,"冬の2大フェスキャンペーン（SNS）
コルクボードに原画を配置する
テキストは無し","美花莉
https://docs.google.com/presentation/d/1AnZ7b-l9Xet5KciVrIz_ioZ0i3DXfsxgqOAX2BQW8Gc/edit?slide=id.g3a46cf75bf1_1_131#slide=id.g3a46cf75bf1_1_131",,,,1200×675,不要,notice_sns_00005,監修中,,江村,,,,
,【投稿促進施策】美花莉に愛❤️を届けよう！,Mバナー（告知用）※IGNでも使います,,,,668×220,不要,notice_campaign_00006,監修中,,江村,,,,
,【投稿促進施策】美花莉に愛❤️を届けよう！（SNS）,"https://docs.google.com/presentation/d/1AnZ7b-l9Xet5KciVrIz_ioZ0i3DXfsxgqOAX2BQW8Gc/edit?slide=id.g3a315892eb1_0_259#slide=id.g3a315892eb1_0_259

＋報酬数を記載（RT数だけ未定なので空けておいてもらえると…！）
ーーーーー
〇〇RT プリズム100
〇〇RT プリズム200
〇〇RT プリズム300
〇〇RT プリズム400
〇〇RT プリズム500
最大プリズム1500個プレゼント！
ーーーーー",,,,1200×1200,不要,notice_sns_00006,監修中,,江村,,,,
,"【投稿促進施策】美花莉に愛❤️を届けよう！
リアクション１（SNS）","キャラ＋吹き出し
リスクがありそうだったので中止",,,,1200×675,不要,notice_sns_00007,,,江村,,,,
,"【投稿促進施策】美花莉に愛❤️を届けよう！
リアクション２（SNS）",キャラ＋吹き出し,,,,1200×675,不要,notice_sns_00008,,,江村,,,,
,"【投稿促進施策】美花莉に愛❤️を届けよう！
リアクション３（SNS）",キャラ＋吹き出し,,,,1200×675,不要,notice_sns_00009,,,江村,,,,
,"【投稿促進施策】美花莉に愛❤️を届けよう！
プレゼント","キャラ＋メッセージ
※IGNでも使いたいです",,,,1200×675,不要,notice_sns_00010,監修中,,江村,,,,
,【推しの子】参戦決定,"汎用の「参戦作品追加決定！」みたいなMバナーがあると今後も助かる
ロゴだけ差し替えて今後も使い回しできるもの",,,,668×220,不要,notice_campaign_00007,監修中,,望月,,,,
,"配布用テンプレート（M）
特別プレゼント　ロゴと汎用の報酬のみ（プリズムとコイン）キャラなし","以降で予定しているプレゼント配布に向けて、
テンプレがあると嬉しいです",,,,668×220,不要,notice_campaign_00008,監修中,,望月,,,,
,"配布用テンプレート（SNS）
特別プレゼント　ロゴと汎用の報酬のみ（プリズムとコイン）キャラなし","以降で予定しているプレゼント配布に向けて、
テンプレがあると嬉しいです",,,,668×220,不要,notice_sns_00011,監修中,,望月,,,,
,「冬の2大フェス」開催決定記念！特別プレゼント、Mバナー,"個数調整中、プリズム配布
アイ、クリスマス橘 美花莉",,,,668×220,不要,notice_campaign_00009,監修中,,江村,,,,
,ジャンプフェスタ出展！特別プレゼント、Mバナー,"個数調整中、プリズム配布
アーニャ、怪獣８号かダンダダンのキャラとか？",,,,668×220,不要,notice_campaign_00010,監修中,,江村,,,,
,フェス開催記念特別プレゼント、Mバナー,"個数調整中、プリズム配布
キャラ載せるか迷う
→流用できるように一旦キャラなしで作成しました(江村)",,,,668×220,不要,notice_campaign_00011,監修不要,,江村,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ガシャバナー,,,,,,,,,,,,,,
,"【ガシャTOP_Lバナー】
クリスマス限定!DXフェスガシャ
クリスマスDXフェスガシャ
・愛届ける聖夜のサンタ 橘 美花莉
※キャラ名称は現在監修提出中","・愛届ける聖夜のサンタ 橘 美花莉：UR

gacha_banner_glo_00001",1,1.7,,668×370,S3,gacha_banner_glo_00001,監修中,,江村,,gacha_banner_[:banner_url],,
