,03_降臨バトル,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,設定担当者,,,,,,,,,,,,,,,,,,,
,古澤,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,,,,
,名称,魔防隊と戦う者,,,,,,,,,,,,,,,,,,
,開催期間,12/22(月) 15:00,〜,12/29(月) 14:59,,,,,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/18N5h84rIy9ZpFwXk0KEI9AisglYm9WjHYyYFCrvXw2o/edit?gid=756823878#gid=756823878,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,推奨Lv,挑戦回数,獲得リーダーEXP,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,ステージ開放条件,,,,,,,,,,,,
,20-30,"1日最大5回
内2回は広告視聴",100,,"醜鬼
和倉 青羽",koma_background_sur_00001,4,12/22 (月)15:00から開放,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,,,,,,
,時間制限,120秒,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,和倉 青羽,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,なし,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ボーナス,,,,,,,,,,,,,,,,,,,
,ボーナス（%）,対象キャラ,対象キャラID,,ボーナス倍率の内訳,,,,,,,,,,,,,,,
,20%,空間を操る六番組組長 出雲 天花,chara_sur_00501,,フェス限の新キャラ,30%,,,,,,,,,,,,,,
,15%,誇り高き魔都の剣姫 羽前 京香,chara_sur_00101,,ピックアップURなどの新キャラ,20%,,,,,,,,,,,,,,
,10%,東 八千穂,chara_sur_00601,,恒常UR(新キャラではない),15%,,,,,,,,,,,,,,
,10%,和倉 青羽,chara_sur_00701,,ピックアップSSRなどの新キャラ,10%,,,,,,,,,,,,,,
,10%,無窮の鎖 和倉 優希,chara_sur_00801,,恒常SSR(新キャラではない),10%,,,,,,,,,,,,,,
,5%,東 日万凛,chara_sur_00201,,イベントSRなどの新キャラ,10%,,,,,,,,,,,,,,
