ENABLE,release_key,id,mst_attack_id,language,description,grade_description
e,202512010,chara_sur_00501_Normal_00000_ja,chara_sur_00501_Normal_00000,ja,表示場所なし,
e,202512010,chara_sur_00501_Special_00001_ja,chara_sur_00501_Special_00001,ja,"自身と同じコマと二つ先までのコマにいる敵複数体に自身の攻撃ステータスの{chara_sur_00501_Special_00001_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする",
e,202512010,chara_sur_00501_Special_00002_ja,chara_sur_00501_Special_00002,ja,"自身と同じコマと二つ先までのコマにいる敵複数体に自身の攻撃ステータスの{chara_sur_00501_Special_00002_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を1.5秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00501_Special_00003_ja,chara_sur_00501_Special_00003,ja,"自身と同じコマと二つ先までのコマにいる敵複数体に自身の攻撃ステータスの{chara_sur_00501_Special_00003_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を1.8秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00501_Special_00004_ja,chara_sur_00501_Special_00004,ja,"自身と同じコマと二つ先までのコマにいる敵複数体に自身の攻撃ステータスの{chara_sur_00501_Special_00004_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を2.3秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00501_Special_00005_ja,chara_sur_00501_Special_00005,ja,"自身と同じコマと二つ先までのコマにいる敵複数体に自身の攻撃ステータスの{chara_sur_00501_Special_00005_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を2.5秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00601_Normal_00000_ja,chara_sur_00601_Normal_00000,ja,表示場所なし,
e,202512010,chara_sur_00601_Special_00001_ja,chara_sur_00601_Special_00001,ja,"敵複数体に自身の攻撃ステータスの{chara_sur_00601_Special_00001_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする",
e,202512010,chara_sur_00601_Special_00002_ja,chara_sur_00601_Special_00002,ja,"敵複数体に自身の攻撃ステータスの{chara_sur_00601_Special_00002_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を1.4秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00601_Special_00003_ja,chara_sur_00601_Special_00003,ja,"敵複数体に自身の攻撃ステータスの{chara_sur_00601_Special_00003_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を1.7秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00601_Special_00004_ja,chara_sur_00601_Special_00004,ja,"敵複数体に自身の攻撃ステータスの{chara_sur_00601_Special_00004_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を2.1秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00601_Special_00005_ja,chara_sur_00601_Special_00005,ja,"敵複数体に自身の攻撃ステータスの{chara_sur_00601_Special_00005_power_parameter}%のダメージ + 攻撃がヒットした場合、敵を2.3秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00701_Normal_00000_ja,chara_sur_00701_Normal_00000,ja,表示場所なし,
e,202512010,chara_sur_00701_Special_00001_ja,chara_sur_00701_Special_00001,ja,敵複数体に最大4回の連続攻撃(自身の攻撃ステータスの最大91%ダメージ),
e,202512010,chara_sur_00701_Special_00002_ja,chara_sur_00701_Special_00002,ja,敵複数体に最大4回の連続攻撃(自身の攻撃ステータスの最大101%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00701_Special_00003_ja,chara_sur_00701_Special_00003,ja,敵複数体に最大4回の連続攻撃(自身の攻撃ステータスの最大108%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00701_Special_00004_ja,chara_sur_00701_Special_00004,ja,敵複数体に最大4回の連続攻撃(自身の攻撃ステータスの最大114%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00701_Special_00005_ja,chara_sur_00701_Special_00005,ja,敵複数体に最大4回の連続攻撃(自身の攻撃ステータスの最大117%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00801_Normal_00000_ja,chara_sur_00801_Normal_00000,ja,表示場所なし,
e,202512010,chara_sur_00801_Special_00001_ja,chara_sur_00801_Special_00001,ja,敵単体に自身の攻撃ステータスの{chara_sur_00801_Special_00001_power_parameter}%のダメージ,
e,202512010,chara_sur_00801_Special_00002_ja,chara_sur_00801_Special_00002,ja,敵単体に自身の攻撃ステータスの{chara_sur_00801_Special_00002_power_parameter}%のダメージ,"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00801_Special_00003_ja,chara_sur_00801_Special_00003,ja,敵単体に自身の攻撃ステータスの{chara_sur_00801_Special_00003_power_parameter}%のダメージ,"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00801_Special_00004_ja,chara_sur_00801_Special_00004,ja,敵単体に自身の攻撃ステータスの{chara_sur_00801_Special_00004_power_parameter}%のダメージ,"ステータスUP + 必殺ワザ性能UP"
e,202512010,chara_sur_00801_Special_00005_ja,chara_sur_00801_Special_00005,ja,敵単体に自身の攻撃ステータスの{chara_sur_00801_Special_00005_power_parameter}%のダメージ,"ステータスUP + 必殺ワザ性能UP"
e,202512010,e_sur_00101_1d1c_Normal_Colorless_Normal_00000_ja,e_sur_00101_1d1c_Normal_Colorless_Normal_00000,ja,,
e,202512010,e_sur_00101_surget_Normal_Blue_Normal_00000_ja,e_sur_00101_surget_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00001_surget_Normal_Blue_Normal_00000_ja,c_sur_00001_surget_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00001_surget_Normal_Blue_Special_00001_ja,c_sur_00001_surget_Normal_Blue_Special_00001,ja,,
e,202512010,c_sur_00101_surget_Boss_Blue_Normal_00000_ja,c_sur_00101_surget_Boss_Blue_Normal_00000,ja,,
e,202512010,c_sur_00101_surget_Boss_Blue_Appearance_00001_ja,c_sur_00101_surget_Boss_Blue_Appearance_00001,ja,,
e,202512010,c_sur_00101_surget_Boss_Blue_Special_00002_ja,c_sur_00101_surget_Boss_Blue_Special_00002,ja,,
e,202512010,c_sur_00101_surget_Normal_Blue_Normal_00000_ja,c_sur_00101_surget_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00101_surget_Normal_Blue_Special_00001_ja,c_sur_00101_surget_Normal_Blue_Special_00001,ja,,
e,202512010,c_sur_00801_surget_Boss_Blue_Normal_00000_ja,c_sur_00801_surget_Boss_Blue_Normal_00000,ja,,
e,202512010,c_sur_00801_surget_Boss_Blue_Appearance_00001_ja,c_sur_00801_surget_Boss_Blue_Appearance_00001,ja,,
e,202512010,c_sur_00801_surget_Boss_Blue_Special_00002_ja,c_sur_00801_surget_Boss_Blue_Special_00002,ja,,
e,202512010,c_sur_00301_surget_Boss_Blue_Normal_00000_ja,c_sur_00301_surget_Boss_Blue_Normal_00000,ja,,
e,202512010,c_sur_00301_surget_Boss_Blue_Appearance_00001_ja,c_sur_00301_surget_Boss_Blue_Appearance_00001,ja,,
e,202512010,c_sur_00301_surget_Boss_Blue_Special_00002_ja,c_sur_00301_surget_Boss_Blue_Special_00002,ja,,
e,202512010,c_sur_00301_surget_Normal_Blue_Normal_00000_ja,c_sur_00301_surget_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00301_surget_Normal_Blue_Special_00001_ja,c_sur_00301_surget_Normal_Blue_Special_00001,ja,,
e,202512010,c_sur_00201_surget_Boss_Blue_Normal_00000_ja,c_sur_00201_surget_Boss_Blue_Normal_00000,ja,,
e,202512010,c_sur_00201_surget_Boss_Blue_Appearance_00001_ja,c_sur_00201_surget_Boss_Blue_Appearance_00001,ja,,
e,202512010,c_sur_00201_surget_Boss_Blue_Special_00002_ja,c_sur_00201_surget_Boss_Blue_Special_00002,ja,,
e,202512010,c_sur_00201_surget_Normal_Blue_Normal_00000_ja,c_sur_00201_surget_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00201_surget_Normal_Blue_Special_00001_ja,c_sur_00201_surget_Normal_Blue_Special_00001,ja,,
e,202512010,c_sur_00501_surget_Boss_Blue_Normal_00000_ja,c_sur_00501_surget_Boss_Blue_Normal_00000,ja,,
e,202512010,c_sur_00501_surget_Boss_Blue_Appearance_00001_ja,c_sur_00501_surget_Boss_Blue_Appearance_00001,ja,,
e,202512010,c_sur_00501_surget_Boss_Blue_Special_00002_ja,c_sur_00501_surget_Boss_Blue_Special_00002,ja,,
e,202512010,c_sur_00501_surget_Normal_Blue_Normal_00000_ja,c_sur_00501_surget_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00501_surget_Normal_Blue_Special_00001_ja,c_sur_00501_surget_Normal_Blue_Special_00001,ja,,
e,202512010,c_sur_00101_savege_Boss_Yellow_Normal_00000_ja,c_sur_00101_savege_Boss_Yellow_Normal_00000,ja,,
e,202512010,c_sur_00101_savege_Boss_Yellow_Appearance_00001_ja,c_sur_00101_savege_Boss_Yellow_Appearance_00001,ja,,
e,202512010,c_sur_00101_savege_Boss_Yellow_Special_00002_ja,c_sur_00101_savege_Boss_Yellow_Special_00002,ja,,
e,202512010,c_sur_00801_savege_Normal_Yellow_Normal_00000_ja,c_sur_00801_savege_Normal_Yellow_Normal_00000,ja,,
e,202512010,c_sur_00801_savege_Normal_Yellow_Special_00001_ja,c_sur_00801_savege_Normal_Yellow_Special_00001,ja,,
e,202512010,c_sur_00801_savege_Normal_Blue_Normal_00000_ja,c_sur_00801_savege_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00801_savege_Normal_Blue_Special_00001_ja,c_sur_00801_savege_Normal_Blue_Special_00001,ja,,
e,202512010,e_sur_00101_savege_Normal_Colorless_Normal_00000_ja,e_sur_00101_savege_Normal_Colorless_Normal_00000,ja,,
e,202512010,e_sur_00101_savege_Normal_Yellow_Normal_00000_ja,e_sur_00101_savege_Normal_Yellow_Normal_00000,ja,,
e,202512010,e_sur_00101_savege_Normal_Blue_Normal_00000_ja,e_sur_00101_savege_Normal_Blue_Normal_00000,ja,,
e,202512010,c_sur_00501_savege_Boss_Blue_Normal_00000_ja,c_sur_00501_savege_Boss_Blue_Normal_00000,ja,,
e,202512010,c_sur_00501_savege_Boss_Blue_Appearance_00001_ja,c_sur_00501_savege_Boss_Blue_Appearance_00001,ja,,
