,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"＜12月のSNSキャンペーン＞
①12/15（月）推しの子　初出動画
・フォロー＆リツイート数1,200件を達成したら、報酬プリズム500個プレゼント
・開催期間：12/15~12/21
・報酬配布日：12月●日　※みかりのガシャ開始日以外でお願い出来ますと幸いです。

②12/22（月）みかりサンタに愛よ届けキャンペーン
・いいね数500件を達成したら、報酬プリズム500個
・開催期間：12/22~12/25
・報酬配布日：12月●日　※①とは別日でお願いいたします。

③12/28（日）推しの子カウントダウンキャンペーン
・フォロー＆リツイート数300件を達成したら、推しの子実装キャラのXアイコンもらえる
・開催期間：12/28~12/31
・アイコン配布日：1月1日から毎日配布",,,,,,
,,,,,,,
,,カウントダウンを優先したい,,,,,
,,,,,,,
,,,,,,,
,配布キャンペーン,,,,,,
,項目名,ゲーム内告知日,CP開催期間,配布アイテム,ギフト配布期間,ユーザー作成期間,受取可能期間
,推しの子　初出動画CP,2025/12/15？,12/15 ~ 12/21,プリズム×500,12/23 12:00 ~ 12/31 23:59,,
,ジャンプフェスタ2026出展記念特別プレゼント,12/20(土)  09:00,-,プリズム×150,12/20 12:00 ~ 12/31 23:59,12/31(水)  23:59,30日
,美花莉に愛❤️を届けよう！キャンペーン,12/22(月)  12:00,12/22 ~ 12/24,SNSの結果次第,12/25 12:00 ~ 12/31 23:59,12/31(水)  23:59,30日
,"推しの子カウントダウンキャンペーン
→アイコンを配布する施策。順番はBNEが恣意的に決める",不要,-,"アイコン
→WP対応不要",-,-,-
,"カウントダウンキャンペーン
→毎日プリズム×100個プレゼント
→提案施策名：【推しの子】いいジャン祭開催カウントダウンキャンペーン
",12/27(土)  00:00,-,"プリズム×100
を毎日","12/27 18:00 ~ 2026/01/16 10:59

①12/27 00:00
②12/28 00:00
③12/29 00:00
④12/30 00:00
⑤12/31 00:00",01/16(金)  10:59,30日
,Appleオファーコード施策,"作成するのか
確認中",12/28 ~ 2026/01/08,プリズム×150,"ギフト設定無し。
",未定？,未定？
,"正月特別号！【推しの子】いいジャン祭（元旦）
→配布名目がこれになってたけど、これは施策名。
→配布タイトルを決めたい。
→シンプルに「2026年明けましておめでとうございます。昨年のご愛顧に感謝を込めてプリズムをプレゼント！」という立て付けの元、配布施策名を「新春感謝プレゼント」とするのはどうか。

→あけおめプレゼント","作成するのか
確認中
→無しで",-,"プリズム×1,500
エンブレム「祝！2026」",2026/01/01 00:00 ~ 2026/01/31 23:59,01/31(土)  23:59,7日
