ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,normal_01_lineup_00001,normal_01_lineup_00001,Item,ticket_glo_00002,1,202512015
e,normal_01_lineup_00002,normal_01_lineup_00002,Item,memoryfragment_glo_00001,1,202512015
e,normal_01_lineup_00003,normal_01_lineup_00003,Item,memoryfragment_glo_00002,1,202512015
e,normal_01_lineup_00004,normal_01_lineup_00004,Item,memoryfragment_glo_00003,1,202512015
e,normal_01_lineup_00005,normal_01_lineup_00005,Item,memory_glo_00001,30,202512015
e,normal_01_lineup_00006,normal_01_lineup_00006,Item,memory_glo_00002,30,202512015
e,normal_01_lineup_00007,normal_01_lineup_00007,Item,memory_glo_00003,30,202512015
e,normal_01_lineup_00008,normal_01_lineup_00008,Item,memory_glo_00004,30,202512015
e,normal_01_lineup_00009,normal_01_lineup_00009,Item,memory_glo_00005,30,202512015
e,normal_01_lineup_00010,normal_01_lineup_00010,Item,entry_item_glo_00001,1,202512015
