ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,event_osh_00001_1,202512020,event_osh_00001,StageClearCount,,5,__NULL__,,0,,osh_00001_event_reward_1,1,Event
e,event_osh_00001_2,202512020,event_osh_00001,StageClearCount,,10,__NULL__,,0,,osh_00001_event_reward_2,2,Event
e,event_osh_00001_3,202512020,event_osh_00001,StageClearCount,,15,__NULL__,,0,,osh_00001_event_reward_3,3,Event
e,event_osh_00001_4,202512020,event_osh_00001,StageClearCount,,20,__NULL__,,0,,osh_00001_event_reward_4,4,Event
e,event_osh_00001_5,202512020,event_osh_00001,StageClearCount,,30,__NULL__,,0,,osh_00001_event_reward_5,5,Event
e,event_osh_00001_6,202512020,event_osh_00001,StageClearCount,,40,__NULL__,,0,,osh_00001_event_reward_6,6,Event
e,event_osh_00001_7,202512020,event_osh_00001,StageClearCount,,50,__NULL__,,0,,osh_00001_event_reward_7,7,Event
e,event_osh_00001_8,202512020,event_osh_00001,StageClearCount,,60,__NULL__,,0,,osh_00001_event_reward_8,8,Event
e,event_osh_00001_9,202512020,event_osh_00001,StageClearCount,,70,__NULL__,,0,,osh_00001_event_reward_9,9,Event
e,event_osh_00001_10,202512020,event_osh_00001,StageClearCount,,80,__NULL__,,0,,osh_00001_event_reward_10,10,Event
e,event_osh_00001_11,202512020,event_osh_00001,StageClearCount,,90,__NULL__,,0,,osh_00001_event_reward_11,11,Event
e,event_osh_00001_12,202512020,event_osh_00001,StageClearCount,,100,__NULL__,,0,,osh_00001_event_reward_12,12,Event
e,event_osh_00001_13,202512020,event_osh_00001,StageClearCount,,110,__NULL__,,0,,osh_00001_event_reward_13,13,Event
e,event_osh_00001_14,202512020,event_osh_00001,StageClearCount,,120,__NULL__,,0,,osh_00001_event_reward_14,14,Event
e,event_osh_00001_15,202512020,event_osh_00001,StageClearCount,,150,__NULL__,,0,,osh_00001_event_reward_15,15,Event
e,event_osh_00001_16,202512020,event_osh_00001,StageClearCount,,180,__NULL__,,0,,osh_00001_event_reward_16,16,Event
e,event_osh_00001_17,202512020,event_osh_00001,StageClearCount,,190,__NULL__,,0,,osh_00001_event_reward_17,17,Event
e,event_osh_00001_18,202512020,event_osh_00001,StageClearCount,,200,__NULL__,,0,,osh_00001_event_reward_18,18,Event
e,event_osh_00001_19,202512020,event_osh_00001,StageClearCount,,210,__NULL__,,0,,osh_00001_event_reward_19,19,Event
e,event_osh_00001_20,202512020,event_osh_00001,StageClearCount,,250,__NULL__,,0,,osh_00001_event_reward_20,20,Event
e,event_osh_00001_21,202512020,event_osh_00001,StageClearCount,,300,__NULL__,,0,,osh_00001_event_reward_21,21,Event
e,event_osh_00001_22,202512020,event_osh_00001,StageClearCount,,350,__NULL__,,0,,osh_00001_event_reward_22,22,Event
e,event_osh_00001_23,202512020,event_osh_00001,StageClearCount,,400,__NULL__,,0,,osh_00001_event_reward_23,23,Event
e,event_osh_00001_24,202512020,event_osh_00001,StageClearCount,,450,__NULL__,,0,,osh_00001_event_reward_24,24,Event
e,event_osh_00001_25,202512020,event_osh_00001,StageClearCount,,500,__NULL__,,0,,osh_00001_event_reward_25,25,Event
e,event_osh_00001_26,202512020,event_osh_00001,StageClearCount,,550,__NULL__,,0,,osh_00001_event_reward_26,26,Event
e,event_osh_00001_27,202512020,event_osh_00001,StageClearCount,,600,__NULL__,,0,,osh_00001_event_reward_27,27,Event
e,event_osh_00001_28,202512020,event_osh_00001,SpecificGachaDrawCount,gasho_001,10,__NULL__,,0,,osh_00001_event_reward_28,28,Gacha
e,event_osh_00001_29,202512020,event_osh_00001,SpecificGachaDrawCount,gasho_001,20,__NULL__,,0,,osh_00001_event_reward_29,29,Gacha
e,event_osh_00001_30,202512020,event_osh_00001,SpecificGachaDrawCount,gasho_001,30,__NULL__,,0,,osh_00001_event_reward_30,30,Gacha
e,event_osh_00001_31,202512020,event_osh_00001,SpecificGachaDrawCount,gasho_001,40,__NULL__,,0,,osh_00001_event_reward_31,31,Gacha
e,event_osh_00001_32,202512020,event_osh_00001,SpecificGachaDrawCount,gasho_001,50,__NULL__,,0,,osh_00001_event_reward_32,32,Gacha
e,event_osh_00001_33,202512020,event_osh_00001,SpecificUnitStageClearCount,chara_osh_00601.event_osh1_1day_00001,1,__NULL__,,0,,osh_00001_event_reward_33,33,Event
e,event_osh_00001_34,202512020,event_osh_00001,SpecificUnitStageClearCount,chara_osh_00601.event_osh1_1day_00001,3,__NULL__,,0,,osh_00001_event_reward_34,34,Event
e,event_osh_00001_35,202512020,event_osh_00001,SpecificUnitStageClearCount,chara_osh_00601.event_osh1_1day_00001,5,__NULL__,,0,,osh_00001_event_reward_35,35,Event
e,event_osh_00001_36,202512020,event_osh_00001,SpecificQuestClear,quest_event_osh1_charaget01,1,__NULL__,,0,,osh_00001_event_reward_36,36,Event
e,event_osh_00001_37,202512020,event_osh_00001,SpecificUnitStageClearCount,chara_osh_00601.event_osh1_charaget01_00003,5,__NULL__,,0,,osh_00001_event_reward_37,37,Event
e,event_osh_00001_38,202512020,event_osh_00001,SpecificUnitStageClearCount,chara_osh_00601.event_osh1_charaget01_00003,10,__NULL__,,0,,osh_00001_event_reward_38,38,Event
