ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,1,start_chara_pack_1,Unit,chara_spy_00001,1,"",1,202509010
e,2,start_item_pack_1,Item,memory_glo_00001,200,"",5,202509010
e,3,start_item_pack_1,Item,memory_glo_00002,200,"",4,202509010
e,4,start_item_pack_1,Item,memory_glo_00003,200,"",3,202509010
e,5,start_item_pack_1,Item,memory_glo_00004,200,"",2,202509010
e,6,start_item_pack_1,Item,memory_glo_00005,200,"",1,202509010
e,7,start_item_pack_1,Item,ticket_glo_00002,10,"",6,202509010
e,8,start_item_pack_2,Item,ticket_glo_00203,1,"",2,202509010
e,9,start_item_pack_2,Item,box_glo_00008,10,1,1,202509010
e,10,event_item_pack_1,Item,memoryfragment_glo_00001,50,"",4,202509010
e,11,event_item_pack_1,Item,memoryfragment_glo_00002,30,"",3,202509010
e,12,event_item_pack_1,Item,memoryfragment_glo_00003,3,"",1,202509010
e,13,event_item_pack_1,Item,ticket_glo_00003,10,"",1,202509010
e,14,daily_item_pack_1,Item,memory_glo_00001,10,"",6,202509010
e,15,daily_item_pack_1,Item,memory_glo_00002,10,"",5,202509010
e,16,daily_item_pack_1,Item,memory_glo_00003,10,"",4,202509010
e,17,daily_item_pack_1,Item,memory_glo_00004,10,"",3,202509010
e,18,daily_item_pack_1,Item,memory_glo_00005,10,"",2,202509010
e,19,daily_item_pack_1,Coin,"",1000,"",1,202509010
e,20,event_item_pack_2,Item,memoryfragment_glo_00001,50,"",4,202510010
e,21,event_item_pack_2,Item,memoryfragment_glo_00002,30,"",3,202510010
e,22,event_item_pack_2,Item,memoryfragment_glo_00003,3,"",1,202510010
e,23,event_item_pack_2,Item,ticket_glo_00003,10,"",1,202510010
e,24,event_item_pack_3,Item,memoryfragment_glo_00001,50,"",4,202510020
e,25,event_item_pack_3,Item,memoryfragment_glo_00002,30,"",3,202510020
e,26,event_item_pack_3,Item,memoryfragment_glo_00003,3,"",1,202510020
e,27,event_item_pack_3,Item,ticket_glo_00003,10,"",1,202510020
e,28,event_item_pack_4,Item,memoryfragment_glo_00001,50,"",4,202511010
e,29,event_item_pack_4,Item,memoryfragment_glo_00002,30,"",3,202511010
e,30,event_item_pack_4,Item,memoryfragment_glo_00003,3,"",1,202511010
e,31,event_item_pack_4,Item,ticket_glo_00003,10,"",1,202511010
e,32,event_item_pack_5,Item,memoryfragment_glo_00001,50,"",4,202511020
e,33,event_item_pack_5,Item,memoryfragment_glo_00002,30,"",3,202511020
e,34,event_item_pack_5,Item,memoryfragment_glo_00003,3,"",1,202511020
e,35,event_item_pack_5,Item,ticket_glo_00003,10,"",1,202511020
e,36,BF_item_pack_1,Item,memory_glo_00001,500,"",5,202511020
e,37,BF_item_pack_1,Item,memory_glo_00002,500,"",4,202511020
e,38,BF_item_pack_1,Item,memory_glo_00003,500,"",3,202511020
e,39,BF_item_pack_1,Item,memory_glo_00004,500,"",2,202511020
e,40,BF_item_pack_1,Item,memory_glo_00005,500,"",1,202511020
e,41,BF_item_pack_1,Item,ticket_glo_00002,10,"",6,202511020
e,42,BF_item_pack_2,Item,memoryfragment_glo_00001,50,"",3,202511020
e,43,BF_item_pack_2,Item,memoryfragment_glo_00002,30,"",2,202511020
e,44,BF_item_pack_2,Item,memoryfragment_glo_00003,3,"",1,202511020
e,45,BF_item_pack_2,Item,ticket_glo_00003,10,"",4,202511020
e,46,BF_item_pack_3,Item,ticket_glo_00203,1,"",11,202511020
e,47,BF_item_pack_3,Item,box_glo_00008,50,"",10,202511020
e,48,BF_item_pack_3,Item,ticket_glo_00003,10,"",9,202511020
e,49,BF_item_pack_3,Item,memoryfragment_glo_00001,50,"",8,202511020
e,50,BF_item_pack_3,Item,memoryfragment_glo_00002,30,"",7,202511020
e,51,BF_item_pack_3,Item,memoryfragment_glo_00003,3,"",6,202511020
e,52,BF_item_pack_3,Item,memory_glo_00001,1500,"",5,202511020
e,53,BF_item_pack_3,Item,memory_glo_00002,1500,"",4,202511020
e,54,BF_item_pack_3,Item,memory_glo_00003,1500,"",3,202511020
e,55,BF_item_pack_3,Item,memory_glo_00004,1500,"",2,202511020
e,56,BF_item_pack_3,Item,memory_glo_00005,1500,"",1,202511020
e,57,Xmas_item_pack_1,Item,memory_glo_00001,500,"",5,202512015
e,58,Xmas_item_pack_1,Item,memory_glo_00002,500,"",4,202512015
e,59,Xmas_item_pack_1,Item,memory_glo_00003,500,"",3,202512015
e,60,Xmas_item_pack_1,Item,memory_glo_00004,500,"",2,202512015
e,61,Xmas_item_pack_1,Item,memory_glo_00005,500,"",1,202512015
e,62,Xmas_item_pack_1,Item,ticket_glo_00002,10,"",6,202512015
e,63,Xmas_item_pack_2,Item,ticket_glo_00004,5,"",5,202512015
e,64,Xmas_item_pack_2,Item,ticket_glo_00003,5,"",4,202512015
e,65,Xmas_item_pack_2,Item,memoryfragment_glo_00003,5,"",3,202512015
e,66,Xmas_item_pack_2,Item,memoryfragment_glo_00002,30,"",2,202512015
e,67,Xmas_item_pack_2,Item,memoryfragment_glo_00001,50,"",1,202512015
e,68,Xmas_item_pack_3,Item,ticket_glo_00203,1,"",4,202512015
e,69,Xmas_item_pack_3,Item,box_glo_00008,10,1,3,202512015
e,70,Xmas_item_pack_3,Item,ticket_glo_00004,5,"",2,202512015
e,71,Xmas_item_pack_3,Item,ticket_glo_00003,5,"",1,202512015
e,72,event_item_pack_6,Item,memoryfragment_glo_00001,50,"",4,202512010
e,73,event_item_pack_6,Item,memoryfragment_glo_00002,30,"",3,202512010
e,74,event_item_pack_6,Item,memoryfragment_glo_00003,3,"",2,202512010
e,75,event_item_pack_6,Item,ticket_glo_00003,10,"",1,202512010
e,76,monthly_item_pack_1,Item,memoryfragment_glo_00001,50,"",3,202512010
e,77,monthly_item_pack_1,Item,memoryfragment_glo_00002,30,"",2,202512010
e,78,monthly_item_pack_1,Item,memoryfragment_glo_00003,3,"",1,202512010
e,112,offer_FreeDiamond150_202512015,FreeDiamond,"",150,"",1,202512015
