スプシ名,スプシURL,出典スプシ名
【収集クエスト】アイドルに憧れて,https://docs.google.com/spreadsheets/d/1RUV7MCHptS-fk-Tu0P-HEw8Bkm6-Qk1ftsca-edSmMM/edit?gid=0#gid=0,【データQA】【クエスト】【収集クエスト】芸能界へ！
正月特別号！【推しの子】 いいジャン祭＋メインクエスト_仕様書,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=A92,【データQA】【クエスト】【収集クエスト】芸能界へ！
【強化（ストーリー2）】ぴえヨンのブートクエスト,https://docs.google.com/spreadsheets/d/1pnH9lNHkUjDbDrAVRaUxJiv1robWmqHuT6Wk7Gi2IKY/edit?gid=0#gid=0,【データQA】【クエスト】【強化（ストーリー2）】ぴえヨンのブートクエスト
GLOW_ID 管理,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1994449604#gid=1994449604,【データQA】【アイテム】各種アイテム
【17.【推しの子】】メインクエスト基礎設計,https://docs.google.com/spreadsheets/d/1gcclhKTvr7Q7c9-6qJjgCCITirbU9GOiAhhQWDrOEsw/edit?gid=0#gid=0,【データQA】【クエスト】【メインクエスト】【推しの子】_ノーマル
【1日1回】ファンと推し合戦!,https://docs.google.com/spreadsheets/d/1nXPabnGTRSJk99gdxsDRCAdui1scK8z1fPDs-OnvFPs/edit?gid=0#gid=0,【データQA】【クエスト】【1日1回】ファンと推し合戦
【チャレンジ】推しの子になってやる,https://docs.google.com/spreadsheets/d/1DFWNQaQ7BOl-Q91nPM2rt2mAy790M2ntB7tAiYNbItU/edit?gid=0#gid=0,【データQA】【クエスト】【チャレンジ】推しの子になってやる
探索基礎設計,https://docs.google.com/spreadsheets/d/1pV-bjcfTq27o2KobWrCUhwMpRvatOHD_pTUscXnp4bk/edit?gid=1756958468#gid=1756958468,【データQA】【他】メインクエスト追加施策「【推しの子】」（ミッション、探索）
【デイリー】開運！ジャンブル運試し,https://docs.google.com/spreadsheets/d/16VYSWfdF0HCt9fxZG02Ji4shv4jphu7S9hRq4vp4IuU/edit?gid=0#gid=0,【データQA】【クエスト】【デイリー】開運！ジャンブル運試し
ヒーロー基礎設計_chara_osh_00101_星野 アクア,https://docs.google.com/spreadsheets/d/1uMdoGr4VqQuaJFUjssC6CvKNmadcc59MLt2Acv8kvJM/edit?gid=523149893#gid=523149893,【データQA】【SPキャラ】復讐を誓う片星 星野 アクア
GLOW_キャラ名称＆キャラセリフ資料,https://docs.google.com/spreadsheets/d/1IkiS0rrzjKzg8ddE1n44RBj_Mg3ZABH1D_62pIGQTJg/edit?gid=2146475190#gid=2146475190,【データQA】【SPキャラ】復讐を誓う片星 星野 アクア
ヒーロー基礎設計_chara_osh_00201_星野 ルビー,https://docs.google.com/spreadsheets/d/1kqwhHAX8DRZSJmEgYJC5raksiwDHaxWqXL_t5E5Rt4Y/edit?gid=523149893#gid=523149893,【データQA】【キャラ】星野 ルビー
【高難度】芸能界には才能が集まる,https://docs.google.com/spreadsheets/d/1BLTwXijOiIaUz-2Boh_Lnk88zVkHceyrS0c_YDL_2_c/edit?gid=0#gid=0,【データQA】【クエスト】【高難易度】芸能界には才能が集まる
ヒーロー基礎設計_chara_osh_00001_B小町不動のセンター アイ,https://docs.google.com/spreadsheets/d/1454SOfo66TYkAa49Ims9YFu1GkF0vy9Nlfa8vkWbSv8/edit?gid=523149893#gid=523149893,【データQA】【キャラ】B小町不動のセンター アイ
ヒーロー基礎設計_chara_osh_00301_MEMちょ,https://docs.google.com/spreadsheets/d/1P7pLvuUd0-yl_JNHnqGCWCTIvFB08KPitEnUJzpl6sU/edit?gid=523149893#gid=523149893,【データQA】【キャラ】MEMちょ
【降臨バトル】ファーストライブ,https://docs.google.com/spreadsheets/d/1ohOZ7nZzDOsfHVAB9sYWrrtaFXQ2n7yyIKDoemJIeBw/edit?gid=0#gid=0,【データQA】【降臨バトル】ファーストライブ
20251227_年末年始キャンペーン仕様書,https://docs.google.com/spreadsheets/d/1tbiGeGyY7ulLIzRgbbKkjOuhtDG_cGGrAmP7uEgiHzE/edit?gid=289913871#gid=289913871,【データQA】【キャンペーン】「メインクエストスタミナ半額」＆「コイン獲得クエスト挑戦回数＋2回」キャンペーン
ヒーロー基礎設計_chara_osh_00401_有馬 かな,https://docs.google.com/spreadsheets/d/1nH_bN_BApm7udbaDIuwCTwQ9SK7HGMPwb3d5yroyt2o/edit?gid=523149893#gid=523149893,【データQA】【キャラ】有馬 かな
ヒーロー基礎設計_chara_osh_00501_黒川 あかね,https://docs.google.com/spreadsheets/d/1QdNk_tXhDorhb-3y7CaZh_r7Cu-sGNcpBiVfHXd1Fz0/edit?gid=523149893#gid=523149893,【データQA】【キャラ】黒川 あかね
ヒーロー基礎設計_chara_osh_00601_ぴえヨン,https://docs.google.com/spreadsheets/d/1BSYgSSaQfjRChAW3nmm3MGFtUL4vXbPRC7bSByUKhQo/edit?gid=523149893#gid=523149893,【データQA】【キャラ】ぴえヨン
GLOW_ランクマッチ開催仕様書,https://docs.google.com/spreadsheets/d/1gYB716eQa_G74FQ8IsioheGd0lwlHlRb4wsBvL2hPsM/edit?pli=1&gid=885141051#gid=885141051,【データQA】【ランクマッチ】【推しの子ランクマ】
