ENABLE,id,mst_stage_id,upper_clear_time_ms,resource_type,resource_id,resource_amount,release_key
e,normal_osh_00001_1,normal_osh_00001,140000,FreeDiamond,,25,202512020
e,normal_osh_00001_2,normal_osh_00001,200000,FreeDiamond,,25,202512020
e,normal_osh_00001_3,normal_osh_00001,300000,FreeDiamond,,25,202512020
e,normal_osh_00002_1,normal_osh_00002,140000,FreeDiamond,,25,202512020
e,normal_osh_00002_2,normal_osh_00002,200000,FreeDiamond,,25,202512020
e,normal_osh_00002_3,normal_osh_00002,300000,FreeDiamond,,25,202512020
e,normal_osh_00003_1,normal_osh_00003,140000,FreeDiamond,,25,202512020
e,normal_osh_00003_2,normal_osh_00003,200000,FreeDiamond,,25,202512020
e,normal_osh_00003_3,normal_osh_00003,300000,FreeDiamond,,25,202512020
e,hard_osh_00001_1,hard_osh_00001,140000,FreeDiamond,,25,202512020
e,hard_osh_00001_2,hard_osh_00001,200000,FreeDiamond,,25,202512020
e,hard_osh_00001_3,hard_osh_00001,300000,FreeDiamond,,25,202512020
e,hard_osh_00002_1,hard_osh_00002,140000,FreeDiamond,,25,202512020
e,hard_osh_00002_2,hard_osh_00002,200000,FreeDiamond,,25,202512020
e,hard_osh_00002_3,hard_osh_00002,300000,FreeDiamond,,25,202512020
e,hard_osh_00003_1,hard_osh_00003,140000,FreeDiamond,,25,202512020
e,hard_osh_00003_2,hard_osh_00003,200000,FreeDiamond,,25,202512020
e,hard_osh_00003_3,hard_osh_00003,300000,FreeDiamond,,25,202512020
e,veryhard_osh_00001_1,veryhard_osh_00001,140000,FreeDiamond,,25,202512020
e,veryhard_osh_00001_2,veryhard_osh_00001,200000,FreeDiamond,,25,202512020
e,veryhard_osh_00001_3,veryhard_osh_00001,300000,FreeDiamond,,25,202512020
e,veryhard_osh_00002_1,veryhard_osh_00002,140000,FreeDiamond,,25,202512020
e,veryhard_osh_00002_2,veryhard_osh_00002,200000,FreeDiamond,,25,202512020
e,veryhard_osh_00002_3,veryhard_osh_00002,300000,FreeDiamond,,25,202512020
e,veryhard_osh_00003_1,veryhard_osh_00003,140000,FreeDiamond,,25,202512020
e,veryhard_osh_00003_2,veryhard_osh_00003,200000,FreeDiamond,,25,202512020
e,veryhard_osh_00003_3,veryhard_osh_00003,300000,FreeDiamond,,25,202512020
e,event_osh1_challenge01_00001_1,event_osh1_challenge01_00001,140000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00001_2,event_osh1_challenge01_00001,200000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00001_3,event_osh1_challenge01_00001,300000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00002_1,event_osh1_challenge01_00002,140000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00002_2,event_osh1_challenge01_00002,200000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00002_3,event_osh1_challenge01_00002,300000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00003_1,event_osh1_challenge01_00003,140000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00003_2,event_osh1_challenge01_00003,200000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00003_3,event_osh1_challenge01_00003,300000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00004_1,event_osh1_challenge01_00004,140000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00004_2,event_osh1_challenge01_00004,200000,FreeDiamond,,20,202512020
e,event_osh1_challenge01_00004_3,event_osh1_challenge01_00004,300000,FreeDiamond,,20,202512020
e,event_osh1_savage_00001_1,event_osh1_savage_00001,140000,FreeDiamond,,20,202512020
e,event_osh1_savage_00001_2,event_osh1_savage_00001,200000,FreeDiamond,,20,202512020
e,event_osh1_savage_00001_3,event_osh1_savage_00001,300000,FreeDiamond,,20,202512020
e,event_osh1_savage_00002_1,event_osh1_savage_00002,140000,FreeDiamond,,20,202512020
e,event_osh1_savage_00002_2,event_osh1_savage_00002,200000,FreeDiamond,,20,202512020
e,event_osh1_savage_00002_3,event_osh1_savage_00002,300000,FreeDiamond,,20,202512020
e,event_osh1_savage_00003_1,event_osh1_savage_00003,240000,FreeDiamond,,20,202512020
e,event_osh1_savage_00003_2,event_osh1_savage_00003,300000,FreeDiamond,,20,202512020
e,event_osh1_savage_00003_3,event_osh1_savage_00003,400000,FreeDiamond,,20,202512020
