ENABLE,id,mst_stage_id,reset_type,clearable_count,ad_challenge_count,mst_stage_rule_group_id,start_at,end_at,release_key,background_asset_key
e,146,event_osh1_1day_00001,Daily,1,0,__NULL__,"2026-01-01 04:00:00","2026-01-16 03:59:59",202512020,osh_00001
e,147,event_osh1_charaget02_00001,__NULL__,,0,__NULL__,"2026-01-05 15:00:00","2026-02-02 10:59:59",202512020,osh_00002
e,148,event_osh1_charaget02_00002,__NULL__,,0,__NULL__,"2026-01-05 15:00:00","2026-02-02 10:59:59",202512020,osh_00002
e,149,event_osh1_charaget02_00003,__NULL__,,0,__NULL__,"2026-01-05 15:00:00","2026-02-02 10:59:59",202512020,osh_00002
e,150,event_osh1_charaget01_00001,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00002
e,151,event_osh1_charaget01_00002,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00002
e,152,event_osh1_charaget01_00003,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00002
e,153,event_osh1_challenge01_00001,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
e,154,event_osh1_challenge01_00002,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
e,155,event_osh1_challenge01_00003,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
e,156,event_osh1_challenge01_00004,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
e,157,event_glo1_1day_00001,Daily,1,0,__NULL__,"2026-01-01 00:00:00","2026-01-05 14:59:59",202512020,glo_00036
e,158,event_osh1_savage_00001,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
e,159,event_osh1_savage_00002,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
e,160,event_osh1_savage_00003,__NULL__,,0,__NULL__,"2026-01-01 00:00:00","2026-02-02 10:59:59",202512020,osh_00001
