ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,Fest_osh_001_1,Fest_osh_001,Unit,chara_osh_00001,1,351,1,202512020
e,Fest_osh_001_2,Fest_osh_001,Unit,chara_spy_00101,1,81,0,202512020
e,Fest_osh_001_3,Fest_osh_001,Unit,chara_spy_00201,1,81,0,202512020
e,Fest_osh_001_4,Fest_osh_001,Unit,chara_spy_00001,1,81,0,202512020
e,Fest_osh_001_5,Fest_osh_001,Unit,chara_dan_00002,1,81,0,202512020
e,Fest_osh_001_6,Fest_osh_001,Unit,chara_gom_00001,1,81,0,202512020
e,Fest_osh_001_7,Fest_osh_001,Unit,chara_chi_00002,1,81,0,202512020
e,Fest_osh_001_8,Fest_osh_001,Unit,chara_kai_00002,1,81,0,202512020
e,Fest_osh_001_9,Fest_osh_001,Unit,chara_yuw_00001,1,81,0,202512020
e,Fest_osh_001_10,Fest_osh_001,Unit,chara_yuw_00101,1,81,0,202512020
e,Fest_osh_001_11,Fest_osh_001,Unit,chara_sur_00101,1,81,0,202512020
e,Fest_osh_001_12,Fest_osh_001,Unit,chara_jig_00001,1,81,0,202512020
e,Fest_osh_001_13,Fest_osh_001,Unit,chara_mag_00001,1,81,0,202512020
e,Fest_osh_001_14,Fest_osh_001,Unit,chara_sum_00101,1,81,0,202512020
e,Fest_osh_001_15,Fest_osh_001,Unit,chara_dan_00101,1,520,0,202512020
e,Fest_osh_001_16,Fest_osh_001,Unit,chara_chi_00201,1,520,0,202512020
e,Fest_osh_001_17,Fest_osh_001,Unit,chara_chi_00301,1,520,0,202512020
e,Fest_osh_001_18,Fest_osh_001,Unit,chara_kai_00301,1,520,0,202512020
e,Fest_osh_001_19,Fest_osh_001,Unit,chara_ron_00001,1,520,0,202512020
e,Fest_osh_001_20,Fest_osh_001,Unit,chara_aha_00101,1,520,0,202512020
e,Fest_osh_001_21,Fest_osh_001,Unit,chara_jig_00101,1,520,0,202512020
e,Fest_osh_001_22,Fest_osh_001,Unit,chara_dos_00001,1,520,0,202512020
e,Fest_osh_001_23,Fest_osh_001,Unit,chara_dos_00101,1,520,0,202512020
e,Fest_osh_001_24,Fest_osh_001,Unit,chara_gom_00101,1,1638,0,202512020
e,Fest_osh_001_25,Fest_osh_001,Unit,chara_bat_00001,1,1638,0,202512020
e,Fest_osh_001_26,Fest_osh_001,Unit,chara_bat_00101,1,1638,0,202512020
e,Fest_osh_001_27,Fest_osh_001,Unit,chara_kai_00101,1,1638,0,202512020
e,Fest_osh_001_28,Fest_osh_001,Unit,chara_sur_00201,1,1638,0,202512020
e,Fest_osh_001_29,Fest_osh_001,Unit,chara_sur_00301,1,1638,0,202512020
e,Fest_osh_001_30,Fest_osh_001,Unit,chara_aha_00001,1,1638,0,202512020
e,Fest_osh_001_31,Fest_osh_001,Unit,chara_jig_00301,1,1638,0,202512020
e,Fest_osh_001_32,Fest_osh_001,Unit,chara_mag_00101,1,1638,0,202512020
e,Fest_osh_001_33,Fest_osh_001,Unit,chara_sum_00201,1,1638,0,202512020
e,Fest_osh_001_34,Fest_osh_001,Unit,chara_aka_00001,1,2704,0,202512020
e,Fest_osh_001_35,Fest_osh_001,Unit,chara_aka_00101,1,2704,0,202512020
e,Fest_osh_001_36,Fest_osh_001,Unit,chara_rik_00001,1,2704,0,202512020
e,Fest_osh_001_37,Fest_osh_001,Unit,chara_ron_00101,1,2704,0,202512020
e,Fest_osh_001_38,Fest_osh_001,Unit,chara_dan_00001,1,2704,0,202512020
e,Fest_osh_001_39,Fest_osh_001,Unit,chara_chi_00001,1,2704,0,202512020
e,Fest_osh_001_40,Fest_osh_001,Unit,chara_kai_00001,1,2704,0,202512020
e,Fest_osh_001_41,Fest_osh_001,Unit,chara_sur_00001,1,2704,0,202512020
e,Fest_osh_001_42,Fest_osh_001,Unit,chara_sum_00001,1,2704,0,202512020
e,fixd_Fest_osh_001_1,fixd_Fest_osh_001,Unit,chara_osh_00001,1,1755,1,202512020
