ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order,備考
e,mission_reward_1,202509010,daily_bonus_reward_1_1,FreeDiamond,"",20,1,""
e,mission_reward_2,202509010,daily_bonus_reward_1_2,Coin,"",2000,1,""
e,mission_reward_3,202509010,daily_bonus_reward_1_3,FreeDiamond,"",30,1,""
e,mission_reward_4,202509010,daily_bonus_reward_1_4,Coin,"",3000,1,""
e,mission_reward_5,202509010,daily_bonus_reward_1_5,FreeDiamond,"",50,1,""
e,mission_reward_6,202509010,daily_bonus_reward_1_6,Coin,"",5000,1,""
e,mission_reward_7,202509010,daily_bonus_reward_1_7,FreeDiamond,"",50,1,""
e,mission_reward_8,202509010,daily_bonus_reward_1_7,Item,entry_item_glo_00001,1,1,""
e,mission_reward_9,202509010,daily_bonus_reward_1_7,Item,memoryfragment_glo_00001,5,1,""
e,mission_reward_10,202509010,kai_00001_event_reward_01,Item,memory_chara_kai_00601,200,1,怪獣８号いいジャン祭
e,mission_reward_11,202509010,kai_00001_event_reward_02,Item,memory_chara_kai_00601,300,1,怪獣８号いいジャン祭
e,mission_reward_12,202509010,kai_00001_event_reward_03,Item,memory_chara_kai_00601,350,1,怪獣８号いいジャン祭
e,mission_reward_13,202509010,kai_00001_event_reward_04,Item,ticket_glo_00003,1,1,怪獣８号いいジャン祭
e,mission_reward_14,202509010,kai_00001_event_reward_05,Item,piece_kai_00601,75,1,怪獣８号いいジャン祭
e,mission_reward_15,202509010,kai_00001_event_reward_06,Item,piece_kai_00601,100,1,怪獣８号いいジャン祭
e,mission_reward_16,202509010,kai_00001_event_reward_07,FreeDiamond,"",50,1,怪獣８号いいジャン祭
e,mission_reward_17,202509010,kai_00001_event_reward_08,Item,memory_chara_kai_00501,200,1,怪獣８号いいジャン祭
e,mission_reward_18,202509010,kai_00001_event_reward_09,Item,memory_chara_kai_00501,300,1,怪獣８号いいジャン祭
e,mission_reward_19,202509010,kai_00001_event_reward_10,Item,memory_chara_kai_00501,350,1,怪獣８号いいジャン祭
e,mission_reward_20,202509010,kai_00001_event_reward_11,Emblem,emblem_event_kai_00001,1,1,怪獣８号いいジャン祭
e,mission_reward_21,202509010,kai_00001_event_reward_12,Item,piece_kai_00501,75,1,怪獣８号いいジャン祭
e,mission_reward_22,202509010,kai_00001_event_reward_13,Item,piece_kai_00501,100,1,怪獣８号いいジャン祭
e,mission_reward_23,202509010,kai_00001_event_reward_14,FreeDiamond,"",50,1,怪獣８号いいジャン祭
e,mission_reward_24,202509010,kai_00001_event_reward_15,Coin,"",12500,1,怪獣８号いいジャン祭
e,mission_reward_25,202509010,kai_00001_event_reward_16,Coin,"",12500,1,怪獣８号いいジャン祭
e,mission_reward_26,202509010,kai_00001_event_reward_17,Item,ticket_glo_00002,3,1,怪獣８号いいジャン祭
