ENABLE,id,release_key,rank_class_type,rank_class_level,matching_type,mst_dummy_user_id
e,pvp_dummy_13,202509010,Bronze,0,Lower,bronze_0_user1
e,pvp_dummy_14,202509010,Bronze,0,Lower,bronze_0_user2
e,pvp_dummy_15,202509010,Bronze,0,Same,bronze_0_user3
e,pvp_dummy_16,202509010,Bronze,0,Same,bronze_0_user4
e,pvp_dummy_17,202509010,Bronze,0,Upper,bronze_0_user5
e,pvp_dummy_18,202509010,Bronze,0,Upper,bronze_0_user6
e,pvp_dummy_19,202509010,Bronze,1,Lower,bronze_1_user1
e,pvp_dummy_20,202509010,Bronze,1,Lower,bronze_1_user2
e,pvp_dummy_21,202509010,Bronze,1,Same,bronze_1_user3
e,pvp_dummy_22,202509010,Bronze,1,Same,bronze_1_user4
e,pvp_dummy_23,202509010,Bronze,1,Upper,bronze_1_user5
e,pvp_dummy_24,202509010,Bronze,1,Upper,bronze_1_user6
e,pvp_dummy_25,202509010,Bronze,2,Lower,bronze_2_user1
e,pvp_dummy_26,202509010,Bronze,2,Lower,bronze_2_user2
e,pvp_dummy_27,202509010,Bronze,2,Same,bronze_2_user3
e,pvp_dummy_28,202509010,Bronze,2,Same,bronze_2_user4
e,pvp_dummy_29,202509010,Bronze,2,Upper,bronze_2_user5
e,pvp_dummy_30,202509010,Bronze,2,Upper,bronze_2_user6
e,pvp_dummy_31,202509010,Bronze,3,Lower,bronze_3_user1
e,pvp_dummy_32,202509010,Bronze,3,Lower,bronze_3_user2
e,pvp_dummy_33,202509010,Bronze,3,Same,bronze_3_user3
e,pvp_dummy_34,202509010,Bronze,3,Same,bronze_3_user4
e,pvp_dummy_35,202509010,Bronze,3,Upper,bronze_3_user5
e,pvp_dummy_36,202509010,Bronze,3,Upper,bronze_3_user6
e,pvp_dummy_37,202509010,Bronze,4,Lower,bronze_4_user1
e,pvp_dummy_38,202509010,Bronze,4,Lower,bronze_4_user2
e,pvp_dummy_39,202509010,Bronze,4,Same,bronze_4_user3
e,pvp_dummy_40,202509010,Bronze,4,Same,bronze_4_user4
e,pvp_dummy_41,202509010,Bronze,4,Upper,bronze_4_user5
e,pvp_dummy_42,202509010,Bronze,4,Upper,bronze_4_user6
e,pvp_dummy_43,202509010,Silver,1,Lower,Silver_1_user1
e,pvp_dummy_44,202509010,Silver,1,Lower,Silver_1_user2
e,pvp_dummy_45,202509010,Silver,1,Same,Silver_1_user3
e,pvp_dummy_46,202509010,Silver,1,Same,Silver_1_user4
e,pvp_dummy_47,202509010,Silver,1,Upper,Silver_1_user5
e,pvp_dummy_48,202509010,Silver,1,Upper,Silver_1_user6
e,pvp_dummy_49,202509010,Silver,2,Lower,Silver_2_user1
e,pvp_dummy_50,202509010,Silver,2,Lower,Silver_2_user2
e,pvp_dummy_51,202509010,Silver,2,Same,Silver_2_user3
e,pvp_dummy_52,202509010,Silver,2,Same,Silver_2_user4
e,pvp_dummy_53,202509010,Silver,2,Upper,Silver_2_user5
e,pvp_dummy_54,202509010,Silver,2,Upper,Silver_2_user6
e,pvp_dummy_55,202509010,Silver,3,Lower,Silver_3_user1
e,pvp_dummy_56,202509010,Silver,3,Lower,Silver_3_user2
e,pvp_dummy_57,202509010,Silver,3,Same,Silver_3_user3
e,pvp_dummy_58,202509010,Silver,3,Same,Silver_3_user4
e,pvp_dummy_59,202509010,Silver,3,Upper,Silver_3_user5
e,pvp_dummy_60,202509010,Silver,3,Upper,Silver_3_user6
e,pvp_dummy_61,202509010,Silver,4,Lower,Silver_4_user1
e,pvp_dummy_62,202509010,Silver,4,Lower,Silver_4_user2
e,pvp_dummy_63,202509010,Silver,4,Same,Silver_4_user3
e,pvp_dummy_64,202509010,Silver,4,Same,Silver_4_user4
e,pvp_dummy_65,202509010,Silver,4,Upper,Silver_4_user5
